phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
fast,openf1,schema_alter,levenshtein,1,1565961611,0.4736842105263158,0.4736842105263158,0.17763860523700714,0.17450004816055298,0.18153293058276176,27808.173601190952,17.980325035750866,500,496,4,0.18991995602846146,0.8265790529549122,16,76
fast,openf1,json_manip,levenshtein,1,1049682741,0.9464912280701756,0.9464912280701756,6.13591851045688,0.1695500686764717,89.48811329901218,4229.900979539071,118.20607678964734,500,485,15,0.18028076738119125,92.6388050429523,16,285
fast,openf1,json_manip,regex,1,1049682741,0.8259649122807017,0.8259649122807017,0.17978198205431303,0.14172634109854698,0.5381070077419281,6940.60377074126,72.03984213992953,500,485,15,0.18338672816753387,3.342445008456707,16,285
fast,openf1,schema_alter,regex,1,1565961611,0.810526315789474,0.810526315789474,0.17187453340739012,0.15768688172101974,0.17934897914528847,35663.8009414983,14.019818045198917,500,496,4,0.18199393525719643,0.8556949906051159,16,76
fast,finnhub,json_manip,levenshtein,1,504648875,0.9619883040935674,0.9619883040935674,0.18816575821903017,0.16759615391492844,0.23841392248868942,14719.530914759702,33.96847378462553,500,482,18,0.18943892791867256,14.294852036982775,16,342
fast,finnhub,json_manip,regex,1,504648875,0.8257309941520466,0.8257309941520466,0.17066902687980068,0.15041325241327286,0.20827632397413254,14699.880357464384,34.01388227939606,500,482,18,0.18904823809862137,19.075597170740366,16,342
fast,finnhub,schema_alter,levenshtein,1,212885313,0.8894736842105264,0.8894736842105264,1.2127172201871872,0.17723487690091133,10.449117049574852,18212.65833408517,27.453433256596327,500,490,10,0.18686382099986076,12.538393028080463,16,190
fast,finnhub,schema_alter,regex,1,212885313,0.8315789473684212,0.8315789473684212,0.16082418151199818,0.1512346789240837,0.16824714839458466,29734.528221390625,16.81546773761511,500,490,10,0.18796604126691818,2.034801058471203,16,190
fast,openf1,qwen,regex,1,517708308,0.8181052631578949,0.8181052631578948,0.15682967379689217,0.13845926150679588,0.49747806042432785,0.5568602992103915,897891.2677182816,500,475,25,0.17659319564700127,5.270466674119234,16,475
fast,spacex,json_manip,levenshtein,1,2031502395,0.9798136645962731,0.9798136645962731,0.34467246302444005,0.32969098538160324,0.3862222656607628,21020.066088961357,23.78679485991597,500,477,23,0.222823116928339,9.214854799211025,16,644
fast,spacex,json_manip,regex,1,2031502395,0.8285714285714291,0.8285714285714291,0.2409510881356571,0.2326429821550846,0.26211002841591835,26819.798679753978,18.64294381812215,500,477,23,0.21830527111887932,6.891983561217785,16,644
fast,spacex,schema_alter,levenshtein,1,810267572,0.8,0.8,0.35185907036066055,0.3483784385025501,0.3605620004236698,33986.708951149674,14.711633324623108,500,495,5,0.21909596398472786,2.0451201125979424,16,140
fast,spacex,schema_alter,regex,1,810267572,0.828571428571429,0.8285714285714291,0.24790074676275253,0.23720180615782738,0.25965506210923195,37990.878581536635,13.161053881049156,500,495,5,0.21697301417589188,1.5349178574979305,16,140
