phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
bert,openf1,qwen,bert,1,0.8970105051994324,0.0,0.8970105051994324,0.8970105051994324,0.8970105051994324,0.0,0.8970105051994324,0.8970105051994324,14.722401387646677,0.0,915.0222326027396,0.0,915.0222326027396,915.0222326027396,2732.1740509942174,0.0,73.98317195475101,0.0,2451.5442478004843,0.0,2337.0,163.0,64
bert,openf1,json_manip,bert,1,0.9530524611473083,0.0,0.9530524611473083,0.9530524611473083,0.9530524611473083,0.0,0.9530524611473083,0.9530524611473083,14.120154564148873,0.0,909.7670851028262,0.0,909.7670851028262,909.7670851028262,2747.9560878127813,0.0,255.41510386392474,0.0,2413.8175749685615,0.0,2337.0,163.0,64
bert,openf1,schema_alter,bert,1,0.9577637910842896,0.0,0.9577637910842896,0.9577637910842896,0.9577637910842896,0.0,0.9577637910842896,0.9577637910842896,22.114718639015837,0.0,872.3975414572245,0.0,872.3975414572245,872.3975414572245,2865.666030906141,0.0,312.3032730072737,0.0,2479.3174751102924,0.0,2392.0,108.0,64
bert,finnhub,schema_alter,bert,1,0.8245019316673279,0.0,0.8245019316673279,0.8245019316673279,0.8245019316673279,0.0,0.8245019316673279,0.8245019316673279,23.848973579850878,0.0,838.9744442665213,0.0,838.9744442665213,838.9744442665213,2979.828547919169,0.0,159.20232399366796,0.0,2777.430647984147,0.0,2398.0,102.0,64
bert,finnhub,qwen,bert,1,0.8034461140632629,0.0,0.8034461140632629,0.8034461140632629,0.8034461140632629,0.0,0.8034461140632629,0.8034461140632629,21.772218345162898,0.0,837.5598858230512,0.0,837.5598858230512,837.5598858230512,2984.861192991957,0.0,45.18195288255811,0.0,2844.543837942183,0.0,2370.0,130.0,64
bert,finnhub,json_manip,bert,1,0.8100257515907288,0.0,0.8100257515907288,0.8100257515907288,0.8100257515907288,0.0,0.8100257515907288,0.8100257515907288,17.40188391020817,0.0,826.0972094609075,0.0,826.0972094609075,826.0972094609075,3026.2782289646566,0.0,38.56684686616063,0.0,2906.6140728536993,0.0,2334.0,166.0,64
bert,spacex,qwen,bert,1,0.8717435002326965,0.0,0.8717435002326965,0.8717435002326965,0.8717434406280518,0.0,0.8717434406280518,0.8717434406280518,4.687707079234554,0.0,3558.7512526729934,0.0,3558.7512526729934,3558.7512526729934,702.4936059024185,0.0,20.36689198575914,0.0,656.0391350649297,0.0,2363.0,137.0,64
bert,spacex,json_manip,bert,1,0.9398552179336548,0.0,0.9398552179336548,0.9398552179336548,0.9398552179336548,0.0,0.9398552179336548,0.9398552179336548,3.5420816465098834,0.0,3489.954536042891,0.0,3489.954536042891,3489.954536042891,716.3417099509388,0.0,19.44664097391069,0.0,674.1959068458527,0.0,2316.0,184.0,64
bert,spacex,schema_alter,bert,1,0.8402777910232544,0.0,0.8402777910232544,0.8402777910232544,0.8402778506278992,0.0,0.8402778506278992,0.8402778506278992,4.446851529387969,0.0,5661.098726955112,0.0,5661.098726955112,5661.098726955112,441.61038706079125,0.0,20.12820797972381,0.0,397.98536407761276,0.0,2428.0,72.0,64
bert,openweather,qwen,bert,1,0.8486913442611694,0.0,0.8486913442611694,0.8486913442611694,0.8486913442611694,0.0,0.8486913442611694,0.8486913442611694,3.748505963795935,0.0,5469.348858147131,0.0,5469.348858147131,5469.348858147131,457.0928029716015,0.0,19.817512948065996,0.0,412.91840211488307,0.0,2393.0,107.0,64
bert,openweather,schema_alter,bert,1,0.8425925970077515,0.0,0.8425925970077515,0.8425925970077515,0.8425925970077515,0.0,0.8425925970077515,0.8425925970077515,28.629289905506145,0.0,1109.8472787837247,0.0,1109.8472787837247,1109.8472787837247,2252.5621748063713,0.0,19.790079910308123,0.0,2210.433875909075,0.0,2446.0,54.0,64
