repetition,api,chaos_method,n_samples,routing_accuracy,balanced_accuracy,macro_f1,mean_confidence,mean_selected_reconciliation_accuracy,mean_oracle_reconciliation_accuracy,gpu_dispatch_rate
1,aviation_opensky,json_manip,250,0.388,0.388,0.13976945244956773,0.29791666666666666,1.0,1.0,0.432
1,aviation_opensky,qwen,250,0.372,0.372,0.13556851311953352,0.29507291666666663,1.0,1.0,0.472
1,aviation_opensky,schema_alter,250,0.196,0.196,0.08193979933110368,0.2852083333333334,1.0,1.0,0.468
1,clinical,json_manip,250,0.328,0.328,0.12349397590361445,0.29859375,1.0,1.0,0.38
1,clinical,qwen,250,0.304,0.304,0.1165644171779141,0.3039583333333334,1.0,1.0,0.364
1,clinical,schema_alter,250,0.372,0.372,0.13556851311953352,0.31609375,1.0,1.0,0.38
1,finnhub,json_manip,250,0.3,0.3,0.11538461538461539,0.28094791666666663,1.0,1.0,0.532
1,finnhub,qwen,250,0.288,0.288,0.11180124223602485,0.2810416666666667,1.0,1.0,0.516
1,finnhub,schema_alter,250,0.208,0.208,0.08609271523178808,0.2815833333333333,1.0,1.0,0.464
1,football_uefa,json_manip,250,0.556,0.556,0.17866323907455012,0.2840625,1.0,1.0,0.592
1,football_uefa,qwen,250,0.544,0.544,0.17616580310880828,0.28472916666666664,1.0,1.0,0.596
1,football_uefa,schema_alter,250,0.524,0.524,0.17191601049868765,0.28271875,1.0,1.0,0.584
1,hockey_nhl,json_manip,250,0.584,0.584,0.18434343434343434,0.2973125,1.0,1.0,0.592
1,hockey_nhl,qwen,250,0.5,0.5,0.16666666666666666,0.29584375,1.0,1.0,0.528
1,hockey_nhl,schema_alter,250,0.424,0.424,0.14887640449438203,0.2928645833333333,1.0,1.0,0.54
1,openf1,json_manip,250,0.264,0.264,0.10443037974683544,0.2787604166666666,1.0,1.0,0.544
1,openf1,qwen,250,0.196,0.196,0.08193979933110368,0.27888541666666666,1.0,1.0,0.424
1,openf1,schema_alter,250,0.188,0.188,0.07912457912457913,0.276875,1.0,1.0,0.476
1,openweather,json_manip,250,0.676,0.676,0.2016706443914081,0.2866979166666666,1.0,1.0,0.752
1,openweather,qwen,250,0.604,0.604,0.1882793017456359,0.28920833333333335,1.0,1.0,0.656
1,openweather,schema_alter,250,0.584,0.584,0.18434343434343434,0.29235416666666664,1.0,1.0,0.612
1,smartcity_transit,json_manip,250,0.236,0.236,0.09546925566343042,0.2744375,1.0,1.0,0.5
1,smartcity_transit,qwen,250,0.204,0.204,0.08471760797342193,0.2768854166666666,1.0,1.0,0.42
1,smartcity_transit,schema_alter,250,0.24,0.24,0.0967741935483871,0.27709375,1.0,1.0,0.452
1,spacex,json_manip,250,0.284,0.284,0.11059190031152648,0.28910416666666666,1.0,1.0,0.372
1,spacex,qwen,250,0.4,0.4,0.14285714285714285,0.28911458333333334,1.0,1.0,0.476
1,spacex,schema_alter,250,0.528,0.528,0.17277486910994763,0.29304166666666664,1.0,1.0,0.58
2,aviation_opensky,json_manip,250,0.456,0.456,0.1565934065934066,0.2972916666666667,1.0,1.0,0.464
2,aviation_opensky,qwen,250,0.372,0.372,0.13556851311953352,0.29833333333333334,1.0,1.0,0.468
2,aviation_opensky,schema_alter,250,0.204,0.204,0.08471760797342193,0.28630208333333335,1.0,1.0,0.444
2,clinical,json_manip,250,0.28,0.28,0.109375,0.2985625,1.0,1.0,0.316
2,clinical,qwen,250,0.304,0.304,0.1165644171779141,0.3034166666666666,1.0,1.0,0.348
2,clinical,schema_alter,250,0.396,0.396,0.14183381088825214,0.31570833333333337,1.0,1.0,0.4
2,finnhub,json_manip,250,0.276,0.276,0.10815047021943573,0.28378125,1.0,1.0,0.504
2,finnhub,qwen,250,0.304,0.304,0.1165644171779141,0.284125,1.0,1.0,0.504
2,finnhub,schema_alter,250,0.22,0.22,0.09016393442622951,0.2832395833333333,1.0,1.0,0.488
2,football_uefa,json_manip,250,0.576,0.576,0.18274111675126903,0.28371875,1.0,1.0,0.62
2,football_uefa,qwen,250,0.472,0.472,0.16032608695652173,0.2844895833333333,1.0,1.0,0.516
2,football_uefa,schema_alter,250,0.556,0.556,0.17866323907455012,0.28303125,1.0,1.0,0.608
2,hockey_nhl,json_manip,250,0.536,0.536,0.17447916666666666,0.29921875,1.0,1.0,0.548
2,hockey_nhl,qwen,250,0.516,0.516,0.17018469656992086,0.29675,1.0,1.0,0.544
2,hockey_nhl,schema_alter,250,0.424,0.424,0.14887640449438203,0.2884791666666667,1.0,1.0,0.516
2,openf1,json_manip,250,0.192,0.192,0.08053691275167785,0.279125,1.0,1.0,0.444
2,openf1,qwen,250,0.216,0.216,0.08881578947368421,0.277375,1.0,1.0,0.492
2,openf1,schema_alter,250,0.22,0.22,0.09016393442622951,0.27727083333333336,1.0,1.0,0.508
2,openweather,json_manip,250,0.648,0.648,0.1966019417475728,0.28825,1.0,1.0,0.756
2,openweather,qwen,250,0.616,0.616,0.1905940594059406,0.29110416666666666,1.0,1.0,0.696
2,openweather,schema_alter,250,0.508,0.508,0.16843501326259946,0.2921875,1.0,1.0,0.532
2,smartcity_transit,json_manip,250,0.204,0.204,0.08471760797342193,0.2765520833333333,1.0,1.0,0.448
2,smartcity_transit,qwen,250,0.224,0.224,0.0915032679738562,0.2764479166666667,1.0,1.0,0.448
2,smartcity_transit,schema_alter,250,0.232,0.232,0.09415584415584416,0.27728125,1.0,1.0,0.496
2,spacex,json_manip,250,0.284,0.284,0.11059190031152648,0.2890625,1.0,1.0,0.396
2,spacex,qwen,250,0.304,0.304,0.1165644171779141,0.2899375,1.0,1.0,0.4
2,spacex,schema_alter,250,0.532,0.532,0.17362924281984335,0.2913020833333333,1.0,1.0,0.568
3,aviation_opensky,json_manip,250,0.388,0.388,0.13976945244956773,0.2994375,1.0,1.0,0.448
3,aviation_opensky,qwen,250,0.42,0.42,0.14788732394366197,0.29775,1.0,1.0,0.516
3,aviation_opensky,schema_alter,250,0.2,0.2,0.08333333333333333,0.2844375,1.0,1.0,0.452
3,clinical,json_manip,250,0.276,0.276,0.10815047021943573,0.29873958333333334,1.0,1.0,0.34
3,clinical,qwen,250,0.296,0.296,0.11419753086419752,0.30514583333333334,1.0,1.0,0.356
3,clinical,schema_alter,250,0.372,0.372,0.13556851311953352,0.31840625,1.0,1.0,0.376
3,finnhub,json_manip,250,0.312,0.312,0.11890243902439024,0.28046875,1.0,1.0,0.54
3,finnhub,qwen,250,0.284,0.284,0.11059190031152648,0.2827395833333334,1.0,1.0,0.488
3,finnhub,schema_alter,250,0.208,0.208,0.08609271523178808,0.283,1.0,1.0,0.444
3,football_uefa,json_manip,250,0.608,0.608,0.1890547263681592,0.28425,1.0,1.0,0.636
3,football_uefa,qwen,250,0.512,0.512,0.1693121693121693,0.28386458333333336,1.0,1.0,0.56
3,football_uefa,schema_alter,250,0.512,0.512,0.1693121693121693,0.28277083333333336,1.0,1.0,0.568
