phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
quantum,openf1,json_manip,quantum_routed,1,1925043681,0.6016287878787882,0.6016287878787882,0.04147040453972295,0.0,0.07837195880711079,41.21754447658868,60653.783036977984,2500,2324,176,50.71116704493761,60509.13861801382,256,1760
quantum,hockey_nhl,schema_alter,quantum_routed,1,864844442,0.7196145566604968,0.7196145566604968,0.25611340404591626,0.0,0.4155760398134589,48.69235643636009,51342.760608997196,2500,2446,54,14199.722105055116,30171.233003027737,256,1404
quantum,aviation_opensky,schema_alter,quantum_routed,1,3330513406,0.36290322580645157,0.36290322580645157,0.007511674231218715,0.0,0.030428986065089703,36.62768137242412,68254.38865704928,2500,2438,62,9583.145263022743,53827.049919986166,256,124
quantum,openweather,schema_alter,quantum_routed,1,3176273455,0.5294642857142857,0.5294642857142857,0.008534465450793505,0.0,0.02851604949682951,35.49782258858082,70426.85487994459,2500,2444,56,54.98249700758606,70148.17571395542,256,224
quantum,clinical,schema_alter,quantum_routed,1,623136646,0.375909090909091,0.375909090909091,0.01821882500680107,0.0,0.14738598838448524,35.02826932055662,71370.92549796216,2500,2434,66,31.793352914974093,70258.28771502711,256,330
quantum,spacex,schema_alter,quantum_routed,1,2306848957,0.14736842105263157,0.14736842105263157,0.007688525855835331,0.0,0.05444500129669905,33.85009504454258,73855.03635101486,2500,2424,76,29.697826015762985,73693.41177702881,256,304
quantum,football_uefa,schema_alter,quantum_routed,1,2773541159,0.5879120879120877,0.5879120879120877,0.0861731754238939,0.0,0.2159989671781659,34.72291933690262,71998.55449202005,2500,2416,84,6344.307743944228,61762.78465799987,256,1092
quantum,smartcity_transit,schema_alter,quantum_routed,1,4161577514,0.6067584590117491,0.6067584590117491,0.2813342753576026,0.0,9.592999937012792,34.32383543112964,72835.68309305701,2500,2416,84,815.731170005165,71390.59983706102,256,1680
quantum,finnhub,schema_alter,quantum_routed,1,1753426110,0.3112745098039215,0.3112745098039215,0.007737865078025589,0.0,0.03740307874977589,31.006803117469314,80627.46715708636,2500,2398,102,60.61359599698335,80477.15053893626,256,408
quantum,openf1,schema_alter,quantum_routed,1,871865710,0.4679629629629628,0.46796296296296275,0.0420829800768169,0.0,1.0973099851980805,30.153787608275714,82908.32423698157,2500,2392,108,244.03376900590956,82393.68084305897,256,1080
quantum,aviation_opensky,qwen,quantum_routed,1,2436039110,0.40366972477064195,0.40366972477064195,0.005975046297620743,0.0,0.030648894608020782,30.33874737042669,82402.87476195954,2500,2391,109,8591.06649493333,73148.94685789477,256,218
quantum,openweather,qwen,quantum_routed,1,2826526034,0.45892857142857146,0.45892857142857146,0.008718928646495832,0.0,0.05663000047206879,29.169908120716954,85704.76086705457,2500,2388,112,19.321968080475926,85454.61402391084,256,448
quantum,football_uefa,qwen,quantum_routed,1,2470270663,0.5670329670329667,0.5670329670329667,0.08085879747669737,0.0,0.1534380717203021,30.568843367947103,81782.61669597123,2500,2381,119,8700.108928023838,66856.53146600816,256,1547
quantum,hockey_nhl,qwen,quantum_routed,1,587980450,0.7830820234652595,0.7830820234652595,2.1355104447168305,0.0,188.06158495135605,36.22588792487066,69011.42092596274,2500,2377,123,8663.375193951651,48689.398265094496,256,3198
quantum,smartcity_transit,qwen,quantum_routed,1,961063833,0.6884382317098108,0.6884382317098108,0.18693370185792446,0.0,0.8297410095110536,28.407432915088368,88005.13610197231,2500,2375,125,619.797782972455,83944.64534893632,256,2500
quantum,finnhub,qwen,quantum_routed,1,1301935308,0.4196153846153846,0.41961538461538456,0.70615788259042,0.0,90.6313480809331,26.470806139568428,94443.66698991507,2500,2370,130,19.107723026536405,94356.4542819513,256,520
quantum,clinical,qwen,quantum_routed,1,608992924,0.4638704206241519,0.4638704206241519,0.013622619496630644,0.0,0.049135065637528896,25.98935203532971,96193.24085500557,2500,2366,134,37.2436810284853,95695.47002494801,256,670
quantum,spacex,qwen,quantum_routed,1,1869236560,0.39716269841269847,0.39716269841269847,0.008569662791809865,0.0,0.04223198629915714,25.219194640172674,99130.84203004837,2500,2360,140,29.593675048090518,99038.30929496326,256,560
quantum,openweather,json_manip,quantum_routed,1,1388894160,0.6288590604026846,0.6288590604026846,0.010883850483036282,0.0,0.037602963857352734,24.84034426637145,100642.72753999103,2500,2351,149,19.580240012146533,100538.69912703522,256,596
