phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
quantum,openf1,json_manip,quantum_routed,1,1925043681,0.9117797,0.9117797017097473,13.55265936260026,0.04833401180803776,826.2804020196199,909.0101479700924,2750.244324095547,2500,2337,163,79.7859710874036,2598.6448519397527,64,1630
quantum,openf1,schema_alter,quantum_routed,1,871865710,0.86722237,0.8672223687171936,24.437067051487112,0.05294289439916611,841.2082410650328,804.6601691556261,3106.9016410037875,2500,2392,108,202.82372494693846,2839.313957025297,64,1080
quantum,openf1,qwen,quantum_routed,1,3260074454,0.8714265,0.871426522731781,19.350041607181765,0.04888500552624464,833.91823398415,746.9972934991825,3346.732339938171,2500,2347,153,88.09614600613713,3184.093883028254,64,1530
quantum,finnhub,json_manip,quantum_routed,1,3091342568,0.79295075,0.7929507493972778,21.598973939837368,0.008807051926851273,823.782677995041,653.3384704031312,3826.500524999574,2500,2339,161,40.40727706160396,3742.099605035037,64,644
quantum,finnhub,qwen,quantum_routed,1,1301935308,0.75080234,0.7508023381233215,30.751625787860785,0.010390067473053932,820.3770540421829,593.7864396465282,4210.267923073843,2500,2370,130,19.67244897969067,4152.7936910279095,64,520
quantum,finnhub,schema_alter,quantum_routed,1,1753426110,0.7843061,0.7843061089515686,42.16490149059717,0.027442933060228825,849.254613975063,513.8344886153008,4865.379913942888,2500,2398,102,247.74826306384057,4574.609062983654,64,408
quantum,spacex,schema_alter,quantum_routed,1,2306848957,0.7840276,0.7840275764465332,32.01685082038037,0.030629104003310204,111.44473298918456,940.9659351030294,2656.844320008531,2500,2428,72,19.836696912534535,2375.8847640128806,64,288
quantum,spacex,qwen,quantum_routed,1,1869236560,0.81793296,0.8179329633712769,26.478806830922238,0.009659095667302608,350.63448909204453,659.0416884244135,3793.3867370011285,2500,2363,137,19.936972064897418,3749.0134979598224,64,548
quantum,openweather,schema_alter,quantum_routed,1,3176273455,0.826852,0.826852023601532,34.71910371660703,0.02763408701866865,118.28798393253237,1259.7808643231647,1984.472117968835,2500,2446,54,19.857687992043793,1940.601574955508,64,216
quantum,openweather,qwen,quantum_routed,1,2826526034,0.8205422,0.8205422163009644,26.36617472369189,0.010048970580101013,118.89351706486195,845.9734077746353,2955.1756320288405,2500,2393,107,19.859211053699255,2911.053400952369,64,428
quantum,spacex,json_manip,quantum_routed,1,1880403096,0.8716978,0.8716978430747986,75.12614834970167,0.009548966772854328,5174.0780279506,178.62304044921194,13995.954797952436,2500,2316,184,19.37859901227057,13954.368544043973,64,736
quantum,openweather,json_manip,quantum_routed,1,1388894160,0.84299374,0.8429937958717346,156.61374631340948,0.009347917512059212,5883.91046889592,106.34044266390055,23509.399974020198,2500,2351,149,19.80453508440405,23467.00814703945,64,596
quantum,hockey_nhl,qwen,quantum_routed,1,587980450,0.8827981,0.8827980756759644,133.42890143583764,0.2574090613052249,7548.9667389774695,100.22190648268396,24944.646212970838,2500,2377,123,6398.950494010933,16714.287359034643,64,3198
quantum,hockey_nhl,schema_alter,quantum_routed,1,864844442,0.7474010996618793,0.7474010996618793,0.30988020201524097,0.2653850242495537,0.3657990600913763,239.98194983168742,10417.450153036043,2500,2449,51,8047.441806062125,90.22977307904512,64,1326
quantum,hockey_nhl,json_manip,quantum_routed,1,3055161910,0.92393774,0.9239376783370972,74.8847267011533,0.2473100321367383,8471.48814308457,109.74192944338455,22780.718479072675,2500,2315,185,6373.959188931622,14270.985438022763,64,4810
quantum,clinical,json_manip,quantum_routed,1,2268059618,0.8755199,0.875519871711731,230.84505609222106,0.014397897757589817,8544.681429048069,67.37987078682939,37103.06907398626,2500,2340,160,23.497104994021356,37054.25338004716,64,800
quantum,clinical,qwen,quantum_routed,1,608992924,0.819406,0.8194059729576111,313.79744117334485,0.014628050848841667,8000.844795955345,63.44472608727361,39404.378490988165,2500,2375,125,23.43572594691068,39354.01849204209,64,625
quantum,clinical,schema_alter,quantum_routed,1,623136646,0.7696966,0.7696965932846069,620.1033570546177,0.03530899994075298,8455.766251077875,60.80543784833985,41114.74382004235,2500,2434,66,23.446907056495547,41066.56662595924,64,330
quantum,football_uefa,qwen,quantum_routed,1,2470270663,0.8854393,0.8854393362998962,41.30356042340648,0.07869303226470947,2305.7576019782573,387.0621560535358,6458.910954999737,2500,2381,119,1096.6199239483103,5003.023992991075,64,1547
quantum,smartcity_transit,qwen,quantum_routed,1,961063833,0.87628657,0.8762865662574768,4.440280979329217,0.18333597108721733,51.996681955643,2942.3518084253847,849.6604630490765,2500,2374,126,110.7584519777447,658.6754570016637,64,2520
quantum,football_uefa,json_manip,quantum_routed,1,3496647998,0.9235468,0.9235467910766602,27.06722707896516,0.07801107130944729,2307.3685159906745,417.3706600921349,5989.879593951628,2500,2336,164,1089.6797849563882,4561.824683914892,64,2132
quantum,smartcity_transit,schema_alter,quantum_routed,1,4161577514,0.8357620673257711,0.8357620673257711,0.19893728667961025,0.18715299665927887,0.29221700970083475,10118.540812094025,247.07119795493782,2500,2418,82,108.9804139919579,65.92858792282641,64,1640
quantum,aviation_opensky,schema_alter,quantum_routed,1,3330513406,0.62133354,0.6213335394859314,121.52958655885111,0.013885903172194958,1772.2215940011665,238.6515409756233,10475.524229928851,2500,2425,75,1138.4328270796686,9213.643653900363,64,150
quantum,football_uefa,schema_alter,quantum_routed,1,2773541159,0.9012682,0.9012681841850281,23.293196191693973,0.07765099871903658,363.07318799663335,596.3306032783323,4192.305386066437,2500,2409,91,1084.817547001876,2213.700535008684,64,1183
quantum,aviation_opensky,qwen,quantum_routed,1,2436039110,0.52935785,0.5293578505516052,148.14883267823095,0.004027970135211945,4921.061372035183,133.2441434129204,18762.550728046335,2500,2391,109,2222.2610670141876,16313.401983003132,64,218
quantum,smartcity_transit,json_manip,quantum_routed,1,3522405332,0.939358,0.9393580555915833,6.988616646498858,0.181852956302464,364.0702919801697,1699.7040800183115,1470.8442660048604,2500,2339,161,109.54160103574395,1288.5932079516351,64,3220
quantum,aviation_opensky,json_manip,quantum_routed,1,2683236806,0.54787886,0.5478788614273071,69.71784238491885,0.0037570716813206673,2307.4517169734463,194.12030465784017,12878.611562075093,2500,2335,165,1140.1445359224454,11617.947735008784,64,330
