phase,api,chaos_method,reconciler,iteration,packet_idx,source_field,drifted_field,chaos_sub_type,reconciliation_status,quantum_routed,payload_source,chaos_type,selected_reconciler,optimal_reconciler,routing_decision_match,qpu_execution_time_ms,classical_simulation_baseline_ms,quantum_loop_iterations,gate_fidelity_average,qubit_coherence_status_score,gpu_energy_draw_joules,cpu_energy_draw_joules
quantum,openf1,qwen,bert,1,9,date,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,9,driver_number,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,9,rpm,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,9,speed,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,9,gear,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,9,throttle,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,9,brake,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,9,drs,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,9,n_gear,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,9,session_key,,qwen_semantic_shift,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,date,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,driver_number,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,rpm,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,speed,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,gear,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,throttle,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,brake,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,drs,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,n_gear,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,10,session_key,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,date,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,driver_number,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,rpm,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,speed,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,gear,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,throttle,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,brake,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,drs,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,n_gear,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,73,session_key,,json_field_split,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,date,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,driver_number,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,rpm,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,speed,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,gear,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,throttle,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,brake,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,drs,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,n_gear,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,77,session_key,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,levenshtein,1,81,n_gear,n_gear,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,81,driver_number,driver_number,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,81,gear,gear,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,81,speed,speed,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,81,throttle,throttle,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,81,drs,drs,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,81,rpm,rpm,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,81,session_key,session_key,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,81,date,date,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,81,brake,brake,schema_type_change,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,n_gear,gear,json_variable_drop,SUCCESS,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,driver_number,driver_number,json_variable_drop,FALSE_POSITIVE,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,gear,gear,json_variable_drop,FALSE_POSITIVE,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,speed,speed,json_variable_drop,FALSE_POSITIVE,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,throttle,throttle,json_variable_drop,FALSE_POSITIVE,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,drs,drs,json_variable_drop,FALSE_POSITIVE,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,rpm,rpm,json_variable_drop,FALSE_POSITIVE,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,session_key,session_key,json_variable_drop,FALSE_POSITIVE,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,date,date,json_variable_drop,FALSE_POSITIVE,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,levenshtein,1,90,brake,brake,json_variable_drop,FALSE_POSITIVE,True,openf1,qwen,levenshtein,levenshtein,True,30315.968417000022,0.0,166,0.992,0.985,0.0,0.05
quantum,openf1,qwen,bert,1,113,date,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,113,driver_number,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,113,rpm,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,113,speed,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,113,gear,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,113,throttle,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,113,brake,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,113,drs,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,113,n_gear,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
quantum,openf1,qwen,bert,1,113,session_key,,json_null_injection,FAILURE,True,openf1,qwen,bert,levenshtein,False,30315.968417000022,0.0,166,0.992,0.985,0.3,0.95
