phase,api,chaos_method,reconciler,iteration,packet_idx,source_field,drifted_field,chaos_sub_type,reconciliation_status,quantum_routed,payload_source,chaos_type,selected_reconciler,optimal_reconciler,routing_decision_match,qpu_execution_time_ms,classical_simulation_baseline_ms,quantum_loop_iterations,gate_fidelity_average,qubit_coherence_status_score,gpu_energy_draw_joules,cpu_energy_draw_joules
quantum,openf1,qwen,regex,1,60,throttle,throttle,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,regex,1,60,gear,gear,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,regex,1,60,rpm,rpm,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,regex,1,60,session_key,session_key,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,regex,1,60,date,date,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,regex,1,60,n_gear,gear,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,regex,1,60,brake,brake,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,regex,1,60,drs,drs,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,regex,1,60,speed,speed,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,regex,1,60,driver_number,driver_number,schema_unit_conversion,SUCCESS,True,openf1,qwen,regex,levenshtein,False,0.0,0.0,1,0.99,0.98,0.0,0.05
quantum,openf1,qwen,bert,1,66,date,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,0.0,0.0,1,0.99,0.98,0.3,0.95
quantum,openf1,qwen,bert,1,66,driver_number,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,0.0,0.0,1,0.99,0.98,0.3,0.95
quantum,openf1,qwen,bert,1,66,rpm,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,0.0,0.0,1,0.99,0.98,0.3,0.95
quantum,openf1,qwen,bert,1,66,speed,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,0.0,0.0,1,0.99,0.98,0.3,0.95
quantum,openf1,qwen,bert,1,66,gear,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,0.0,0.0,1,0.99,0.98,0.3,0.95
quantum,openf1,qwen,bert,1,66,throttle,,schema_nesting_deepen,FAILURE,True,openf1,qwen,bert,bert,True,0.0,0.0,1,0.99,0.98,0.3,0.95
