phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
quantum,openf1,qwen,quantum_routed,1,124413651,0.6064708019253474,0.6064708019253474,0.022263494063192953,0.0,0.1794580020941794,6664.702800954364,375.11049999739043,2500,2423,77,0.39283401565626264,362.6830000139307,4,770
quantum,openf1,json_manip,quantum_routed,1,1421736840,0.7550374531835207,0.7550374531835207,0.019667695637457492,0.0,0.05279199103824794,29630.288083445597,84.37312499154359,2500,2411,89,0.41695800609886646,72.1016250026878,4,890
quantum,openf1,schema_alter,quantum_routed,1,1656654003,0.6506122448979592,0.6506122448979592,0.021241468672013403,0.0,0.06458300049416721,49529.22472074161,50.475249998271465,2500,2451,49,0.454249995527789,38.575166021473706,4,490
quantum,finnhub,qwen,quantum_routed,1,2101823383,0.4871212121212121,0.4871212121212121,0.005250028069977733,0.0,0.01983300899155438,44814.278153516105,55.78579200664535,2500,2434,66,0.2625840133987367,47.90020899963565,4,264
quantum,finnhub,json_manip,quantum_routed,1,109156156,0.5872093023255814,0.5872093023255814,0.005769792085968305,0.0,0.03500000457279384,35306.66222989112,70.80816599773243,2500,2414,86,0.2735000161919743,62.9233329964336,4,344
quantum,finnhub,schema_alter,quantum_routed,1,1180999412,0.47647058823529415,0.47647058823529415,0.00823780554164128,0.0,0.042166997445747256,29350.96193822261,85.17608401598409,2500,2449,51,0.8969579939730465,59.79375002789311,4,204
quantum,spacex,qwen,quantum_routed,1,456076463,0.46826923076923077,0.46826923076923077,0.0064855389959680345,0.0,0.02391598536632955,54837.288240592155,45.589416986331344,2500,2448,52,0.25954097509384155,37.848291016416624,4,208
quantum,spacex,json_manip,quantum_routed,1,1546630480,0.5159574468085106,0.5159574468085106,0.006079808140094293,0.0,0.05245799547992647,33497.56429731626,74.63229200220667,2500,2406,94,0.27291697915643454,67.17770898831077,4,376
quantum,spacex,schema_alter,quantum_routed,1,892939638,0.23974358974358978,0.23974358974358978,0.004190179961136518,0.0,0.02058298559859395,68811.7585338876,36.331000010250136,2500,2461,39,0.2837499778252095,28.70533399982378,4,156
quantum,openweather,qwen,quantum_routed,1,1952457707,0.5454545454545454,0.5454545454545454,0.005919819655404849,0.0,0.03212501178495586,43721.26212133124,57.18041700311005,2500,2434,66,0.3098339948337525,49.19020799570717,4,264
quantum,openweather,json_manip,quantum_routed,1,861920015,0.548901098901099,0.548901098901099,0.005489010888325808,0.0,0.023625005269423127,31178.079178213327,80.18454202101566,2500,2409,91,0.3327919985167682,72.2549160127528,4,364
quantum,openweather,schema_alter,quantum_routed,1,180437580,0.28243243243243243,0.28243243243243243,0.0035528902190963964,0.0,0.015208992408588529,75057.51205071731,33.307792007690296,2500,2463,37,0.3869170031975955,25.657790974946693,4,148
quantum,clinical,qwen,quantum_routed,1,97606458,0.5781795224977042,0.5781795224977042,0.008561165569434788,0.0,0.03729201853275299,41528.41165920534,60.19975000526756,2500,2434,66,0.3020830044988543,51.85354201239534,4,330
quantum,clinical,json_manip,quantum_routed,1,1485324618,0.6625,0.6625,0.008165167985550528,0.0,0.022332998923957348,30368.4911502149,82.322166999802,2500,2416,84,0.28654199559241533,73.86112501262687,4,420
quantum,clinical,schema_alter,quantum_routed,1,664290616,0.14545454545454548,0.14545454545454548,0.0040833639848808,0.0,0.042625004425644875,98239.38900645816,25.448041007621214,2500,2478,22,0.28004098567180336,17.57799999904819,4,110
quantum,hockey_nhl,qwen,quantum_routed,1,1110758285,0.7686367773279025,0.7686367773279025,0.10967999784924994,0.0,0.19904100918211043,2630.097095259153,950.5352500127628,2500,2434,66,22.632625012192875,104.31679099565372,4,1716
quantum,hockey_nhl,json_manip,quantum_routed,1,2054551683,0.815528666090464,0.815528666090464,0.11776311269417154,0.0,0.3388750192243606,2539.8205769149627,984.3215000000782,2500,2411,89,16.880291019333526,144.46324997697957,4,2314
quantum,hockey_nhl,schema_alter,quantum_routed,1,543720328,0.7748001741913985,0.7748001741913985,0.1530679192479798,0.08954197983257473,0.28729200130328536,2410.3349377477753,1037.2002499934752,2500,2462,38,21.148375002667308,70.66949998261407,4,988
quantum,aviation_opensky,qwen,quantum_routed,1,1737276155,0.4618181818181818,0.4618181818181818,0.003430272706530311,0.0,0.01562500256113708,25184.59274149818,99.26704099052586,2500,2445,55,0.7828329980839044,46.65683401981369,4,110
quantum,aviation_opensky,json_manip,quantum_routed,1,1060344106,0.43209876543209874,0.43209876543209874,0.004068456797136201,0.0,0.024457986000925303,15460.179989088312,161.7057499825023,2500,2419,81,1.9983329984825104,110.72804097784683,4,162
quantum,aviation_opensky,schema_alter,quantum_routed,1,1410443053,0.28125,0.28125,0.0031354366001323797,0.0,0.018499995348975062,31861.643999959182,78.46424999297597,2500,2468,32,0.8191659871954471,29.555916000390425,4,64
quantum,football_uefa,qwen,quantum_routed,1,687962770,0.6287179487179487,0.6287179487179487,0.028082171532635886,0.0,0.1399169850628823,12277.3502543184,203.62699998077005,2500,2425,75,3.8831669953651726,78.07562500238419,4,975
quantum,football_uefa,json_manip,quantum_routed,1,1842218920,0.8146931719965428,0.8146931719965429,0.03549342731725466,0.0,0.13316699187271297,4069.807235043346,614.2797080101445,2500,2411,89,4.609416995663196,103.82049999316223,4,1157
quantum,football_uefa,schema_alter,quantum_routed,1,577235391,0.8321678321678322,0.8321678321678322,0.03607832971311203,0.0,0.10870798723772168,16544.923605165397,151.1037499876693,2500,2467,33,3.4372500085737556,30.045250023249537,4,429
quantum,smartcity_transit,qwen,quantum_routed,1,855795437,0.7759977684879491,0.7759977684879492,0.07121891144718696,0.0,0.18570898100733757,26067.372082235812,95.90533300070092,2500,2433,67,0.9402919968124479,68.77129100030288,4,1340
quantum,smartcity_transit,json_manip,quantum_routed,1,109971740,0.7713273867709352,0.7713273867709352,0.06514152709735177,0.0,0.12166702072136104,21036.429897156366,118.8414579955861,2500,2407,93,0.9285830019507557,93.46420801011845,4,1860
quantum,smartcity_transit,schema_alter,quantum_routed,1,879097349,0.8171003954013824,0.8171003954013824,0.08181872617569752,0.06362501881085336,0.19308298942632973,37798.4661481257,66.14024998270907,2500,2460,40,0.953790993662551,40.521084010833874,4,800
