phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
quantum,openf1,qwen,quantum_routed,1,3260074454,0.4462489303945,0.4462489303945,0.01275341179003774,0.0,0.04283399903215468,70.29274296212742,35565.54908302496,2500,2342,158,13.409125007456169,35537.50812500948,8,1580
quantum,openf1,json_manip,quantum_routed,1,1925043681,0.4639877300613497,0.4639877300613497,0.015393914576288473,0.0,0.1890840067062527,109.53920966038119,22822.87783297943,2500,2337,163,13.793792022624984,22795.23000001791,8,1630
quantum,openf1,schema_alter,quantum_routed,1,871865710,0.48384259259259255,0.48384259259259255,0.013168630647231583,0.0,0.08399999933317304,94.4047237506373,26481.725709018065,2500,2392,108,14.35187499737367,26450.348915997893,8,1080
quantum,finnhub,qwen,quantum_routed,1,1301935308,0.4461538461538462,0.44615384615384623,0.00516994645854888,0.0,0.022124993847683072,116.88762456906923,21388.064041995676,2500,2370,130,6.845583993708715,21372.147584013874,8,520
quantum,finnhub,json_manip,quantum_routed,1,3091342568,0.4632530120481928,0.4632530120481928,0.004851409544079867,0.0,0.05841700476594269,114.67939598626803,21799.90554100368,2500,2334,166,7.0610420079901814,21779.792165994877,8,664
quantum,finnhub,schema_alter,quantum_routed,1,1753426110,0.40147058823529413,0.4014705882352942,0.006581636090927264,0.0,0.06970801041461527,93.37396466251117,26774.0585829888,2500,2398,102,7.208834023913369,26756.71004198375,8,408
quantum,spacex,qwen,quantum_routed,1,1869236560,0.4237961551830165,0.4237961551830165,0.004683088011577399,0.0,0.018166989320889115,92.11858192920288,27138.932749978267,2500,2363,137,7.013875001575798,27122.311707993504,8,548
quantum,spacex,json_manip,quantum_routed,1,1880403096,0.4739130434782609,0.4739130434782609,0.004569977729419327,0.0,0.041207997128367424,89.5920940495706,27904.24787500524,2500,2316,184,7.164959009969607,27887.35295800143,8,736
quantum,spacex,schema_alter,quantum_routed,1,2306848957,0.35694444444444445,0.35694444444444445,0.005702541481393079,0.0,0.060999998822808266,128.92039896775947,19391.810916014947,2500,2428,72,6.581665977137163,19375.05741600762,8,288
quantum,openweather,qwen,quantum_routed,1,2826526034,0.3602803738317757,0.3602803738317757,0.0037737201603355807,0.0,0.02129099448211491,114.56785584892373,21821.129334013676,2500,2393,107,7.509707997087389,21802.811125002336,8,428
quantum,openweather,json_manip,quantum_routed,1,1388894160,0.34530201342281874,0.34530201342281874,0.003928691500347832,0.0,0.04616699879989028,116.99324551194638,21368.755000003148,2500,2351,149,6.869208009447902,21351.257749978686,8,596
quantum,openweather,schema_alter,quantum_routed,1,3176273455,0.30462962962962964,0.30462962962962964,0.0065687032744150475,0.0,0.05787500413134694,133.8803807649253,18673.385791975306,2500,2446,54,6.768499995814636,18655.66387498984,8,216
quantum,clinical,qwen,quantum_routed,1,608992924,0.44799636363636364,0.4479963636363636,0.006410039495676756,0.0,0.07066599209792912,110.09363511539722,22707.943082990823,2500,2375,125,9.58899999386631,22678.974042006303,8,625
quantum,clinical,json_manip,quantum_routed,1,2268059618,0.45806250000000004,0.4580625,0.007114604886737652,0.0,0.18279199139215052,114.16318739112312,21898.477583978092,2500,2340,160,8.149667002726346,21878.087791003054,8,800
quantum,clinical,schema_alter,quantum_routed,1,623136646,0.3777272727272728,0.3777272727272728,0.009315044735558331,0.0,0.07437501335516572,133.30717846502637,18753.67874998483,2500,2434,66,8.29233299009502,18734.943999996176,8,330
quantum,hockey_nhl,qwen,quantum_routed,1,587980450,0.320760419326389,0.320760419326389,0.045067723698505174,0.0,0.190417020348832,124.79159985028866,20033.399707986973,2500,2377,123,2500.8705829968676,16891.96116599487,8,3198
quantum,hockey_nhl,json_manip,quantum_routed,1,3055161910,0.39388840257261315,0.39388840257261315,0.047434000235453654,0.0,0.24829100584611297,99.98744290908282,25003.139666980132,2500,2315,185,2477.118834009161,21897.760499996366,8,4810
quantum,hockey_nhl,schema_alter,quantum_routed,1,864844442,0.4113622222103059,0.4113622222103059,0.06813321527385828,0.0,0.1966250129044056,143.86954186446056,17376.853833004134,2500,2449,51,2572.5319999910425,14180.738124996424,8,1326
quantum,aviation_opensky,qwen,quantum_routed,1,2436039110,0.19449541284403668,0.19449541284403668,0.0014434680193149989,0.0,0.014667020877823234,125.13571542083152,19978.309083002387,2500,2391,109,444.8272080044262,19486.477415979607,8,218
quantum,aviation_opensky,json_manip,quantum_routed,1,2683236806,0.30242424242424243,0.30242424242424243,0.002503823877001802,0.0,0.03762499545700848,104.63839015431164,23891.804874991067,2500,2335,165,444.1347499960102,23403.979208000237,8,330
quantum,aviation_opensky,schema_alter,quantum_routed,1,3330513406,0.16133333333333333,0.16133333333333333,0.0035578012466430664,0.0,0.03070800448767841,127.78839332746993,19563.592082995456,2500,2425,75,455.081166990567,19062.75100001949,8,150
