phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
quantum,openf1,qwen,quantum_routed,1,0.44238964621876015,0.0,0.44238964621876015,0.44238964621876015,0.44238964621876015,0.0,0.44238964621876015,0.44238964621876015,0.013502139142785174,0.0,103.1546897908752,0.0,103.1546897908752,103.1546897908752,24235.44683298678,0.0,14.806207997025922,0.0,24202.56416700431,0.0,2342.0,158.0,8
quantum,openf1,json_manip,quantum_routed,1,0.5015848670756645,0.0,0.5015848670756645,0.5015848670756645,0.5015848670756645,0.0,0.5015848670756645,0.5015848670756645,0.012915657170436865,0.0,159.28872360233683,0.0,159.28872360233683,159.28872360233683,15694.770750007592,0.0,13.028624991420656,0.0,15668.410666985437,0.0,2337.0,163.0,8
quantum,openf1,schema_alter,quantum_routed,1,0.44759259259259254,0.0,0.44759259259259254,0.44759259259259254,0.44759259259259254,0.0,0.44759259259259254,0.44759259259259254,0.01370217608011983,0.0,194.6113517891228,0.0,194.6113517891228,194.6113517891228,12846.11600000062,0.0,12.297167006181553,0.0,12820.33129100455,0.0,2392.0,108.0,8
quantum,finnhub,qwen,quantum_routed,1,0.44884615384615384,0.0,0.44884615384615384,0.44884615384615384,0.4488461538461539,0.0,0.4488461538461539,0.4488461538461539,0.00358010740735783,0.0,103.43430152990511,0.0,103.43430152990511,103.43430152990511,24169.931666983757,0.0,6.61862498964183,0.0,24153.790666983696,0.0,2370.0,130.0,8
quantum,finnhub,json_manip,quantum_routed,1,0.45180722891566266,0.0,0.45180722891566266,0.45180722891566266,0.45180722891566266,0.0,0.45180722891566266,0.45180722891566266,0.00431577125227595,0.0,108.86527610726694,0.0,108.86527610726694,108.86527610726694,22964.163500000723,0.0,7.083792006596923,0.0,22947.22066700342,0.0,2334.0,166.0,8
quantum,finnhub,schema_alter,quantum_routed,1,0.42990196078431375,0.0,0.42990196078431375,0.42990196078431375,0.42990196078431375,0.0,0.42990196078431375,0.42990196078431375,0.006431373014279148,0.0,187.24493437467706,0.0,187.24493437467706,187.24493437467706,13351.496040995698,0.0,8.495417016092688,0.0,13333.300166996196,0.0,2398.0,102.0,8
quantum,spacex,qwen,quantum_routed,1,0.34761726513551333,0.0,0.34761726513551333,0.34761726513551333,0.34761726513551333,0.0,0.34761726513551333,0.34761726513551333,0.003890197275437578,0.0,102.52814287596372,0.0,102.52814287596372,102.52814287596372,24383.549041987862,0.0,7.140542002161965,0.0,24366.095583012793,0.0,2363.0,137.0,8
quantum,spacex,json_manip,quantum_routed,1,0.48777173913043476,0.0,0.48777173913043476,0.48777173913043476,0.48777173913043476,0.0,0.48777173913043476,0.48777173913043476,0.012396043451229596,0.0,94.50333168301809,0.0,94.50333168301809,94.50333168301809,26454.0937920101,0.0,7.376833003945649,0.0,26437.0349169767,0.0,2316.0,184.0,8
quantum,spacex,schema_alter,quantum_routed,1,0.3277777777777778,0.0,0.3277777777777778,0.3277777777777778,0.3277777777777778,0.0,0.3277777777777778,0.3277777777777778,0.005673528600406523,0.0,241.3447468642475,0.0,241.3447468642475,241.3447468642475,10358.626125002047,0.0,7.620124990353361,0.0,10341.645499982405,0.0,2428.0,72.0,8
quantum,openweather,qwen,quantum_routed,1,0.3490654205607477,0.0,0.3490654205607477,0.3490654205607477,0.3490654205607477,0.0,0.3490654205607477,0.3490654205607477,0.004004672110933706,0.0,121.84906368221192,0.0,121.84906368221192,121.84906368221192,20517.1867920144,0.0,6.677416997263208,0.0,20501.243915990926,0.0,2393.0,107.0,8
quantum,openweather,json_manip,quantum_routed,1,0.2993288590604027,0.0,0.2993288590604027,0.2993288590604027,0.2993288590604027,0.0,0.2993288590604027,0.2993288590604027,0.0030816237335937135,0.0,129.13642645111346,0.0,129.13642645111346,129.13642645111346,19359.37108300277,0.0,9.652834007283673,0.0,19340.161708008964,0.0,2351.0,149.0,8
quantum,openweather,schema_alter,quantum_routed,1,0.3185185185185185,0.0,0.3185185185185185,0.3185185185185185,0.3185185185185185,0.0,0.3185185185185185,0.3185185185185185,0.005884278194840859,0.0,173.27707641944912,0.0,173.27707641944912,173.27707641944912,14427.759584010346,0.0,7.045041013043374,0.0,14410.481541999616,0.0,2446.0,54.0,8
quantum,clinical,qwen,quantum_routed,1,0.39212484848484847,0.0,0.39212484848484847,0.39212484848484847,0.39212484848484847,0.0,0.39212484848484847,0.39212484848484847,0.006798671558499336,0.0,186.68194919769553,0.0,186.68194919769553,186.68194919769553,13391.760750004323,0.0,8.432208996964619,0.0,13370.709500013618,0.0,2375.0,125.0,8
quantum,clinical,json_manip,quantum_routed,1,0.465,0.0,0.465,0.465,0.465,0.0,0.465,0.465,0.006829137055319734,0.0,154.27760660099548,0.0,154.27760660099548,154.27760660099548,16204.555249976693,0.0,8.773749985266477,0.0,16185.610499989707,0.0,2340.0,160.0,8
quantum,clinical,schema_alter,quantum_routed,1,0.2646969696969697,0.0,0.2646969696969697,0.2646969696969697,0.2646969696969697,0.0,0.2646969696969697,0.2646969696969697,0.006387604640401674,0.0,241.37383421868546,0.0,241.37383421868546,241.37383421868546,10357.377832988277,0.0,8.180999982869253,0.0,10336.68924999074,0.0,2434.0,66.0,8
quantum,hockey_nhl,qwen,quantum_routed,1,0.3926708147123941,0.0,0.3926708147123941,0.3926708147123941,0.3926708147123941,0.0,0.3926708147123941,0.3926708147123941,0.06071517880006534,0.0,120.39095928681357,0.0,120.39095928681357,120.39095928681357,20765.678874973673,0.0,2686.260999995284,0.0,17385.749791981652,0.0,2377.0,123.0,8
quantum,hockey_nhl,json_manip,quantum_routed,1,0.3542735042735044,0.0,0.3542735042735044,0.3542735042735044,0.35427350427350435,0.0,0.35427350427350435,0.35427350427350435,0.1082844753762254,0.0,109.06956536358986,0.0,109.06956536358986,109.06956536358986,22921.15120901144,0.0,2575.1277079980355,0.0,19691.20704199304,0.0,2315.0,185.0,8
quantum,hockey_nhl,schema_alter,quantum_routed,1,0.3230354915542566,0.0,0.3230354915542566,0.3230354915542566,0.3230354915542566,0.0,0.3230354915542566,0.3230354915542566,0.060157627826008725,0.0,156.12236671581263,0.0,156.12236671581263,156.12236671581263,16013.080333010294,0.0,2665.2664160064887,0.0,12618.818083021324,0.0,2449.0,51.0,8
quantum,aviation_opensky,qwen,quantum_routed,1,0.27706422018348625,0.0,0.27706422018348625,0.27706422018348625,0.27706422018348625,0.0,0.27706422018348625,0.27706422018348625,0.004509964278565907,0.0,115.02049544446614,0.0,115.02049544446614,115.02049544446614,21735.2567500202,0.0,487.95679199974984,0.0,21198.996042017825,0.0,2391.0,109.0,8
quantum,aviation_opensky,json_manip,quantum_routed,1,0.2787878787878788,0.0,0.2787878787878788,0.2787878787878788,0.2787878787878788,0.0,0.2787878787878788,0.2787878787878788,0.0022684543210109978,0.0,81.86955146366086,0.0,81.86955146366086,81.86955146366086,30536.383250000654,0.0,439.6009159972891,0.0,30053.19849998341,0.0,2335.0,165.0,8
quantum,aviation_opensky,schema_alter,quantum_routed,1,0.20533333333333334,0.0,0.20533333333333334,0.20533333333333334,0.20533333333333334,0.0,0.20533333333333334,0.20533333333333334,0.0030433060601353645,0.0,190.98899228258782,0.0,190.98899228258782,190.98899228258782,13089.759624999715,0.0,439.6677920012735,0.0,12607.07516700495,0.0,2425.0,75.0,8
quantum,football_uefa,qwen,quantum_routed,1,0.4286037491919845,0.0,0.4286037491919845,0.4286037491919845,0.4286037491919845,0.0,0.4286037491919845,0.4286037491919845,0.03839849407330719,0.0,9.812959045731617,0.0,9.812959045731617,9.812959045731617,254765.15170899802,0.0,445.79854200128466,0.0,254195.1383750129,0.0,2381.0,119.0,8
quantum,football_uefa,json_manip,quantum_routed,1,0.443796904315197,0.0,0.443796904315197,0.443796904315197,0.44379690431519697,0.0,0.44379690431519697,0.44379690431519697,0.016520835676446285,0.0,46.324927782506634,0.0,46.324927782506634,46.324927782506634,53966.62487499998,0.0,482.12004199740477,0.0,53372.647792013595,0.0,2336.0,164.0,8
quantum,football_uefa,schema_alter,quantum_routed,1,0.40557903634826714,0.0,0.40557903634826714,0.40557903634826714,0.40557903634826714,0.0,0.40557903634826714,0.40557903634826714,0.01957007699165043,0.0,99.22376701334302,0.0,99.22376701334302,99.22376701334302,25195.57637500111,0.0,467.967333010165,0.0,24607.241249992512,0.0,2409.0,91.0,8
quantum,smartcity_transit,qwen,quantum_routed,1,0.47062666581306933,0.0,0.47062666581306933,0.47062666581306933,0.47062666581306933,0.0,0.47062666581306933,0.47062666581306933,0.04321991282123481,0.0,157.75980280374978,0.0,157.75980280374978,157.75980280374978,15846.875791990897,0.0,38.57195799355395,0.0,15778.597083000932,0.0,2374.0,126.0,8
quantum,smartcity_transit,json_manip,quantum_routed,1,0.5094554358684794,0.0,0.5094554358684794,0.5094554358684794,0.5094554358684794,0.0,0.5094554358684794,0.5094554358684794,0.04334983767316856,0.0,63.006673811258004,0.0,63.006673811258004,63.006673811258004,39678.33641701145,0.0,38.85054198326543,0.0,39608.16999999224,0.0,2339.0,161.0,8
quantum,smartcity_transit,schema_alter,quantum_routed,1,0.5299588577340503,0.0,0.5299588577340503,0.5299588577340503,0.5299588577340503,0.0,0.5299588577340503,0.5299588577340503,0.05076734119140339,0.0,133.31216840195538,0.0,133.31216840195538,133.31216840195538,18752.976791001856,0.0,38.45045799971558,0.0,18688.12366601196,0.0,2418.0,82.0,8
