phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
cohere,openf1,qwen,cohere,1,3260074454,0.8006329113924051,0.8006329113924052,515.2268929057386,300.6803750176914,1256.7620410118252,30.697549205449434,81439.72612498328,2500,2342,158,11.732500017387792,81414.9832080002,8,1556
cohere,openf1,json_manip,cohere,1,1925043681,0.945398773006135,0.945398773006135,493.1084575157247,305.62812500284053,1131.1895000108052,31.086600682891422,80420.50095801824,2500,2337,163,15.352625021478161,80385.70266700117,8,1611
cohere,openf1,schema_alter,cohere,1,871865710,0.7722222222222223,0.7722222222222224,487.56655168377887,301.59616700257175,1023.124833998736,47.440469830500426,52697.62312498642,2500,2392,108,14.819833013461903,52663.67858299054,8,1061
cohere,finnhub,qwen,cohere,1,1301935308,0.6961538461538461,0.696153846153846,385.5312287771645,246.02966700331308,944.8547500069253,49.849352473261014,50151.10279197688,2500,2370,130,9.064541984116659,50126.01462501334,8,495
cohere,finnhub,json_manip,cohere,1,3091342568,0.8298192771084337,0.8298192771084337,410.10318227103176,247.64895800035447,894.206666998798,36.70457854204422,68111.39370899764,2500,2334,166,9.70391699229367,68086.05495799566,8,650
cohere,finnhub,schema_alter,cohere,1,1753426110,0.6225490196078431,0.6225490196078431,376.0223524812175,254.45474998559803,927.3295410093851,65.14886220818407,38373.65558298188,2500,2398,102,6.16725001600571,38359.30808301782,8,388
cohere,spacex,qwen,cohere,1,1869236560,0.7518248175182481,0.7518248175182481,399.9889129862006,235.68033298943192,897.4823330063373,45.595350944812516,54830.15150000574,2500,2363,137,9.238625003490597,54804.72162499791,8,520
cohere,spacex,json_manip,cohere,1,1880403096,0.9551630434782609,0.955163043478261,406.3802327860764,237.94837499735877,900.3497090016026,33.424292327149125,74795.89920799481,2500,2316,184,6.346707988996059,74781.76012501353,8,715
cohere,spacex,schema_alter,cohere,1,2306848957,0.5347222222222222,0.5347222222222222,415.08183568294044,253.4147080150433,684.2165409761947,83.56676676468005,29916.198708990123,2500,2428,72,9.678208007244393,29890.04333302728,8,265
cohere,openweather,qwen,cohere,1,2826526034,0.7780373831775701,0.7780373831775701,399.87040308541316,253.6938329867553,788.9817919931374,58.388334082154856,42816.77220799611,2500,2393,107,9.45366601808928,42791.27670798334,8,403
cohere,openweather,json_manip,cohere,1,1388894160,0.8758389261744967,0.8758389261744967,392.5382407853261,252.2295409871731,921.1301250034012,42.71848037857162,58522.681000002194,2500,2351,149,9.897707990603521,58495.72241699207,8,579
cohere,openweather,schema_alter,cohere,1,3176273455,0.4722222222222222,0.4722222222222222,360.88738420544865,236.70300000230782,749.0544579923153,128.10172793921782,19515.7398750016,2500,2446,54,9.547915979055688,19490.3534159821,8,199
