packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
5d87ffd818b8,spielberg_FP1,speed,sensor_dropout,detection,0.0,True
883fae752b36,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0,True
b71abc7d5989,spielberg_FP2,throttle,bit_flip_high,detection,0.0,True
a3a4be4897cf,spielberg_FP2,ecu_canbus_canbus,schema_drift,detection,0.0,True
530f80c442f1,spielberg_FP3,engine_temp,bit_flip_high,detection,0.0,True
5cdb8ab0a0f9,spielberg_FP3,tyre_pressure,string_in_numeric,detection,0.0,True
e2981a4d11a9,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.0,True
1f5bf3703e9d,spielberg_QUALI,tyre_pressure_new,schema_drift,detection,0.0,True
cc97a3d13069,spielberg_QUALI,speed,sensor_dropout,detection,0.0,True
fb7b984abbdf,spielberg_QUALI,engine_temp,duplicate_timestamp,detection,0.0,True
7d9056e8fb49,spielberg_RACE,throttle,null_value,detection,0.0,True
bfeef321763e,spielberg_RACE,brake_temp,null_value,detection,0.0,True
72281da851a0,silverstone_FP1,tyre_pressure_canbus,schema_drift,detection,0.0,True
eb936abb05f6,silverstone_FP1,heart_rate,bit_flip_high,detection,0.0,True
b7b07e95fe34,silverstone_FP1,throttle,bit_flip_low,detection,0.0,True
097cb41bd4b1,silverstone_FP1,brake_temp,bit_flip_high,detection,0.0,True
7688989821c4,silverstone_FP2,g_force_lateral,bit_flip_low,detection,0.0,True
4dea570ec72e,silverstone_FP3,speed,null_value,detection,0.0,True
110d9ccd863c,silverstone_QUALI,aero_load,duplicate_timestamp,detection,0.0,True
15cbdc1cbcc5,silverstone_RACE,heart_rate_new,schema_drift,detection,0.0,True
b510c4bcff12,budapest_FP1,rpm,duplicate_timestamp,detection,0.0,True
ff36afd6284a,budapest_FP1,aero_load,null_value,detection,0.0,True
560be18e4a3b,budapest_FP2,speed_v2,schema_drift,detection,0.0,True
ebb1e3c3e40e,budapest_FP3,g_force_lateral,bit_flip_low,detection,0.0,True
1cb8eb86b45e,budapest_FP3,speed,bit_flip_high,detection,0.0,True
56244059947c,budapest_QUALI,tyre_pressure_alt,schema_drift,detection,0.0,True
95770f529198,budapest_RACE,speed,null_value,detection,0.0,True
3e998cccb12c,budapest_RACE,engine_temp,bit_flip_low,detection,0.0,True
23e1df27d29b,budapest_RACE,tyre_pressure,sensor_dropout,detection,0.0,True
883fae752b36,,,dlq_repair,repair,0.0,False
530f80c442f1,,,dlq_repair,repair,0.0,True
fb7b984abbdf,,,dlq_repair,repair,0.0,True
bfeef321763e,,,dlq_repair,repair,0.0,False
097cb41bd4b1,,,dlq_repair,repair,0.0,False
3e998cccb12c,,,dlq_repair,repair,0.0,True
5d87ffd818b8,,,dlq_repair,repair,0.0,False
b71abc7d5989,,,dlq_repair,repair,0.0,False
5cdb8ab0a0f9,,,dlq_repair,repair,0.0,False
e2981a4d11a9,,,dlq_repair,repair,0.0,True
cc97a3d13069,,,dlq_repair,repair,0.0,False
7d9056e8fb49,,,dlq_repair,repair,0.0,False
eb936abb05f6,,,dlq_repair,repair,0.0,False
b7b07e95fe34,,,dlq_repair,repair,0.0,False
7688989821c4,,,dlq_repair,repair,0.0,False
4dea570ec72e,,,dlq_repair,repair,0.0,False
110d9ccd863c,,,dlq_repair,repair,0.0,True
b510c4bcff12,,,dlq_repair,repair,0.0,True
ff36afd6284a,,,dlq_repair,repair,0.0,False
ebb1e3c3e40e,,,dlq_repair,repair,0.0,False
1cb8eb86b45e,,,dlq_repair,repair,0.0,False
95770f529198,,,dlq_repair,repair,0.0,False
23e1df27d29b,,,dlq_repair,repair,0.0,False
