packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3c51a67c8478,spielberg_FP1,speed,sensor_dropout,detection,0.0,True
d200f6b85ab5,spielberg_FP2,tyre_pressure_new,schema_drift,detection,0.0,True
65b359382daa,spielberg_FP2,ecu_canbus,bit_flip_high,detection,0.0,True
feff84514422,spielberg_FP2,rpm,bit_flip_low,detection,0.0,True
9c8573e78acd,spielberg_FP2,tyre_pressure,bit_flip_low,detection,0.0,True
f9a3f0af148a,spielberg_FP2,speed,duplicate_timestamp,detection,0.0,True
0aa2cd91d3b7,spielberg_FP3,aero_load,null_value,detection,0.0,True
2f042a6f6bc8,spielberg_FP3,speed_raw,schema_drift,detection,0.0,True
404740f76609,spielberg_FP3,aero_load,string_in_numeric,detection,0.0,True
d652160dd825,spielberg_QUALI,ecu_canbus,string_in_numeric,detection,0.0,True
f7bf354b3c9d,spielberg_QUALI,speed_canbus,schema_drift,detection,0.0,True
afa97c9dd185,spielberg_QUALI,tyre_pressure,bit_flip_high,detection,0.0,True
9189a95de920,spielberg_QUALI,ecu_canbus,sensor_dropout,detection,0.0,True
62eb2ec90049,spielberg_QUALI,rpm,bit_flip_low,detection,0.0,True
23040ab07353,spielberg_RACE,rpm,sensor_dropout,detection,0.0,True
42a396c79d1e,silverstone_FP1,heart_rate,string_in_numeric,detection,0.0,True
a11a32960ae2,silverstone_FP1,engine_temp,sensor_dropout,detection,0.0,True
6b3e1e73d9e1,silverstone_FP1,heart_rate,duplicate_timestamp,detection,0.0,True
385234a34f4c,silverstone_FP2,engine_temp,duplicate_timestamp,detection,0.0,False
e0a9411c3e34,silverstone_FP3,aero_load_v2,schema_drift,detection,0.0,True
9a306f71946b,silverstone_FP3,speed,bit_flip_low,detection,0.0,True
9f825cddc97b,silverstone_QUALI,brake_temp,bit_flip_high,detection,0.0,True
266ab8f3a2b3,silverstone_QUALI,aero_load,string_in_numeric,detection,0.0,True
821a1ad23fcb,silverstone_RACE,engine_temp,bit_flip_low,detection,0.0,True
f5746c3f8990,silverstone_RACE,heart_rate,string_in_numeric,detection,0.0,True
3e514d21f5cb,budapest_FP1,tyre_pressure,duplicate_timestamp,detection,0.0,True
cf7961327fdd,budapest_FP1,speed,bit_flip_low,detection,0.0,True
db4d2aa32643,budapest_FP1,throttle,sensor_dropout,detection,0.0,True
4ef7e1bab6d1,budapest_FP1,engine_temp,null_value,detection,0.0,True
f091b951bd3c,budapest_FP2,aero_load,duplicate_timestamp,detection,0.0,False
83ac92d74f03,budapest_FP2,throttle,sensor_dropout,detection,0.0,True
2102e86c81b2,budapest_FP3,throttle,sensor_dropout,detection,0.0,True
07bac5f83d8a,budapest_FP3,engine_temp,sensor_dropout,detection,0.0,True
7054430a11a1,budapest_FP3,heart_rate,bit_flip_high,detection,0.0,True
16e9def5e9a4,budapest_FP3,speed,bit_flip_low,detection,0.0,True
1d9b6d01fa5d,budapest_FP3,rpm,bit_flip_high,detection,0.0,True
a39a98ee9670,budapest_FP3,engine_temp,bit_flip_high,detection,0.0,True
65b359382daa,,,dlq_repair,repair,0.0,True
d652160dd825,,,dlq_repair,repair,0.0,False
9189a95de920,,,dlq_repair,repair,0.0,False
a11a32960ae2,,,dlq_repair,repair,0.0,False
9f825cddc97b,,,dlq_repair,repair,0.0,False
821a1ad23fcb,,,dlq_repair,repair,0.0,True
4ef7e1bab6d1,,,dlq_repair,repair,0.0,False
07bac5f83d8a,,,dlq_repair,repair,0.0,False
a39a98ee9670,,,dlq_repair,repair,0.0,True
3c51a67c8478,,,dlq_repair,repair,0.0,False
feff84514422,,,dlq_repair,repair,0.0,False
9c8573e78acd,,,dlq_repair,repair,0.0,False
f9a3f0af148a,,,dlq_repair,repair,0.0,True
0aa2cd91d3b7,,,dlq_repair,repair,0.0,False
404740f76609,,,dlq_repair,repair,0.0,False
afa97c9dd185,,,dlq_repair,repair,0.0,False
62eb2ec90049,,,dlq_repair,repair,0.0,False
23040ab07353,,,dlq_repair,repair,0.0,False
42a396c79d1e,,,dlq_repair,repair,0.0,False
6b3e1e73d9e1,,,dlq_repair,repair,0.0,True
9a306f71946b,,,dlq_repair,repair,0.0,False
266ab8f3a2b3,,,dlq_repair,repair,0.0,False
f5746c3f8990,,,dlq_repair,repair,0.0,False
3e514d21f5cb,,,dlq_repair,repair,0.0,True
cf7961327fdd,,,dlq_repair,repair,0.0,False
db4d2aa32643,,,dlq_repair,repair,0.0,False
83ac92d74f03,,,dlq_repair,repair,0.0,False
2102e86c81b2,,,dlq_repair,repair,0.0,False
7054430a11a1,,,dlq_repair,repair,0.0,False
16e9def5e9a4,,,dlq_repair,repair,0.0,False
1d9b6d01fa5d,,,dlq_repair,repair,0.0,False
