packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
db3ddcbc1d1b,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0,True
c74c42b5ccea,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
05ab98665f38,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0,True
8022c2ca156c,spielberg_FP1,rpm_alt,schema_drift,detection,0.0,True
48f4b6490e4d,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
21ac1f5a052d,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0,True
f17cd79193dd,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
dffce8fc32d8,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0,True
3a271b015c42,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0,True
d2013529a936,spielberg_FP1,throttle,string_in_numeric,detection,0.0,True
76a17bc6a53a,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
461fa8551403,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0,True
5c9bebec4ac7,spielberg_FP1,speed_canbus,schema_drift,detection,0.0,True
c7cf44d34f52,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0,True
7ae884af3760,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0,True
a0fcb0ce874f,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0,True
302040fb7f75,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0,True
7f4264ea16a4,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0,True
d76f9dc0f70e,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0,True
dcb617268551,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0,True
c807b9360e03,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0,True
ff3e4b9f484f,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
24aea6547a65,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0,True
60e0d7d55ec6,spielberg_FP1,aero_load,string_in_numeric,detection,0.0,True
04579eb947f2,spielberg_FP1,rpm,string_in_numeric,detection,0.0,True
ba5573efd3a8,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0,True
12938d11884b,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0,True
b3bffeffbb98,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0,True
07e662f4bf7b,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0,True
3238bcdbe00e,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0,True
dbefa5bcac1d,spielberg_FP1,throttle,string_in_numeric,detection,0.0,True
0f2a820791b8,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
