packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
340cbdec5724,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0,True
d95b84077480,spielberg_FP1,throttle,string_in_numeric,detection,0.0,True
49588aaf4d9d,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0,True
432535e47893,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0,True
21c729706404,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0,True
b2a01c60d6f7,spielberg_FP3,throttle_alt,schema_drift,detection,0.0,True
4bb2cd070e67,spielberg_FP3,throttle,string_in_numeric,detection,0.0,True
b3f9307d1734,spielberg_FP3,tyre_pressure,string_in_numeric,detection,0.0,True
41a6f11a209c,spielberg_QUALI,heart_rate_v2,schema_drift,detection,0.0,True
f63a32915120,spielberg_QUALI,g_force_lateral_alt,schema_drift,detection,0.0,True
5bd56b06a69e,spielberg_RACE,g_force_lateral,duplicate_timestamp,detection,0.0,True
c086ae9b014a,silverstone_FP1,heart_rate_v2,schema_drift,detection,0.0,True
59c8fb6b9b53,silverstone_FP1,engine_temp,string_in_numeric,detection,0.0,True
3d2fd3b45e86,silverstone_FP1,brake_temp,string_in_numeric,detection,0.0,True
31e436925986,silverstone_FP1,aero_load,duplicate_timestamp,detection,0.0,True
7b2538091fe3,silverstone_FP3,aero_load,duplicate_timestamp,detection,0.0,True
4f7df5502a4a,silverstone_QUALI,heart_rate,string_in_numeric,detection,0.0,True
e51479327e9f,silverstone_QUALI,heart_rate,duplicate_timestamp,detection,0.0,True
9761c3b740a4,silverstone_RACE,speed_v2,schema_drift,detection,0.0,True
e28582c942f1,silverstone_RACE,tyre_pressure_v2,schema_drift,detection,0.0,True
4a31bfc7cccd,budapest_FP1,aero_load_v2,schema_drift,detection,0.0,True
208654eef4f4,budapest_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
02b2c971d477,budapest_FP1,throttle_v2,schema_drift,detection,0.0,True
e9275cedd021,budapest_FP3,rpm_alt,schema_drift,detection,0.0,True
be8347422a69,budapest_FP3,brake_temp,duplicate_timestamp,detection,0.0,True
f3878119f3e9,budapest_RACE,aero_load,duplicate_timestamp,detection,0.0,True
586615a1c3ca,budapest_RACE,speed,duplicate_timestamp,detection,0.0,True
2377fae7bb4f,budapest_RACE,aero_load,string_in_numeric,detection,0.0,True
21c729706404,,,dlq_repair,repair,0.0,True
59c8fb6b9b53,,,dlq_repair,repair,0.0,False
3d2fd3b45e86,,,dlq_repair,repair,0.0,False
208654eef4f4,,,dlq_repair,repair,0.0,True
be8347422a69,,,dlq_repair,repair,0.0,False
d95b84077480,,,dlq_repair,repair,0.0,False
432535e47893,,,dlq_repair,repair,0.0,True
4bb2cd070e67,,,dlq_repair,repair,0.0,False
b3f9307d1734,,,dlq_repair,repair,0.0,False
5bd56b06a69e,,,dlq_repair,repair,0.0,True
31e436925986,,,dlq_repair,repair,0.0,True
7b2538091fe3,,,dlq_repair,repair,0.0,True
4f7df5502a4a,,,dlq_repair,repair,0.0,False
e51479327e9f,,,dlq_repair,repair,0.0,True
f3878119f3e9,,,dlq_repair,repair,0.0,True
586615a1c3ca,,,dlq_repair,repair,0.0,True
2377fae7bb4f,,,dlq_repair,repair,0.0,False
