packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
d82b107b2b47,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
cef614e7420d,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0,True
f3ea0db78275,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0,True
89f217caea3d,spielberg_FP1,rpm,bit_flip_low,detection,0.0,True
feca5f46d885,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0,True
fec386ab33b0,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0,True
17b51c4a4910,spielberg_FP1,brake_temp,null_value,detection,0.0,True
56cd639881a5,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0,True
1b98559e9792,spielberg_FP1,speed,null_value,detection,0.0,True
b5f1f211ed81,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0,True
9c0b403a6189,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0,True
a372d5f1fae8,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0,True
704f96c8139e,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0,True
32790293f770,spielberg_FP1,speed_raw,schema_drift,detection,0.0,True
552622cb2f04,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0,True
62f68bfad113,spielberg_FP1,speed,bit_flip_high,detection,0.0,True
f34f08c6ce5a,spielberg_FP1,rpm,bit_flip_low,detection,0.0,True
91f7c8029723,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0,True
57c9d9c681d0,spielberg_FP1,speed,bit_flip_low,detection,0.0,True
6de2071f5a42,spielberg_FP1,speed,bit_flip_low,detection,0.0,True
860468bf00a9,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0,True
b5413ad606af,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0,True
06f68df77663,spielberg_FP1,speed,bit_flip_high,detection,0.0,True
15b44af8fe37,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0,True
bd249ae46384,spielberg_FP1,speed,null_value,detection,0.0,True
c51a00b8737c,spielberg_FP1,speed,null_value,detection,0.0,True
c7bbe35d4ccc,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0,True
9525f7c95d52,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0,True
5d16fc3f1671,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0,True
7d9a7fc7eecb,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0,True
91644298f3e8,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0,True
34c6271744ba,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0,True
143279d797f0,spielberg_FP1,rpm,sensor_dropout,detection,0.0,True
279438c8dff2,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0,True
73f58daea631,spielberg_FP1,throttle,bit_flip_low,detection,0.0,True
67991bd4cd9d,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0,True
ac9ab851b731,spielberg_FP1,aero_load,sensor_dropout,detection,0.0,True
5f953b387cd3,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0,True
2d7b7a043d34,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0,True
5c0bb60236bc,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0,True
b47b36dbd27a,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0,True
