packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
ea85c1ab7452,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0,True
e79bd8de5f2e,spielberg_FP1,brake_temp,null_value,detection,0.0,True
567675a577c6,spielberg_FP1,speed,null_value,detection,0.0,True
aac77719dfe1,spielberg_FP1,rpm,bit_flip_high,detection,0.0,True
20c1aa34c192,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0,True
ee4fa1052816,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0,True
fd9ab0da917f,spielberg_FP1,throttle,bit_flip_high,detection,0.0,True
cc7c536413ff,spielberg_FP1,speed,sensor_dropout,detection,0.0,True
ed5cf11ac251,spielberg_FP1,engine_temp,null_value,detection,0.0,True
24416b9be3ba,spielberg_FP1,aero_load,null_value,detection,0.0,True
800cd7e3460d,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0,True
c55995b74cc5,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0,True
f8596963dcd1,spielberg_FP1,ecu_canbus,null_value,detection,0.0,True
58baab81cc34,spielberg_FP1,aero_load,sensor_dropout,detection,0.0,True
86be40bd51da,spielberg_FP1,rpm_v2,schema_drift,detection,0.0,True
f6e5e0d86bcb,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
c7d1b4d895ed,spielberg_FP1,aero_load,null_value,detection,0.0,True
3bf1a0594b7d,spielberg_FP1,speed_raw,schema_drift,detection,0.0,True
22453e7bc692,spielberg_FP1,rpm,bit_flip_low,detection,0.0,True
5e2d85367ba8,spielberg_FP1,rpm_alt,schema_drift,detection,0.0,True
f3f796e08613,spielberg_FP1,aero_load,sensor_dropout,detection,0.0,True
4e93d98ce2c0,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0,True
9d85397af272,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0,True
f90f7f156ac6,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0,True
06b53c0faf52,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0,True
d8f94d4da8ac,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
681ad7387231,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0,True
5665a3465ce9,spielberg_FP1,rpm,null_value,detection,0.0,True
e2489710598b,spielberg_FP1,aero_load,bit_flip_low,detection,0.0,True
3a6bd793229c,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0,True
0a5c6850be46,spielberg_FP1,speed,sensor_dropout,detection,0.0,True
417250a18efd,spielberg_FP1,aero_load,bit_flip_high,detection,0.0,True
ed066647109c,spielberg_FP1,rpm,bit_flip_high,detection,0.0,True
aa66c4138b41,spielberg_FP1,aero_load,bit_flip_high,detection,0.0,True
5f24bab05f24,spielberg_FP1,rpm,string_in_numeric,detection,0.0,True
e3f19754fd83,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0,True
9bc19128db2a,spielberg_FP1,speed,null_value,detection,0.0,True
0b44b91c1054,spielberg_FP1,rpm,sensor_dropout,detection,0.0,True
678fabf1b334,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0,True
c4329e8332e8,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0,True
60357c13d95b,spielberg_FP1,aero_load,null_value,detection,0.0,True
5bef226b4be8,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0,True
f08d53bb763d,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0,True
c98568ca94ac,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0,True
6d635beac974,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
fbfba021b6c3,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0,True
64a0895dc944,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0,True
f567e7e456ce,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0,True
0493700be1b4,spielberg_FP1,g_force_lateral,null_value,detection,0.0,True
31a065c9ed9a,spielberg_FP1,speed_canbus,schema_drift,detection,0.0,True
07a97db47d0e,spielberg_FP1,speed,duplicate_timestamp,detection,0.0,True
3535307171d8,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0,True
a9c0e28ad44c,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0,True
350defe09fa9,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0,True
3faccfee035d,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0,True
37307cda3f3d,spielberg_FP1,speed,bit_flip_high,detection,0.0,True
59f92d6b8f95,spielberg_FP1,tyre_pressure,null_value,detection,0.0,True
e331e3e6fba1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0,True
49b775b71ed7,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0,True
c88f3757445f,spielberg_FP1,rpm,string_in_numeric,detection,0.0,True
f68a1df07ced,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
ac8d6bc9e250,spielberg_FP1,aero_load,sensor_dropout,detection,0.0,True
32567f623281,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
253f86cf43c2,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0,True
ae71c884cceb,spielberg_FP1,g_force_lateral,null_value,detection,0.0,True
cffb99cb127c,spielberg_FP1,rpm,sensor_dropout,detection,0.0,True
89a31570b86c,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0,True
a512d7ccfac9,spielberg_FP1,engine_temp,null_value,detection,0.0,True
05308a556552,spielberg_FP1,tyre_pressure,null_value,detection,0.0,True
43d1ab53ee4a,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0,True
1842c0e6c2fc,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0,True
0aa6a361b70a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0,True
c37321eb45b5,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0,True
da4b7ffd719a,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
03c4a525f86a,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0,True
8231cc392d35,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0,True
670ee611cbc6,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0,True
93397a34d425,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0,True
af23f98213f9,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0,True
24f4e0131a48,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0,True
fd650ef1ff4c,spielberg_FP1,throttle_alt,schema_drift,detection,0.0,True
756f42af9029,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0,True
78e63dd434f0,spielberg_FP1,rpm,string_in_numeric,detection,0.0,True
10d595587c22,spielberg_FP1,rpm,null_value,detection,0.0,True
cbf0678f19cb,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0,True
a986a2b1f5d0,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0,True
a31afb385496,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0,True
ec0eb783d7c3,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0,True
ffe90d901621,spielberg_FP1,aero_load,string_in_numeric,detection,0.0,True
2082a32da178,spielberg_FP1,speed,null_value,detection,0.0,True
9fb919c54167,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0,True
726fcf6f1816,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0,True
1e5db9e898cd,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0,True
a24aa9cdbe6a,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0,True
c5f3c627c1eb,spielberg_FP1,rpm_alt,schema_drift,detection,0.0,True
58cbf8defe68,spielberg_FP1,aero_load,sensor_dropout,detection,0.0,True
