packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
b1ad270bb538,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0,True
ae91eff37b38,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0,True
516540c8ddba,spielberg_FP1,throttle,sensor_dropout,detection,0.0,True
707aaf106171,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0,True
d069703ea943,spielberg_FP1,speed,sensor_dropout,detection,0.0,True
cf9d829a24c9,spielberg_FP1,rpm,bit_flip_high,detection,0.0,True
7389fabf5a82,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0,True
926f8b00e625,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
f3b063eadab5,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0,True
77829b0b3a4e,spielberg_FP1,throttle,null_value,detection,0.0,True
b8de219f1d1f,spielberg_FP1,speed,sensor_dropout,detection,0.0,True
072f14a22b44,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0,True
3a7920597061,spielberg_FP1,aero_load,string_in_numeric,detection,0.0,True
562e008fbde5,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0,True
8c31048619fb,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0,True
a220e104b421,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0,True
5d5237910c27,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0,True
5b20b59b20fa,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0,True
20e9730624b0,spielberg_FP1,throttle,bit_flip_high,detection,0.0,True
5acc8cb64451,spielberg_FP1,throttle,null_value,detection,0.0,True
50b0b82ac2d0,spielberg_FP1,heart_rate,null_value,detection,0.0,True
65a2011da563,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0,True
f791a53de444,spielberg_FP1,ecu_canbus,null_value,detection,0.0,True
1a94ab7d24b1,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0,True
0b1bd3c54b22,spielberg_FP1,speed,bit_flip_low,detection,0.0,True
8f5fe54072f8,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0,True
04862df1463a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0,True
4a582595eb11,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0,True
3e42da09dddf,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0,True
b9f5260f23ea,spielberg_FP1,rpm,null_value,detection,0.0,True
096a67e7d9d6,spielberg_FP1,throttle,sensor_dropout,detection,0.0,True
0712bdf84991,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0,True
9ce61e2b212c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0,True
9ec4022dca5a,spielberg_FP1,g_force_lateral,null_value,detection,0.0,True
4f0d89266908,spielberg_FP1,aero_load,bit_flip_high,detection,0.0,True
ecd340cbaf63,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0,True
69991aada64b,spielberg_FP1,aero_load,bit_flip_low,detection,0.0,True
3dfd1416020c,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0,True
774fee1435d0,spielberg_FP1,tyre_pressure,null_value,detection,0.0,True
a04efccb347e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0,True
6b9a85da26fe,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0,True
45311219d8f6,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0,True
37b5c9e97ac4,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0,True
6a780ecb2567,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
eb698714124d,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0,True
a4e8ea5fb094,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0,True
f171e6502e51,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0,True
33382936cd02,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0,True
8d573cbc953d,spielberg_FP1,heart_rate,null_value,detection,0.0,True
4b86fa4dec98,spielberg_FP1,aero_load,string_in_numeric,detection,0.0,True
4731b29f36b9,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0,True
e07a860ab97d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0,True
f0a2815fd8f4,spielberg_FP1,aero_load,string_in_numeric,detection,0.0,True
b7952b8b0d05,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0,True
f304ff30cb44,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0,True
30c820159b70,spielberg_FP1,rpm,sensor_dropout,detection,0.0,True
59b829c9fcef,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0,True
31c7f2ab1315,spielberg_FP1,rpm,string_in_numeric,detection,0.0,True
b41cd7c3a6ac,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0,True
61d466818f20,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0,True
f332abe78209,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0,True
01f42a0bb0b8,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0,True
1a361152b105,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0,True
7f66d19de2ae,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0,True
87ddc76b63f4,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0,True
0ca17110c57a,spielberg_FP1,speed,sensor_dropout,detection,0.0,True
3482e3051630,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0,True
828be76c7722,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0,True
a11f2ef6f3c8,spielberg_FP1,throttle,bit_flip_high,detection,0.0,True
2efb28d49a63,spielberg_FP1,brake_temp,null_value,detection,0.0,True
4f1def8a1458,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0,True
ddc2884de5d0,spielberg_FP1,rpm,string_in_numeric,detection,0.0,True
a5577e03d5fd,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0,True
93e53fc3c783,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0,True
e68f3f6f5aa2,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0,True
0517807f8f33,spielberg_FP1,throttle,null_value,detection,0.0,True
f14383c87914,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0,True
a31338bf27e1,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0,True
04f806c92a35,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0,True
6924974c4816,spielberg_FP1,rpm,bit_flip_low,detection,0.0,True
2bd262c4192e,spielberg_FP1,rpm,bit_flip_high,detection,0.0,True
272a1ecee8c9,spielberg_FP1,brake_temp,null_value,detection,0.0,True
7ee48b9a2957,spielberg_FP1,speed,bit_flip_low,detection,0.0,True
13cf208ec741,spielberg_FP1,heart_rate,null_value,detection,0.0,True
4d626c82920d,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0,True
6613d98697b3,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0,True
ddf551d4b627,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0,True
52e21be5db0c,spielberg_FP1,rpm,bit_flip_high,detection,0.0,True
5dad8f40787e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0,True
7aaf2dd7382c,spielberg_FP1,throttle,sensor_dropout,detection,0.0,True
4c529a15466d,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0,True
31df894c473f,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0,True
8e9383875b41,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0,True
8f01dc2c7af1,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0,True
faf63f26d291,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0,True
e0971f3a360a,spielberg_FP1,speed,sensor_dropout,detection,0.0,True
1b238332f2f1,spielberg_FP1,throttle,bit_flip_low,detection,0.0,True
c280b116a5f0,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0,True
4aee027f30d6,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0,True
e900dc2843b9,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0,True
bcf884f15e5a,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0,True
19b76fc17c42,spielberg_FP1,speed,bit_flip_low,detection,0.0,True
