packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
17ca34ccc481,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0,True
3943b5b3c8e9,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0,True
75dd32a72c8f,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0,True
f14f3d057af1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0,True
c1a93648ded1,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0,True
4cfe269aa2a0,spielberg_FP1,speed,duplicate_timestamp,detection,0.0,True
bed4f65dd104,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0,True
590910b0c2a9,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0,True
45d48a9cd191,spielberg_FP1,throttle_raw,schema_drift,detection,0.0,True
d4f504a85c5f,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0,True
fcee64c8c816,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0,True
25f5d3831c12,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0,True
f291733b4e3e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0,True
54477a0efb8f,spielberg_FP1,throttle,string_in_numeric,detection,0.0,True
f21d06392ca5,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0,True
c8c106918a55,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0,True
d5fb9b36215b,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
2b1f2950e85d,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0,True
884880bcd2b8,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0,True
394553635263,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0,True
2f7a4fdf763c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0,True
b7c9d3d0a816,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0,True
2605321ed943,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0,True
d6136755653b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0,True
b01bfc0bcb3f,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0,True
e0dab22e010b,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0,True
06f20e6df6de,spielberg_FP1,aero_load,string_in_numeric,detection,0.0,True
01ab646154a6,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0,True
9fb36299e445,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0,True
1d4deb1d3d07,spielberg_FP1,speed_canbus,schema_drift,detection,0.0,True
f19144e440f4,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0,True
c42bdb510c36,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0,True
5ef561d7b2af,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0,True
91d485eab430,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0,True
c84f1433b25e,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
9bd7318f292a,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0,True
6f999a03e352,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0,True
35ce4441ea2b,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0,True
28ea43035c48,spielberg_FP1,speed,duplicate_timestamp,detection,0.0,True
31edd4ebf5b8,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0,True
431bc90c0a31,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0,True
4e238984e156,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
2e71035e0f38,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
4484b749515b,spielberg_FP1,rpm_new,schema_drift,detection,0.0,True
a8955c9460ea,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0,True
f2fb8f91aaf2,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0,True
8d4dda6527cc,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0,True
