packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2c354da84fe3,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0,True
a7091070eeda,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0,True
a9a7065fc77a,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0,True
e953d7b8dac0,spielberg_FP3,rpm,duplicate_timestamp,detection,0.0,True
67a280b36107,spielberg_FP3,throttle,string_in_numeric,detection,0.0,True
3159e8ffa633,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.0,True
cf0b14ba7880,spielberg_QUALI,engine_temp,string_in_numeric,detection,0.0,True
aae0b2e7a828,spielberg_RACE,ecu_canbus,string_in_numeric,detection,0.0,True
3bee5afed5cd,spielberg_RACE,speed_alt,schema_drift,detection,0.0,True
8d87d01efc86,spielberg_RACE,rpm_v2,schema_drift,detection,0.0,True
7e20843968a4,spielberg_RACE,ecu_canbus_new,schema_drift,detection,0.0,True
f2dd2ac48c73,silverstone_FP2,g_force_lateral,string_in_numeric,detection,0.0,True
939ed9be2edb,silverstone_FP2,ecu_canbus,string_in_numeric,detection,0.0,True
bcb5d7a266a8,silverstone_FP2,rpm,string_in_numeric,detection,0.0,True
eadde19e348e,silverstone_QUALI,heart_rate_new,schema_drift,detection,0.0,True
bbd827cb8684,silverstone_QUALI,aero_load_canbus,schema_drift,detection,0.0,True
58d006f2e830,budapest_FP1,rpm,duplicate_timestamp,detection,0.0,True
668e02a14a64,budapest_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
bafb1da8f0bd,budapest_FP2,aero_load,duplicate_timestamp,detection,0.0,True
b5a0ade041c5,budapest_FP3,engine_temp,duplicate_timestamp,detection,0.0,True
915ba7730b4f,budapest_FP3,aero_load,string_in_numeric,detection,0.0,True
95e90f6156c1,budapest_RACE,rpm_new,schema_drift,detection,0.0,True
2ee7f5f04f7f,budapest_RACE,tyre_pressure_new,schema_drift,detection,0.0,True
8a530a2ee2ea,budapest_RACE,ecu_canbus_raw,schema_drift,detection,0.0,True
cf0b14ba7880,,,dlq_repair,repair,0.0,False
aae0b2e7a828,,,dlq_repair,repair,0.0,False
939ed9be2edb,,,dlq_repair,repair,0.0,False
668e02a14a64,,,dlq_repair,repair,0.0,True
b5a0ade041c5,,,dlq_repair,repair,0.0,True
2c354da84fe3,,,dlq_repair,repair,15.0,False
a9a7065fc77a,,,dlq_repair,repair,0.0,True
e953d7b8dac0,,,dlq_repair,repair,0.0,True
67a280b36107,,,dlq_repair,repair,0.0,False
3159e8ffa633,,,dlq_repair,repair,0.0,True
f2dd2ac48c73,,,dlq_repair,repair,0.0,False
bcb5d7a266a8,,,dlq_repair,repair,0.0,False
58d006f2e830,,,dlq_repair,repair,0.0,True
bafb1da8f0bd,,,dlq_repair,repair,0.0,True
915ba7730b4f,,,dlq_repair,repair,0.0,False
