packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
bef04085be7d,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0,True
76df8246ae8c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0,True
a7dea6c3b084,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0,True
9bc24b362c3a,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0,True
c8a1d4fcc47e,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0,True
087051bf65b6,spielberg_FP1,rpm,null_value,detection,0.0,True
5674c8dd6ea5,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0,True
76316dd0b790,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0,True
aa66133e3cc0,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0,True
adfea44589c8,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0,True
f5a49a2076e7,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0,True
02ee623b22a8,spielberg_FP1,rpm,string_in_numeric,detection,0.0,True
75d3d23449b2,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0,True
73aec52189f9,spielberg_FP1,aero_load,string_in_numeric,detection,0.0,True
88f4482bb2a0,spielberg_FP1,aero_load,null_value,detection,0.0,True
aaaad902fe55,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0,True
2f41448176c6,spielberg_FP1,throttle,string_in_numeric,detection,0.0,True
9b992537b8b9,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0,True
f2342d846112,spielberg_FP1,rpm,sensor_dropout,detection,0.0,True
4adfed460171,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0,True
2203433d373e,spielberg_FP1,throttle,bit_flip_low,detection,0.0,True
06e7cb6d6869,spielberg_FP1,rpm,bit_flip_low,detection,0.0,True
854196bf46d9,spielberg_FP1,aero_load,bit_flip_high,detection,0.0,True
2d2127b12dd1,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0,True
6c2824854257,spielberg_FP1,speed,bit_flip_low,detection,0.0,True
a03cc4fe64bb,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0,True
e43a1342c80e,spielberg_FP1,speed,sensor_dropout,detection,0.0,True
