packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
777e1dd97a20,spielberg_FP1,rpm,null_value,detection,0.0036,True
3c0efdd346a2,spielberg_FP1,heart_rate,null_value,detection,0.0036,True
d7d88d342826,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
ba617dea6396,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.007,True
207655b4df96,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0045,True
b4ac984ce698,spielberg_FP1,throttle,sensor_dropout,detection,0.0034,True
702324ee46b0,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0031,True
7a99ea9f5ea9,spielberg_FP1,rpm,null_value,detection,0.0029,True
4691b4c654fd,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0032,True
9a2ac05afc5e,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0041,True
8fc678e20ad1,spielberg_FP1,aero_load_new,schema_drift,detection,0.0047,True
e2fbb400a623,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0065,True
8aa180dbc71b,spielberg_FP1,rpm,null_value,detection,0.0035,True
76e146497131,spielberg_FP1,throttle,bit_flip_high,detection,0.0056,True
b2d5e6a54d1e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0021,True
09779c78385a,spielberg_FP1,speed,string_in_numeric,detection,0.002,True
a9b6b1dd32bf,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0047,True
30076914c4b1,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0042,True
3eacbef4bf01,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0042,True
4530309fddd7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0039,True
332a7a310912,spielberg_FP1,engine_temp,null_value,detection,0.0028,True
66ed2de5676f,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0044,True
5ac3be1575cb,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0041,True
745c669db208,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0039,True
7be311db5ddc,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0038,True
c2609cf1b1b5,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0125,True
2645a7b4a1cd,spielberg_FP1,aero_load,null_value,detection,0.0042,True
633d4956275d,spielberg_FP1,throttle,string_in_numeric,detection,0.0026,True
2857a9841c89,spielberg_FP1,speed,string_in_numeric,detection,0.0023,True
008a590224ff,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0047,True
035b2a332359,spielberg_FP1,heart_rate,null_value,detection,0.0033,True
a67f2a4494a7,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0048,True
738646122146,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0037,True
b2656fe45312,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0065,True
96a2f64f0bc7,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0032,True
c1aaf5fba00b,spielberg_FP1,rpm,string_in_numeric,detection,0.002,True
b027b26c4d79,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0059,True
4e02c32bcfc7,spielberg_FP1,engine_temp,null_value,detection,0.0068,True
e747e5b956e4,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
f756633a8000,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0049,True
566577c39ef4,spielberg_FP1,engine_temp,null_value,detection,0.0034,True
da48e56c1ec8,spielberg_FP1,rpm,string_in_numeric,detection,0.0023,True
dfce8267bee0,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0038,True
eadbd5af6522,spielberg_FP1,aero_load,sensor_dropout,detection,0.0033,True
28542877bf37,spielberg_FP1,rpm,sensor_dropout,detection,0.0031,True
f2fbd16ea18e,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0033,True
aa13196da494,spielberg_FP1,ecu_canbus,null_value,detection,0.0029,True
cbea0305daab,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0066,True
dad8937aad7a,spielberg_FP1,speed,bit_flip_low,detection,0.0072,True
209eca90ba31,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0032,True
39a420d37e40,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0097,True
660ce7e7ddd7,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0067,True
7951b18c5868,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
78cb45f4358f,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
4d3843cefd37,spielberg_FP1,aero_load,bit_flip_high,detection,0.005,True
1667d71f8c81,spielberg_FP1,ecu_canbus,null_value,detection,0.0029,True
78553622a6f0,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0035,True
dea50d1c7281,spielberg_FP1,engine_temp,null_value,detection,0.0052,True
dd3c7e0df25a,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0059,True
20da415c22f4,spielberg_FP1,speed,duplicate_timestamp,detection,0.0037,True
955430f82c5f,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
022f31b8167f,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.005,True
6482f8362a2c,spielberg_FP1,rpm,string_in_numeric,detection,0.0023,True
ef5ba51895b1,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0051,True
18a6945e95fc,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0031,True
7b2e2d9940d1,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0029,True
358a63e0ead1,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0042,True
713fb9293fbd,spielberg_FP1,throttle,null_value,detection,0.0031,True
d52fe8830867,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0069,True
d9c460d28d7b,spielberg_FP1,throttle,bit_flip_low,detection,0.0065,True
ea68b9e3ca7e,spielberg_FP1,speed,bit_flip_high,detection,0.0058,True
ba4c89f062e9,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0034,True
7df193bb3bfb,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
8352b53e3ed2,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0062,True
e4b14c61dc1c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0019,True
1abb01ea922a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0035,True
23b929c42e69,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0051,True
c8692ba5f3bc,spielberg_FP1,speed,sensor_dropout,detection,0.0039,True
31b163456eea,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0058,True
328aef54eb08,spielberg_FP1,g_force_lateral,null_value,detection,0.0032,True
11ab567003bd,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0061,True
13dc9439ae2d,spielberg_FP1,g_force_lateral,null_value,detection,0.0041,True
046d354b363b,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0047,True
a423f2cc75e6,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0039,True
f17377057c52,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0035,True
0358aca69a55,spielberg_FP1,tyre_pressure,null_value,detection,0.0043,True
e4b007ffe637,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0066,True
e934b4a5f5b2,spielberg_FP1,throttle,duplicate_timestamp,detection,0.004,True
3edb7036045a,spielberg_FP1,aero_load,bit_flip_high,detection,0.0057,True
7ba4b0bc3e6d,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.004,True
e55e4b5881cb,spielberg_FP1,engine_temp,null_value,detection,0.0033,True
ec72ece4667d,spielberg_FP1,speed,duplicate_timestamp,detection,0.0037,True
206cac7119f4,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.004,True
7c76338d9f4f,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0066,True
dbc16bcc7974,spielberg_FP1,aero_load,bit_flip_low,detection,0.0063,True
48c18ab64a03,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
6695775506f8,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0018,True
b70265c5ea5a,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0056,True
6e908303c5b6,spielberg_FP1,speed,bit_flip_high,detection,0.0053,True
625dc5c8f480,spielberg_FP1,rpm,bit_flip_low,detection,0.0051,True
ee49ae1df2df,spielberg_FP1,engine_temp,null_value,detection,0.0077,True
f4fa0b88879a,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0038,True
4f123ad76ff1,spielberg_FP1,rpm,sensor_dropout,detection,0.0034,True
ab27ed310695,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0032,True
a7e8848bb23f,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0061,True
3fcc658f5253,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0045,True
270e00db91e2,spielberg_FP1,aero_load_new,schema_drift,detection,0.0046,True
1a3491bab198,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
6946f732da00,spielberg_FP1,g_force_lateral,null_value,detection,0.0033,True
c65ad6b57a41,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0035,True
c7f467b30d03,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0101,True
