packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
bce4e4044020,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0053,True
245eb6978739,spielberg_FP3,g_force_lateral_alt,schema_drift,detection,0.0056,True
74fa82dd81e5,spielberg_QUALI,ecu_canbus,bit_flip_low,detection,0.0056,True
55540e77c653,spielberg_QUALI,brake_temp,duplicate_timestamp,detection,0.0045,True
1240031d02eb,spielberg_RACE,speed,bit_flip_low,detection,0.0081,True
65eec73a7dc0,silverstone_FP1,engine_temp,bit_flip_high,detection,0.0162,True
094e09883ffd,silverstone_FP2,brake_temp_canbus,schema_drift,detection,0.0051,True
c18266373ba4,budapest_FP1,heart_rate,null_value,detection,0.0062,True
3000b43ba7e8,budapest_FP2,engine_temp,sensor_dropout,detection,0.0042,True
c02c494c9f67,budapest_FP2,brake_temp,bit_flip_high,detection,0.0071,True
49b074c991c5,budapest_RACE,speed,duplicate_timestamp,detection,0.005,True
bf109905692b,budapest_RACE,ecu_canbus,string_in_numeric,detection,0.002,True
66dda9bf1ec4,budapest_RACE,speed_new,schema_drift,detection,0.0065,True
55540e77c653,,,dlq_repair,repair,0.0637,False
65eec73a7dc0,,,dlq_repair,repair,0.0205,True
3000b43ba7e8,,,dlq_repair,repair,0.0183,False
c02c494c9f67,,,dlq_repair,repair,0.0229,False
bf109905692b,,,dlq_repair,repair,0.0143,False
bce4e4044020,,,dlq_repair,repair,0.006,False
1240031d02eb,,,dlq_repair,repair,0.0096,False
c18266373ba4,,,dlq_repair,repair,0.0048,False
49b074c991c5,,,dlq_repair,repair,0.0252,True
