packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
a6aed900bbb6,spielberg_FP1,aero_load,bit_flip_low,detection,0.0151,True
f2770355fe23,spielberg_FP1,aero_load,string_in_numeric,detection,0.0039,True
9b2173e53a10,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0067,True
3afa745cdc29,spielberg_FP1,rpm,bit_flip_high,detection,0.0072,True
494b7f5478b9,spielberg_FP1,tyre_pressure,null_value,detection,0.0034,True
7ddccb609009,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0039,True
2ccc519ecc57,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0054,True
3772a8c686ef,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.006,True
744e8af2ab60,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0031,True
a1470501cd2a,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0035,True
37935facf734,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
fa6f400f8808,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0088,True
eb4b83fa77db,spielberg_FP1,aero_load,bit_flip_low,detection,0.0077,True
78cb2ab42627,spielberg_FP1,ecu_canbus,null_value,detection,0.0037,True
cafa593f8c4e,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0049,True
f8dd77b2ef54,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
42ce2de2d860,spielberg_FP1,brake_temp,null_value,detection,0.0036,True
0d586faa98f5,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
d26fc8e65b47,spielberg_FP1,rpm_raw,schema_drift,detection,0.0046,True
22f335ad06b1,spielberg_FP1,speed,null_value,detection,0.0033,True
735974a7b374,spielberg_FP1,rpm,sensor_dropout,detection,0.0038,True
0bbacabd10dc,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0122,True
ce6dd8de3f03,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0038,True
3689b2f87580,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0062,True
e9bb924bc64e,spielberg_FP1,ecu_canbus,null_value,detection,0.0039,True
69af03adba59,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0059,True
c8cef515f429,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0052,True
9dfff727552e,spielberg_FP1,heart_rate,null_value,detection,0.0029,True
77f28653ecc4,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0065,True
af155fbdb1a8,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0045,True
30fb47cda406,spielberg_FP1,rpm,duplicate_timestamp,detection,0.004,True
2891fa2e07b0,spielberg_FP1,throttle,string_in_numeric,detection,0.0024,True
62ddb954ce98,spielberg_FP1,tyre_pressure,null_value,detection,0.0034,True
