packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
22b9e9231fad,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0061,True
4005e3172483,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
1eadc71c4a16,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
a589465a8d2d,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.005,True
c29a8df278bb,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0038,True
8c3efa110f9a,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0055,True
9a16c771a6b2,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0038,True
e3a131ff2fca,spielberg_FP2,rpm_raw,schema_drift,detection,0.0047,True
2650dd6fb42a,spielberg_FP2,tyre_pressure_new,schema_drift,detection,0.0046,True
c88e6ce00734,spielberg_FP2,rpm,string_in_numeric,detection,0.0024,True
fb84656684c3,spielberg_FP2,engine_temp_raw,schema_drift,detection,0.0045,True
2e87a920407a,spielberg_FP2,heart_rate_canbus,schema_drift,detection,0.0055,True
43cfb59ffd9b,spielberg_FP2,throttle_canbus,schema_drift,detection,0.005,True
fca6fb4b6875,spielberg_FP2,heart_rate_raw,schema_drift,detection,0.0048,True
7fc52af103aa,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0038,True
3034199ba9f7,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0039,True
c27eba749f6b,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0025,True
e834f74b2bf0,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0041,True
88cc5a5c8557,spielberg_FP2,throttle_v2,schema_drift,detection,0.0045,True
9fd642d34c56,spielberg_FP2,brake_temp_alt,schema_drift,detection,0.0046,True
a8fd59e48991,spielberg_FP2,speed_raw,schema_drift,detection,0.0066,True
5ed108fd7dae,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.0022,True
0f0fe5d16d09,spielberg_FP3,rpm_alt,schema_drift,detection,0.0048,True
45f975848c06,spielberg_FP3,throttle,duplicate_timestamp,detection,0.0044,True
edeb3574e919,spielberg_FP3,ecu_canbus_new,schema_drift,detection,0.0052,True
1e69cdab4d6b,spielberg_FP3,heart_rate_new,schema_drift,detection,0.005,True
19fd80d62191,spielberg_FP3,rpm_new,schema_drift,detection,0.0048,True
748f8271421b,spielberg_FP3,throttle,duplicate_timestamp,detection,0.004,True
768f9c351115,spielberg_FP3,brake_temp,string_in_numeric,detection,0.0023,True
061af178e2dd,spielberg_FP3,heart_rate,string_in_numeric,detection,0.0028,True
23d70685a58e,spielberg_FP3,g_force_lateral_new,schema_drift,detection,0.0047,True
860091b0cb19,spielberg_QUALI,engine_temp_new,schema_drift,detection,0.0048,True
a6fdf340be3f,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.0037,True
c04f00b0f901,spielberg_QUALI,engine_temp_v2,schema_drift,detection,0.0041,True
0b34587e5eb4,spielberg_QUALI,rpm_new,schema_drift,detection,0.0049,True
6c13a8e35eae,spielberg_QUALI,engine_temp,string_in_numeric,detection,0.0023,True
2fb84600adb8,spielberg_QUALI,engine_temp_raw,schema_drift,detection,0.0045,True
c1fc891eb048,spielberg_QUALI,brake_temp,string_in_numeric,detection,0.0027,True
9d4e5ddc1080,spielberg_QUALI,engine_temp,duplicate_timestamp,detection,0.0038,True
8aa89876a9a4,spielberg_RACE,speed,string_in_numeric,detection,0.0024,True
4962e45f2400,spielberg_RACE,speed_new,schema_drift,detection,0.0047,True
ce013ce4eeed,spielberg_RACE,tyre_pressure,string_in_numeric,detection,0.0025,True
d391ea81a7aa,spielberg_RACE,brake_temp,duplicate_timestamp,detection,0.0037,True
9360685c787f,spielberg_RACE,ecu_canbus,string_in_numeric,detection,0.0029,True
29eddd6416b6,spielberg_RACE,engine_temp_raw,schema_drift,detection,0.0046,True
bfac6741f6d7,silverstone_FP1,tyre_pressure,string_in_numeric,detection,0.0028,True
b7355ad696c1,silverstone_FP1,ecu_canbus,duplicate_timestamp,detection,0.0042,True
02525f67ad55,silverstone_FP1,tyre_pressure,duplicate_timestamp,detection,0.0042,True
ddb6a82308ea,silverstone_FP1,engine_temp,string_in_numeric,detection,0.0025,True
50af290f13f6,silverstone_FP1,engine_temp_new,schema_drift,detection,0.0045,True
34a4ead3527c,silverstone_FP1,engine_temp,string_in_numeric,detection,0.0035,True
ac90d3ea6bc1,silverstone_FP1,heart_rate_raw,schema_drift,detection,0.0049,True
b8ff620e631e,silverstone_FP1,rpm_alt,schema_drift,detection,0.0051,True
6bbd15175d44,silverstone_FP1,brake_temp,string_in_numeric,detection,0.0024,True
d849eb28888d,silverstone_FP1,engine_temp,duplicate_timestamp,detection,0.0041,True
62a6e3f68196,silverstone_FP1,throttle,string_in_numeric,detection,0.0026,True
88dc42d74ae1,silverstone_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
8cec3767f2d2,silverstone_FP1,rpm_alt,schema_drift,detection,0.005,True
c1e0fc760da0,silverstone_FP1,heart_rate,duplicate_timestamp,detection,0.0038,True
abd413e52ed0,silverstone_FP2,rpm_raw,schema_drift,detection,0.005,True
3d7bd7f9d155,silverstone_FP2,heart_rate,string_in_numeric,detection,0.0028,True
b77c47f8117f,silverstone_FP2,tyre_pressure_canbus,schema_drift,detection,0.005,True
8ac59734dbbe,silverstone_FP2,brake_temp_v2,schema_drift,detection,0.0043,True
bfe5a0518507,silverstone_FP2,throttle_new,schema_drift,detection,0.0045,True
f03efc06b388,silverstone_FP2,rpm,string_in_numeric,detection,0.0025,True
9fc5bd9934dd,silverstone_FP2,throttle,duplicate_timestamp,detection,0.0043,True
eac94e18ceb8,silverstone_FP2,ecu_canbus_canbus,schema_drift,detection,0.0046,True
f0f7bba85251,silverstone_FP2,ecu_canbus,string_in_numeric,detection,0.0025,True
62dd909ba7f1,silverstone_FP2,aero_load_v2,schema_drift,detection,0.0044,True
d260d3ca78a0,silverstone_FP2,heart_rate_alt,schema_drift,detection,0.0047,True
f6b630dd2882,silverstone_FP2,engine_temp_v2,schema_drift,detection,0.0045,True
3de7589e5eef,silverstone_FP2,tyre_pressure_new,schema_drift,detection,0.0047,True
1f6bbf188686,silverstone_FP2,g_force_lateral_canbus,schema_drift,detection,0.0048,True
6af58acada42,silverstone_FP3,heart_rate,duplicate_timestamp,detection,0.0043,True
aebfe0d31aa3,silverstone_FP3,ecu_canbus,string_in_numeric,detection,0.0025,True
1c144a498daf,silverstone_FP3,heart_rate,string_in_numeric,detection,0.0024,True
ac19325e77c4,silverstone_FP3,tyre_pressure,string_in_numeric,detection,0.0027,True
bfc5d2f4b28d,silverstone_FP3,aero_load_raw,schema_drift,detection,0.0049,True
2b904a106207,silverstone_FP3,tyre_pressure,string_in_numeric,detection,0.0024,True
2435660d7728,silverstone_FP3,g_force_lateral,string_in_numeric,detection,0.0028,True
f158f743d36d,silverstone_FP3,aero_load,string_in_numeric,detection,0.0022,True
50ee3bad065f,silverstone_QUALI,tyre_pressure_new,schema_drift,detection,0.0045,True
607cd3b6dbed,silverstone_QUALI,aero_load,string_in_numeric,detection,0.0025,True
a6b879d2239a,silverstone_QUALI,rpm,string_in_numeric,detection,0.0025,True
f83e3f5007e3,silverstone_QUALI,rpm,duplicate_timestamp,detection,0.0046,True
0a1fdd017fea,silverstone_QUALI,heart_rate_raw,schema_drift,detection,0.0044,True
4528bdbd328b,silverstone_QUALI,g_force_lateral,string_in_numeric,detection,0.0025,True
700fbf1d68c1,silverstone_QUALI,speed,string_in_numeric,detection,0.0023,True
3525656ee815,silverstone_QUALI,brake_temp,string_in_numeric,detection,0.0028,True
f1f7b7b68d76,silverstone_QUALI,heart_rate,string_in_numeric,detection,0.0023,True
89b7bf86a46d,silverstone_QUALI,heart_rate,duplicate_timestamp,detection,0.0042,True
604bb7591579,silverstone_QUALI,tyre_pressure_alt,schema_drift,detection,0.0058,True
ac7e913687b5,silverstone_QUALI,speed,duplicate_timestamp,detection,0.004,True
37c6bfc4f6d5,silverstone_QUALI,heart_rate,string_in_numeric,detection,0.0019,True
00cf23e07879,silverstone_QUALI,aero_load,string_in_numeric,detection,0.0026,True
742dada3bcb3,silverstone_RACE,throttle,duplicate_timestamp,detection,0.0043,True
e5dd054f5448,silverstone_RACE,aero_load_canbus,schema_drift,detection,0.0046,True
98207ca5957e,silverstone_RACE,g_force_lateral,duplicate_timestamp,detection,0.0053,True
43c54e99359f,silverstone_RACE,g_force_lateral,duplicate_timestamp,detection,0.0038,True
769ab49cd459,silverstone_RACE,g_force_lateral,duplicate_timestamp,detection,0.0077,True
f4dc8cb590a5,silverstone_RACE,aero_load_new,schema_drift,detection,0.0048,True
3028468b0209,silverstone_RACE,aero_load,duplicate_timestamp,detection,0.0046,True
892b442ce885,silverstone_RACE,g_force_lateral,duplicate_timestamp,detection,0.0044,True
0ebfb892498d,silverstone_RACE,tyre_pressure_new,schema_drift,detection,0.0047,True
5f8f878458c8,budapest_FP1,aero_load_raw,schema_drift,detection,0.0047,True
064dda44a86c,budapest_FP1,tyre_pressure_v2,schema_drift,detection,0.0047,True
f5b50f90dd09,budapest_FP1,ecu_canbus,string_in_numeric,detection,0.0073,True
2d9add36c444,budapest_FP1,tyre_pressure_new,schema_drift,detection,0.0046,True
32f48463105f,budapest_FP1,g_force_lateral_raw,schema_drift,detection,0.0047,True
dc52d3b5a608,budapest_FP1,g_force_lateral,string_in_numeric,detection,0.003,True
d6042a2a7b9d,budapest_FP1,engine_temp,duplicate_timestamp,detection,0.0041,True
677dc3366208,budapest_FP1,g_force_lateral,duplicate_timestamp,detection,0.0039,True
cb7210de0078,budapest_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
2b085b9fa8b4,budapest_FP1,speed,string_in_numeric,detection,0.0026,True
4cd0367b83dc,budapest_FP1,engine_temp,string_in_numeric,detection,0.0022,True
583345ef21ff,budapest_FP2,ecu_canbus_raw,schema_drift,detection,0.0048,True
2468e8bedf9c,budapest_FP2,g_force_lateral,duplicate_timestamp,detection,0.0043,True
4355db634b1e,budapest_FP2,ecu_canbus_v2,schema_drift,detection,0.0046,True
d3f53a628b4e,budapest_FP2,speed,duplicate_timestamp,detection,0.004,True
d7caf85dc594,budapest_FP2,rpm,string_in_numeric,detection,0.0021,True
2dfd7c1ac2c6,budapest_FP2,engine_temp_canbus,schema_drift,detection,0.0046,True
e7bfa7cd7235,budapest_FP2,brake_temp,string_in_numeric,detection,0.0063,True
ebd86e728bff,budapest_FP3,throttle,duplicate_timestamp,detection,0.0043,True
b1059b92c7dc,budapest_FP3,rpm,string_in_numeric,detection,0.0027,True
b029d719d0e0,budapest_FP3,tyre_pressure_canbus,schema_drift,detection,0.0048,True
53a0edc9a657,budapest_FP3,throttle,duplicate_timestamp,detection,0.0036,True
4bd2801d5198,budapest_FP3,speed_alt,schema_drift,detection,0.0045,True
01143500086a,budapest_FP3,g_force_lateral,string_in_numeric,detection,0.0028,True
6b55a16200cc,budapest_FP3,brake_temp_alt,schema_drift,detection,0.0044,True
f5eaf5ff0d3c,budapest_FP3,brake_temp,string_in_numeric,detection,0.0026,True
a147d35c2d3b,budapest_FP3,ecu_canbus_raw,schema_drift,detection,0.0062,True
