packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
596c44a38f72,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0046,True
9658c3c5dedd,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
2e7281174d78,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0038,True
27e2375ec2c2,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0025,True
d4ff04deebeb,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.0039,True
1c4f87081f7b,spielberg_RACE,throttle,duplicate_timestamp,detection,0.0043,True
0ecdfb9939c0,spielberg_RACE,ecu_canbus_raw,schema_drift,detection,0.0046,True
7bda5200ce73,silverstone_RACE,speed,string_in_numeric,detection,0.0025,True
2609ef6fd84a,silverstone_RACE,heart_rate_raw,schema_drift,detection,0.0046,True
7b3133afde09,silverstone_RACE,speed,duplicate_timestamp,detection,0.0042,True
e0e08b26775b,budapest_FP1,aero_load,string_in_numeric,detection,0.0025,True
533529534f8c,budapest_FP2,heart_rate_raw,schema_drift,detection,0.0045,True
bc284216b1bb,budapest_FP2,engine_temp,duplicate_timestamp,detection,0.004,True
b816cd7a7f24,budapest_FP2,throttle,duplicate_timestamp,detection,0.0042,True
1ed40406205c,budapest_FP3,heart_rate_raw,schema_drift,detection,0.0043,True
f9b97d898611,budapest_RACE,rpm_raw,schema_drift,detection,0.0048,True
14c8529396a9,budapest_RACE,ecu_canbus,string_in_numeric,detection,0.0038,True
3d1b10c37c02,budapest_RACE,g_force_lateral_raw,schema_drift,detection,0.0049,True
a4ca369e67f6,budapest_RACE,aero_load,string_in_numeric,detection,0.0024,True
9658c3c5dedd,,,dlq_repair,repair,0.0191,False
2e7281174d78,,,dlq_repair,repair,0.062,False
27e2375ec2c2,,,dlq_repair,repair,0.0167,False
bc284216b1bb,,,dlq_repair,repair,0.0341,True
14c8529396a9,,,dlq_repair,repair,0.0096,False
d4ff04deebeb,,,dlq_repair,repair,0.0151,True
1c4f87081f7b,,,dlq_repair,repair,0.013,True
7bda5200ce73,,,dlq_repair,repair,0.0106,False
7b3133afde09,,,dlq_repair,repair,0.0221,True
e0e08b26775b,,,dlq_repair,repair,0.0049,False
b816cd7a7f24,,,dlq_repair,repair,0.0131,True
a4ca369e67f6,,,dlq_repair,repair,0.0056,False
