packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
ec52f361fe3a,spielberg_FP1,rpm,sensor_dropout,detection,0.0048,True
27c6c191e7d5,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0039,True
1e7259790183,spielberg_FP1,throttle,bit_flip_high,detection,0.0073,True
785e5535d13b,spielberg_FP1,aero_load,sensor_dropout,detection,0.0036,True
805c238b6af7,spielberg_FP1,speed,bit_flip_high,detection,0.0058,True
7dec9e919413,spielberg_FP1,rpm,bit_flip_low,detection,0.0055,True
120145ac42bd,spielberg_FP1,rpm,sensor_dropout,detection,0.0033,True
3f80057da6df,spielberg_FP1,throttle,sensor_dropout,detection,0.0049,True
0d5911058890,spielberg_FP1,speed,bit_flip_high,detection,0.0071,True
1111b7900de4,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0041,True
9495d99e568f,spielberg_FP1,aero_load,null_value,detection,0.0033,True
cb35ab06fb15,spielberg_FP1,aero_load,string_in_numeric,detection,0.0021,True
ed48d29c77f2,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0059,True
b4c36de3c4b0,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0046,True
44ba35b1c214,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0072,True
9fbc77f5e366,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0061,True
d8a153ad979b,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0044,True
c22caeb99498,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0036,True
d1146855a5b2,spielberg_FP1,rpm,bit_flip_high,detection,0.0058,True
5e0e3a9e04c2,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0045,True
fb599ca19516,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0064,True
8979419f7fbe,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.004,True
853e38706e78,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0074,True
d4968421b3f1,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0063,True
7c3c6b20aa49,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0034,True
37c5c346b3e6,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0057,True
4e9657d34836,spielberg_FP1,speed,bit_flip_high,detection,0.0078,True
60acd7383785,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0038,True
8edeb208b671,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.004,True
323a8177f7d8,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0049,True
7cfb5eb3ca45,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0064,True
ff94454a3c3f,spielberg_FP1,throttle,bit_flip_low,detection,0.0054,True
fff0d41759b1,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0032,True
7b2e48589ffb,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0062,True
21c0f6ee94c1,spielberg_FP1,aero_load,string_in_numeric,detection,0.0019,True
846d10b4bc9c,spielberg_FP1,rpm,sensor_dropout,detection,0.0037,True
7cc496b5f9f5,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0039,True
1fa202d0b88a,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
