packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
4c25a14b3a0d,spielberg_FP1,speed_canbus,schema_drift,detection,0.0046,True
bfef63a480d8,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0049,True
8115a8f363c8,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
cf407b4f63e6,spielberg_FP1,rpm_v2,schema_drift,detection,0.0046,True
6e24d736974d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0028,True
f9875bc321f0,spielberg_FP1,speed,string_in_numeric,detection,0.0023,True
841c5107aa06,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0046,True
7d463177688d,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0043,True
c6a64e942358,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0045,True
b7bef999493f,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0037,True
5eda4b797d53,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0028,True
59cc9bd993a0,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
f8dfb06e0625,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0037,True
1ed112a48cdc,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0057,True
83909ab6adaf,spielberg_FP1,speed_raw,schema_drift,detection,0.0045,True
62ee59e2e1ed,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0043,True
2f1ab9ae33fd,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0044,True
f4a44bd219a2,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0025,True
c0761d81aad7,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0046,True
f39e54775a47,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0045,True
0ecb95b35043,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.004,True
cac09d044985,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0047,True
0845a7f51189,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.004,True
8ea618b771b7,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0042,True
1e50ae0b0d24,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0049,True
331da1fcebac,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0025,True
8561fe6f27a6,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
5dfb2bdb6bf3,spielberg_FP1,throttle_new,schema_drift,detection,0.0045,True
ea61a2214c19,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0038,True
1aa4c59c35a3,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
bf886e87b934,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0049,True
47b5a37922c3,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
e8aae6f02571,spielberg_FP1,throttle_raw,schema_drift,detection,0.0047,True
