packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
8424fb89aa27,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0047,True
9091c0328807,spielberg_FP1,throttle_raw,schema_drift,detection,0.0043,True
759686c6096f,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0042,True
25b3b8783323,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0049,True
613f745f2499,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.004,True
3550ad66c3f8,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0026,True
982b9dceb982,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
498426b62fc9,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0038,True
0b302b71dfa9,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0049,True
345f6227d5f4,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
9fb1e444bc3a,spielberg_FP1,rpm_v2,schema_drift,detection,0.0048,True
ae5dbc35191b,spielberg_FP1,rpm,string_in_numeric,detection,0.0026,True
27ddf19aca67,spielberg_FP1,aero_load,string_in_numeric,detection,0.0031,True
44c70794d3b8,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0037,True
446e265aa1d0,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0046,True
4e49e2f48587,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0051,True
62747b9362f2,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0026,True
24400a99677a,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0039,True
1d05f3ee4564,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
fa159f21a8f4,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0045,True
3e4871e37c0a,spielberg_FP1,rpm_raw,schema_drift,detection,0.0047,True
383f2a33a1fc,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0024,True
1cc65254591a,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0049,True
23d68cd82da1,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0025,True
920759bc01ca,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0044,True
55af2a686251,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.008,True
b10879efe8a4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
afb552319333,spielberg_FP1,rpm,string_in_numeric,detection,0.0026,True
752af9c4fb50,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0046,True
cbd92e5dcbaf,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0045,True
286d8b046a62,spielberg_FP1,throttle_v2,schema_drift,detection,0.005,True
5e6fd70c84cb,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0021,True
3e28f38cf9a7,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0051,True
0b17fe946b9b,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0053,True
eb00777c662b,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0048,True
f01005d222a1,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.004,True
a3891c6eb8c5,spielberg_FP1,speed,string_in_numeric,detection,0.003,True
483ccd469648,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0047,True
c309d0585387,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0054,True
a269561dbea0,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0025,True
957e312bee09,spielberg_FP1,rpm_new,schema_drift,detection,0.0047,True
e4b7e2112c7a,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0042,True
a362565fe889,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0038,True
d96bfa2be471,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0027,True
c7ef29032721,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
7d7463ea3586,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0039,True
118b1c58ae90,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0041,True
8d1621441542,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0046,True
c805ca2dfc64,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0047,True
b73a0d28b271,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0042,True
a5153e2f0e8a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0038,True
4add1189719f,spielberg_FP1,rpm_raw,schema_drift,detection,0.0045,True
1dece74dcfcc,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0048,True
c213b27907b1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0036,True
2f486b1b639c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
5f710b7f19bf,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0024,True
7946c1fd4b8b,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0044,True
fda71a73331b,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0043,True
4f437774cbdd,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0049,True
6bb78e03efc4,spielberg_FP1,throttle_alt,schema_drift,detection,0.0064,True
bc02757d8545,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
44bd4b055d4d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
db6663f54336,spielberg_FP1,rpm_raw,schema_drift,detection,0.0096,True
e6eaba340661,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0038,True
bbc35146858a,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
51f818b80fd0,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
e22914181de3,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0059,True
e844ceebe527,spielberg_FP1,rpm_alt,schema_drift,detection,0.0047,True
ac46f52f9507,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0041,True
ddb2c802e0f3,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0041,True
352ff4dc3599,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0047,True
6ec0be1ba7c6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0022,True
27d17bd61657,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0047,True
d55aa9bd71e8,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0047,True
6ebc1a1d9f18,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
5be1c518f2b3,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0117,True
9ad3f81e8d15,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0047,True
75dff667d38d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0025,True
1fe9676d865b,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0047,True
eab01b249718,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0043,True
d234128b52b7,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0024,True
c65bcbf4e709,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0039,True
e30fbb6622d9,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0023,True
df4f03dbabc5,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.007,True
b333fb57d856,spielberg_FP1,aero_load_new,schema_drift,detection,0.0046,True
ee20a10cbdae,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
43ad6fa537aa,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0046,True
21ba1421b9ab,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0023,True
92d773dae334,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.004,True
374385eaaa30,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
f94e50065575,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.004,True
693c22fab047,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
13d06e5dfd05,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
5db8c64ba7e2,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0043,True
2b77222982da,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0043,True
17875597744c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0045,True
