packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
6d8b07e470c2,spielberg_FP1,aero_load,string_in_numeric,detection,0.004,True
8b66b9b7d51e,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0047,True
dff32cc0c967,spielberg_FP1,rpm,string_in_numeric,detection,0.0022,True
c4733ad13435,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0036,True
6d116efe9c75,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.004,True
4406afa295a8,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0045,True
711fdd7b9e56,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0046,True
9a2f563fc734,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0041,True
190908d8826f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0028,True
0b4554f6e55e,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0047,True
78cf53a07c21,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0036,True
96960442353c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0025,True
3b2ae0039b52,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0041,True
e5828f3b61be,spielberg_FP1,rpm_alt,schema_drift,detection,0.0049,True
3af0d41bf28f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
147566e4acce,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0038,True
226e0f5eafdb,spielberg_FP1,throttle,string_in_numeric,detection,0.0024,True
625fced0362b,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.005,True
c6cd9fda2e65,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0048,True
96464198ea8c,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0113,True
3ddecf20e8c4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0045,True
09841acdc3bb,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0037,True
dd0b3face3f1,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0048,True
891d454cc0d5,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0041,True
624fa163b42c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0038,True
78f83510a68b,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
98f4c3ad2b3d,spielberg_FP1,throttle,string_in_numeric,detection,0.0024,True
aec5448f60d3,spielberg_FP1,speed_new,schema_drift,detection,0.0099,True
8b2f4ee3ab7d,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0045,True
5dfdcf40a2f2,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0047,True
19e00cb69bab,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0046,True
