packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
65a92ebef953,spielberg_FP1,g_force_lateral,null_value,detection,0.0018,True
1e69fbb559ef,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0007,True
67d8683d3d45,spielberg_FP1,aero_load,bit_flip_low,detection,0.0037,True
3039552cf448,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0024,True
3adffc0c29e7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0009,False
95131e148119,spielberg_FP1,throttle,null_value,detection,0.0008,True
06436edfbd3c,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0011,False
8de05f249ff2,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0006,True
b743eb50baa6,spielberg_FP1,aero_load,bit_flip_high,detection,0.0029,True
277ff5f37d58,spielberg_FP1,engine_temp,null_value,detection,0.0006,True
da84a0a54db0,spielberg_FP1,throttle,null_value,detection,0.0005,True
3d4f56fb9bde,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0028,True
c198035a88e5,spielberg_FP1,ecu_canbus,null_value,detection,0.001,True
10204fb0e822,spielberg_FP1,ecu_canbus,null_value,detection,0.0009,True
6701154b3d48,spielberg_FP1,rpm,bit_flip_high,detection,0.0028,True
e7922ba74758,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0005,True
eda984f6f033,spielberg_FP1,throttle_raw,schema_drift,detection,0.0011,False
23cd228a884c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0008,False
dafe5f5da288,spielberg_FP1,aero_load,string_in_numeric,detection,0.0009,True
881c1eb5df26,spielberg_FP1,g_force_lateral,null_value,detection,0.0006,True
bd60313cdbb5,spielberg_FP1,speed,null_value,detection,0.0006,True
a4ea4f523b63,spielberg_FP1,throttle,string_in_numeric,detection,0.001,True
5e32b9e14432,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0027,True
4af8bbf10fd8,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0021,True
31b7b04702a3,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0009,False
48d6dbf470d5,spielberg_FP1,throttle,sensor_dropout,detection,0.0009,True
b746a05a5e00,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0028,True
0a73403b0c10,spielberg_FP1,throttle,sensor_dropout,detection,0.0008,True
5a5c3924eda8,spielberg_FP1,throttle,bit_flip_low,detection,0.003,True
f9cefa5e5ec1,spielberg_FP1,throttle,null_value,detection,0.0007,True
ed8ffd3f5765,spielberg_FP1,aero_load,bit_flip_high,detection,0.0025,True
5c05777a2c09,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0021,True
954170b0f972,spielberg_FP1,engine_temp,null_value,detection,0.0007,True
979495ae97f7,spielberg_FP1,aero_load,bit_flip_high,detection,0.0032,True
822f128675a9,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0024,True
cdca03727bde,spielberg_FP1,speed,duplicate_timestamp,detection,0.0012,False
be5e2820e66a,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0011,False
c3fca7d42f62,spielberg_FP1,speed_alt,schema_drift,detection,0.0013,False
876764c5b3d7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0014,False
4e459b31ba58,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0007,False
6d101d4bb38c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.001,False
30209bd3cbfd,spielberg_FP1,throttle,sensor_dropout,detection,0.0009,True
a2f1f9611e64,spielberg_FP1,aero_load,sensor_dropout,detection,0.0007,True
90442fe0792f,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0031,True
2e245b76fa25,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0007,True
0779c8587c9f,spielberg_FP1,speed,bit_flip_high,detection,0.0029,True
d3ba563747a1,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0012,False
fc2012f45d4a,spielberg_FP1,throttle,string_in_numeric,detection,0.0008,True
713000538762,spielberg_FP1,rpm_v2,schema_drift,detection,0.0013,False
0fad3a6a9c07,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0008,False
050f4c6c504e,spielberg_FP1,g_force_lateral,null_value,detection,0.0006,True
d5ba040707aa,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0009,True
525565923b5b,spielberg_FP1,aero_load,string_in_numeric,detection,0.0009,True
6cd911071c41,spielberg_FP1,speed,duplicate_timestamp,detection,0.0009,False
d17eb5a37b63,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0012,False
