packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
9f768dacb8f5,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.004,True
84c0ef7dd3e2,spielberg_FP1,speed_alt,schema_drift,detection,0.0049,True
caae2d8ace0c,spielberg_FP1,throttle,string_in_numeric,detection,0.0027,True
2dd482cbab98,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0039,True
4175a2a695a5,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
ae7bfbc277e1,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
b5b76a50f6ab,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0041,True
52cb2bd72e35,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0048,True
8fb6bcacd78c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0039,True
b0f64c94ba96,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
b29b42be84a1,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0033,True
6086414fd30b,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.0024,True
662330124fbe,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.004,True
096145884ed9,spielberg_FP2,throttle_new,schema_drift,detection,0.0045,True
8b8e45a324c7,spielberg_FP2,heart_rate_alt,schema_drift,detection,0.0047,True
2c35d17ce6a4,spielberg_FP2,throttle,string_in_numeric,detection,0.0024,True
f3325ad75e63,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0025,True
cd93a1aaef10,spielberg_FP2,speed_v2,schema_drift,detection,0.0046,True
862d55c18e2e,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0038,True
466669babe06,spielberg_FP2,engine_temp_canbus,schema_drift,detection,0.0049,True
ed1d429ba299,spielberg_FP2,g_force_lateral_v2,schema_drift,detection,0.0047,True
8e86b5787b6c,spielberg_FP3,aero_load,duplicate_timestamp,detection,0.0045,True
9088b4ccf613,spielberg_FP3,speed_v2,schema_drift,detection,0.0051,True
dd702db67a34,spielberg_FP3,heart_rate,duplicate_timestamp,detection,0.0045,True
a359a94788dd,spielberg_FP3,engine_temp,duplicate_timestamp,detection,0.0042,True
b3a907436305,spielberg_FP3,heart_rate,string_in_numeric,detection,0.0024,True
13e0531f1761,spielberg_FP3,g_force_lateral_alt,schema_drift,detection,0.0064,True
58c1c7b40e3a,spielberg_FP3,brake_temp,duplicate_timestamp,detection,0.006,True
d2fc95c70afe,spielberg_FP3,speed,duplicate_timestamp,detection,0.0046,True
3362008129f9,spielberg_FP3,rpm,string_in_numeric,detection,0.0025,True
8dc11d381211,spielberg_FP3,aero_load_raw,schema_drift,detection,0.0045,True
647b6dfe4ab2,spielberg_QUALI,tyre_pressure,string_in_numeric,detection,0.0033,True
cb230e4321ff,spielberg_QUALI,throttle,string_in_numeric,detection,0.0026,True
73cc6a5c3671,spielberg_QUALI,aero_load,duplicate_timestamp,detection,0.0045,True
8c6a1a7440b9,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.004,True
bebe8e5f5eec,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.0038,True
e1d7dc42402d,spielberg_QUALI,speed,string_in_numeric,detection,0.0025,True
f519cdb4fe21,spielberg_QUALI,g_force_lateral,string_in_numeric,detection,0.0024,True
45aac4f97840,spielberg_RACE,brake_temp_raw,schema_drift,detection,0.0045,True
bb1b0ae5d48f,spielberg_RACE,engine_temp_v2,schema_drift,detection,0.0044,True
ed5d872d1a38,spielberg_RACE,tyre_pressure,string_in_numeric,detection,0.0024,True
ab5dc31ce918,spielberg_RACE,rpm,duplicate_timestamp,detection,0.0045,True
aed122312da8,spielberg_RACE,engine_temp_alt,schema_drift,detection,0.0039,True
8cc6847dee7f,spielberg_RACE,heart_rate,duplicate_timestamp,detection,0.0037,True
5d68321444ab,spielberg_RACE,aero_load,string_in_numeric,detection,0.0023,True
45c1e885c7f1,spielberg_RACE,g_force_lateral,duplicate_timestamp,detection,0.004,True
0a243362e604,spielberg_RACE,rpm,duplicate_timestamp,detection,0.006,True
312894d582f0,silverstone_FP1,engine_temp_alt,schema_drift,detection,0.0042,True
15497823cb53,silverstone_FP1,tyre_pressure,duplicate_timestamp,detection,0.0051,True
