packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
f79ad621db63,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0039,True
6b8057bdf349,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0048,True
3ddb3441d82a,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0048,True
8a9ca5c44613,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0048,True
c856b23eba2d,spielberg_FP1,speed_canbus,schema_drift,detection,0.0044,True
f3b77a8681a8,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0025,True
ab7f46a8afca,spielberg_FP1,rpm_v2,schema_drift,detection,0.0043,True
75829845eb74,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0039,True
8e4df7a5da5f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0032,True
94fe5de9e17a,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0047,True
8d027c7812f7,spielberg_FP1,speed_alt,schema_drift,detection,0.0044,True
425574b4deab,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0027,True
f987ef1e4a1d,spielberg_FP1,throttle_alt,schema_drift,detection,0.0046,True
ead81e66bb54,spielberg_FP1,speed,duplicate_timestamp,detection,0.0042,True
fa089a7e59db,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0049,True
78e060b3cb0c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0037,True
6bc7aa66007e,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0042,True
7fa162a93110,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0051,True
b205ebb9337e,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0038,True
1d20a2d94240,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0044,True
4d2d7015ac4a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0036,True
87dc4947631c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0081,True
677db1123007,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0047,True
a0ffe73ee656,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0117,True
a1e0d9de619e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
b799e0f7cf27,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
1070a236db2e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
d9fd7f44fd27,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0047,True
99325dd4cbeb,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0047,True
e5d2ec4fbd04,spielberg_FP1,speed,string_in_numeric,detection,0.0025,True
f3a0e176b867,spielberg_FP1,rpm,string_in_numeric,detection,0.0031,True
f58a9886213e,spielberg_FP1,speed,duplicate_timestamp,detection,0.0038,True
c0facc57ddb8,spielberg_FP1,speed,string_in_numeric,detection,0.0023,True
d23efdda71f9,spielberg_FP1,aero_load,string_in_numeric,detection,0.0029,True
e163721cb884,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0047,True
e43ee7f58bac,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0092,True
5b340b93e53a,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0024,True
240efe945df8,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0047,True
cfe7f2f7895b,spielberg_FP1,speed,duplicate_timestamp,detection,0.0042,True
1c6970edc6c1,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
c1d49f6618e5,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0035,True
5b3ca48f0a4b,spielberg_FP1,rpm,string_in_numeric,detection,0.0022,True
12aa546e1451,spielberg_FP1,speed,string_in_numeric,detection,0.0027,True
