packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
8dad5c863ba2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
3938e6dad2d6,spielberg_FP1,ecu_canbus,null_value,detection,0.0036,True
c744be7f407c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0022,True
014f8cb5419e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0036,True
354511298cde,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0065,True
cde5b4992ea1,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0031,True
22ad702b2991,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
2e2ccd337972,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0032,True
2aceee465395,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0034,True
948fa6b94615,spielberg_FP1,throttle,null_value,detection,0.0031,True
ffb5553469c2,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0027,True
4bd8edc06bca,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0071,True
ec1b723f9b7b,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0037,True
a64635547339,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0034,True
af048188c52d,spielberg_FP1,rpm,bit_flip_high,detection,0.0057,True
e798439fcc34,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0037,True
37efc3527deb,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0031,True
e14061afb300,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0056,True
12bff67f1b35,spielberg_FP1,throttle,string_in_numeric,detection,0.0026,True
63e6e49e567b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0039,True
f3e46143c671,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0042,True
3f22a7744e24,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0068,True
b0e79db9d3fc,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0032,True
ea8e7ad76d6c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0035,True
5a2576f37816,spielberg_FP1,speed,bit_flip_low,detection,0.0071,True
3301443a7198,spielberg_FP1,throttle,null_value,detection,0.0031,True
754ba204e7d4,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0134,True
740ca4adf1dc,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0034,True
3243b62c5bf7,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0032,True
80f17b5b549f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0036,True
7a2ba770eee6,spielberg_FP1,speed_new,schema_drift,detection,0.0048,True
3d6dd1cd5972,spielberg_FP1,tyre_pressure,null_value,detection,0.0033,True
d1aa7f2072fd,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0055,True
5a1208cb0c23,spielberg_FP1,aero_load,bit_flip_low,detection,0.0057,True
28ac969aee65,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0049,True
23164c6c66d9,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0047,True
02f76b18b169,spielberg_FP1,throttle,string_in_numeric,detection,0.002,True
e84a6241913e,spielberg_FP1,throttle,null_value,detection,0.0036,True
179ea14b139d,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.004,True
f65f62a524a0,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0029,True
4ae06c352104,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0022,True
a99e70a8e506,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
60b604ba15f9,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0019,True
8c77b07f0df3,spielberg_FP1,speed,bit_flip_low,detection,0.0067,True
941497de4d51,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0037,True
24cb5008dfc9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0038,True
d184654f69f4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0042,True
09690b28948d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
6173d7d13ff2,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0033,True
e3f3d5f07601,spielberg_FP1,g_force_lateral,null_value,detection,0.0031,True
