packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
b570d20acc1f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0026,False
e8023050eff8,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0008,False
0f736c763ba7,spielberg_FP1,speed,duplicate_timestamp,detection,0.0011,False
5e6c3658add8,spielberg_FP1,throttle_new,schema_drift,detection,0.0013,False
4d890f8013cb,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.001,False
a1876334b20b,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0011,True
35ffbb647260,spielberg_FP1,speed_canbus,schema_drift,detection,0.002,False
16e3f508cf5d,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0011,False
9013979110f7,spielberg_FP1,ecu_canbus,null_value,detection,0.0008,True
a4db24b0f93b,spielberg_FP1,rpm,bit_flip_low,detection,0.0038,True
0066e51c1e95,spielberg_FP1,throttle,sensor_dropout,detection,0.0007,True
150f96f3e603,spielberg_FP1,aero_load,bit_flip_high,detection,0.0026,True
5cf1652c01ba,spielberg_FP1,ecu_canbus,null_value,detection,0.0006,True
16b8ea208e33,spielberg_FP1,speed,null_value,detection,0.0006,True
c133b8cd5d9b,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0027,True
6619556ca565,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0028,True
ced5598dac15,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0009,True
cfdf33d89362,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0024,True
22d5013eabd4,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0007,True
447f9a3f2b64,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0009,True
5db32f877a25,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0012,False
d98ec44da6e0,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0008,False
abb7f4416784,spielberg_FP1,engine_temp,string_in_numeric,detection,0.001,True
139230a378f6,spielberg_FP1,speed,sensor_dropout,detection,0.0007,True
b9533182d082,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0009,False
1b53d7965c67,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0012,False
7d4278eaf5c4,spielberg_FP1,rpm,bit_flip_low,detection,0.0034,True
1b4ef1757f3a,spielberg_FP1,rpm,null_value,detection,0.0009,True
2231ad95529b,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0007,True
c4ba75b6d541,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0029,True
0921a2e86286,spielberg_FP1,g_force_lateral,null_value,detection,0.0007,True
b3280248b023,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0017,False
008f3512b7ab,spielberg_FP1,engine_temp,null_value,detection,0.0009,True
02f671bdc8fb,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0008,False
