packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2eec9d512e8c,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0049,True
3f7758c6c781,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0046,True
5e6735524847,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0068,True
c8fae2c11ab7,spielberg_FP1,throttle,null_value,detection,0.0036,True
b1da3b05919d,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.004,True
e780741369d2,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0051,True
1362628a8e2c,spielberg_FP1,rpm,bit_flip_low,detection,0.0064,True
4a934d544ae4,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0036,True
3c3b8d7dd142,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0063,True
2260ec52a28a,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
ce5488c6dcfb,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0042,True
b52fa88fdab8,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0038,True
fb2c30fe9d94,spielberg_FP1,speed,sensor_dropout,detection,0.0028,True
0049ff8ec9a8,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0023,True
74ce5dfc8830,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0046,True
a40a95b6d59d,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0046,True
76906a86578b,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0043,True
150b70010f9a,spielberg_FP1,speed_canbus,schema_drift,detection,0.0045,True
2f384307ddd7,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0019,True
f5ffffd46be3,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0039,True
77a7f603662f,spielberg_FP1,throttle,string_in_numeric,detection,0.002,True
4a602621bead,spielberg_FP1,engine_temp,bit_flip_low,detection,0.013,True
7e5a22ba9a56,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0024,True
55651462f2e7,spielberg_FP1,speed,sensor_dropout,detection,0.0035,True
f55baa26a6b8,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0032,True
3f503af8bb05,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0081,True
13dfee3b744a,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0087,True
6949d3420319,spielberg_FP1,speed,sensor_dropout,detection,0.0048,True
322e49af966f,spielberg_FP1,rpm,sensor_dropout,detection,0.0034,True
34839c1cfc21,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0045,True
6946a6e24354,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0049,True
6be0d23ea1c4,spielberg_FP1,throttle,sensor_dropout,detection,0.0032,True
e96ca2d9db65,spielberg_FP1,aero_load,null_value,detection,0.0037,True
e2e9eccf6093,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
fbe0f6b559b4,spielberg_FP1,speed,bit_flip_low,detection,0.0075,True
f0e5ba9b36af,spielberg_FP1,throttle,null_value,detection,0.0036,True
8ab879ea2df7,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0061,True
9240f1a57ebb,spielberg_FP1,heart_rate,null_value,detection,0.0033,True
174536a9d10c,spielberg_FP1,brake_temp,null_value,detection,0.0029,True
3bf655808690,spielberg_FP1,aero_load,sensor_dropout,detection,0.0039,True
332e7c18ccc6,spielberg_FP1,speed,string_in_numeric,detection,0.0023,True
db1cde880b40,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0024,True
41a50c25f3a3,spielberg_FP1,rpm,null_value,detection,0.0031,True
9f9891325759,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0038,True
9b77d2e98228,spielberg_FP1,speed,bit_flip_high,detection,0.0072,True
c4f30e66e3bf,spielberg_FP1,rpm,bit_flip_low,detection,0.0045,True
4ae1b5209bbc,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0088,True
ea4d9a864bbd,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0036,True
42c52aef0913,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0023,True
