packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
aa0237afeb49,spielberg_FP1,throttle,bit_flip_low,detection,0.0074,True
b31fc835b652,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0055,True
19ea79c9ed1f,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0059,True
1a39e2eb4d93,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0042,True
63d0b3792b6a,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0037,True
4481a5b72870,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
15cbf9d665b5,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0068,True
9f9f538e0e1a,spielberg_FP1,throttle_v2,schema_drift,detection,0.0046,True
e5323492b21e,spielberg_FP1,throttle_alt,schema_drift,detection,0.0043,True
1b33b46820fa,spielberg_FP1,throttle,bit_flip_low,detection,0.0066,True
6366d4e93f5b,spielberg_FP1,engine_temp,null_value,detection,0.0034,True
f0dc65520228,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0043,True
4dd3d27147ca,spielberg_FP1,rpm,string_in_numeric,detection,0.0022,True
d3181c77fea2,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0045,True
57e2bb179003,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0042,True
bf52d91fe903,spielberg_FP1,tyre_pressure,null_value,detection,0.0033,True
4325c62437a9,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0043,True
dd329f6051dd,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0046,True
41c5fc470d19,spielberg_FP1,throttle,sensor_dropout,detection,0.0034,True
1219d775bd7f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0022,True
5c5aaad50b60,spielberg_FP1,aero_load,bit_flip_low,detection,0.0064,True
cec7b98f9c4e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
62d8c07a9143,spielberg_FP1,speed,sensor_dropout,detection,0.0032,True
83298dec91a9,spielberg_FP1,aero_load,sensor_dropout,detection,0.003,True
c40bb49a60eb,spielberg_FP1,heart_rate,null_value,detection,0.0033,True
d262fb79c565,spielberg_FP1,aero_load_new,schema_drift,detection,0.0043,True
3bcd7a1f5469,spielberg_FP1,aero_load,sensor_dropout,detection,0.0036,True
a814f8379c09,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0046,True
fe8fd18873f3,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0039,True
046834c3e4b8,spielberg_FP1,aero_load,bit_flip_low,detection,0.0064,True
