packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
00af9cf0d7d4,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0,True
65b9c7b03232,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0,True
2f5417bd0fcf,spielberg_FP1,aero_load_new,schema_drift,detection,0.0,True
b2e4b4bb9dc3,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0,True
99ec3f095ae7,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0,True
c9a3e1bbf62f,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0,True
396c9465cf4b,spielberg_FP1,brake_temp,null_value,detection,0.0,True
f52b30144dcb,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0,True
17307934a8d1,spielberg_FP1,throttle,string_in_numeric,detection,0.0,True
6d0b5574e537,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0,True
78fe27569433,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0,True
bf69ade8c276,spielberg_FP1,heart_rate,null_value,detection,0.0,True
0070b8f9f01e,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0,True
67db31380843,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0,True
d0af6aeb869c,spielberg_FP1,speed_new,schema_drift,detection,0.0,True
19bb1215aa6c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0,True
c5d5d886cb07,spielberg_FP1,speed,string_in_numeric,detection,0.0,True
f62991bf59d1,spielberg_FP1,aero_load,bit_flip_low,detection,0.0,True
2ac663f5ba64,spielberg_FP1,rpm,bit_flip_low,detection,0.0,True
666d3b3195aa,spielberg_FP1,throttle,sensor_dropout,detection,0.0,True
c9b3741a98ee,spielberg_FP1,speed,null_value,detection,0.0,True
6b7ed864cb3f,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0,True
44af753b78b6,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0,True
4ce4f5406a5f,spielberg_FP1,rpm_alt,schema_drift,detection,0.0,True
