packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
d2244e2e2efa,spielberg_FP1,rpm,null_value,detection,0.0078,True
7223583ef286,spielberg_FP1,throttle,string_in_numeric,detection,0.0046,True
2b86b8ed2eb5,spielberg_FP1,aero_load,bit_flip_low,detection,0.0131,True
bcf2e9ed237c,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0092,True
1610908f1735,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0045,True
1512f9c47d54,spielberg_FP1,engine_temp,bit_flip_low,detection,0.012,True
1efed2dd4fdb,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0111,True
d719e7b113b0,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0115,True
63e716d0590e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0079,True
ca9f140cdb92,spielberg_FP1,speed,null_value,detection,0.007,True
934d3638bd91,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.008,True
fa5bbeb8aa57,spielberg_FP1,brake_temp,null_value,detection,0.0079,True
9a4a712976a9,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0113,True
a098ed78f9c8,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0083,True
53b3773767c1,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0117,True
60931d396683,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0078,True
cf0dbe58a854,spielberg_FP1,ecu_canbus,null_value,detection,0.0073,True
ed9cb5928773,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0043,True
0716f19d084f,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0071,True
45776b673e4a,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0115,True
8a2d146bdf4f,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0076,True
8edd67446903,spielberg_FP1,throttle_v2,schema_drift,detection,0.009,True
ad6b28f73c89,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.009,True
f7e4e364bfbf,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.008,True
43d9d4213be9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0138,True
42541fb3761c,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0114,True
5c55fc9b7853,spielberg_FP1,aero_load,string_in_numeric,detection,0.0042,True
bb49f24294f8,spielberg_FP1,speed,string_in_numeric,detection,0.0044,True
8481b4be471d,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0117,True
043fddb3ba25,spielberg_FP1,throttle,string_in_numeric,detection,0.0042,True
b666a3389b79,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0111,True
47296bfd4ca8,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0043,True
bd1c5bd9cd26,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0087,True
e5a57bede10d,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0042,True
d96870abde01,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0114,True
851f72479f5e,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0071,True
8ce558874967,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0068,True
10642ce0d0d5,spielberg_FP1,aero_load,string_in_numeric,detection,0.0046,True
e55a919fc5ee,spielberg_FP1,rpm,null_value,detection,0.0072,True
b04d95bf643a,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.004,True
6003b29a6fb2,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0077,True
c58caac4d0fb,spielberg_FP1,throttle_v2,schema_drift,detection,0.0089,True
1954b43a852b,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0072,True
cc8977332e0c,spielberg_FP1,rpm,bit_flip_low,detection,0.012,True
2d25208e913f,spielberg_FP1,rpm,bit_flip_low,detection,0.0113,True
6ce0b593c66e,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0105,True
c471db98372e,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0078,True
c0af91419c90,spielberg_FP1,throttle,bit_flip_low,detection,0.0114,True
620bcc9ba574,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0106,True
