packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
c6688ef543c9,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0083,True
72af541af515,spielberg_FP1,throttle,sensor_dropout,detection,0.0071,True
7b7968e72308,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0087,True
a449b372e1b2,spielberg_FP1,rpm,sensor_dropout,detection,0.0072,True
e1015bef88cd,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0047,True
1d009016770c,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.012,True
a40eb4b6bf45,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0079,True
f2562bda5756,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0099,True
53504fb29d3f,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.009,True
1dcf30c23b8f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0078,True
eca2cc1150ff,spielberg_FP1,throttle,null_value,detection,0.0072,True
0bee3cb55547,spielberg_FP1,speed,null_value,detection,0.0072,True
d01776be53ce,spielberg_FP1,speed,bit_flip_high,detection,0.0205,True
3befd6832c7a,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0044,True
be1d51bbe559,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0081,True
d38988914cff,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0071,True
6f70bf47a575,spielberg_FP1,throttle,string_in_numeric,detection,0.0044,True
f1cd92298e16,spielberg_FP1,aero_load,bit_flip_low,detection,0.0129,True
9595a3ba27e1,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0044,True
cbe89907af9e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0119,True
0ba6daa397a4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0079,True
20b54d96ed59,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0075,True
2dc112e2163d,spielberg_FP1,rpm,sensor_dropout,detection,0.0077,True
3a2ade92a7ee,spielberg_FP1,aero_load,string_in_numeric,detection,0.0045,True
8a6f04e69ee6,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0088,True
1aefc477296c,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0116,True
bfc5385e503e,spielberg_FP1,speed,bit_flip_low,detection,0.0111,True
4091009d45a5,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0093,True
14abc37d61b4,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0115,True
3eb3cf86e64d,spielberg_FP1,speed,bit_flip_high,detection,0.0113,True
9ff347ea53ab,spielberg_FP1,speed,sensor_dropout,detection,0.0069,True
a87b7daf78fb,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.008,True
d3683ac5b09b,spielberg_FP1,brake_temp,null_value,detection,0.0071,True
fcd8bddbe99b,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0111,True
8d8e6cae3933,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.009,True
04c05b719f46,spielberg_FP1,throttle,bit_flip_high,detection,0.0112,True
0abd9f05a70d,spielberg_FP1,tyre_pressure,null_value,detection,0.0071,True
34e6f582378e,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0088,True
d38e37abfcb0,spielberg_FP1,rpm,sensor_dropout,detection,0.0069,True
6a3199621950,spielberg_FP1,speed,bit_flip_low,detection,0.0116,True
b80dcbbfa7b6,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0089,True
8dece15d45c5,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0045,True
07e8cb9e78e0,spielberg_FP1,aero_load,null_value,detection,0.0069,True
10386f46a18d,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.008,True
108817506ce0,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.011,True
7e633e2c1923,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0113,True
3ea5504b461f,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0072,True
3cb4b51ba90a,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0043,True
a71b7ab6ad4c,spielberg_FP1,throttle_new,schema_drift,detection,0.0092,True
fcb566115736,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0069,True
a1c0f3895af9,spielberg_FP1,rpm_alt,schema_drift,detection,0.0092,True
b16991e8f4aa,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0041,True
ab9002ae0ed9,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0112,True
c4f756e0cac4,spielberg_FP1,speed,bit_flip_high,detection,0.0178,True
0fe1c568d1e9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0109,True
357ccf014c48,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0105,True
55a566f3ef2e,spielberg_FP1,throttle_v2,schema_drift,detection,0.0092,True
8839af0e7090,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0077,True
93d77bc11878,spielberg_FP1,aero_load,bit_flip_low,detection,0.0123,True
2343a3707fdc,spielberg_FP1,throttle,sensor_dropout,detection,0.0069,True
fcbee1e05cc1,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0041,True
80551d93f006,spielberg_FP1,aero_load_v2,schema_drift,detection,0.009,True
8fe3cb4a12c1,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0117,True
44a08a239a4d,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0139,True
5fa30d33fbc9,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0089,True
d012805c6b15,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0088,True
