packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
6b93175832c9,spielberg_FP1,speed,bit_flip_high,detection,0.0126,True
49f90c2edffc,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0119,True
46f838ba95a2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0083,True
e366fea7f1b7,spielberg_FP1,rpm,sensor_dropout,detection,0.0071,True
957ec3e36409,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0116,True
7c622241e0ed,spielberg_FP1,rpm,sensor_dropout,detection,0.0081,True
dc046fe63a00,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0116,True
ecc1319b5d73,spielberg_FP1,aero_load,string_in_numeric,detection,0.0051,True
035dc753c591,spielberg_FP1,throttle,null_value,detection,0.0078,True
7ff4b91b70c6,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0102,True
9da44810d36a,spielberg_FP1,tyre_pressure,null_value,detection,0.0079,True
f9f3417a1d74,spielberg_FP1,aero_load,sensor_dropout,detection,0.0077,True
12ac1426aab5,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0132,True
fd837902f2b4,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0095,True
4179935591c5,spielberg_FP1,speed,string_in_numeric,detection,0.0053,True
0b1f1ba1b853,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0074,True
87d189a1b8da,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0104,True
899541d49ea2,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0117,True
5fc09b0e690a,spielberg_FP1,g_force_lateral,null_value,detection,0.0078,True
0cbc349d4a4b,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0091,True
88d6935604b0,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0075,True
9ea926ddc927,spielberg_FP1,rpm,sensor_dropout,detection,0.0072,True
86576014ebe4,spielberg_FP1,speed_alt,schema_drift,detection,0.0101,True
0a66817583e6,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0115,True
0ad2d73bcf23,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0091,True
9c47ac4e7e1d,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0077,True
e4a89c0b4450,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0116,True
2d4084ef6770,spielberg_FP1,speed,bit_flip_high,detection,0.0117,True
bc0af7657d47,spielberg_FP1,aero_load,string_in_numeric,detection,0.0045,True
c8f88866caf6,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0087,True
d4e5af6494fa,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0094,True
6c5c4448f79a,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0108,True
cd5a0977b6be,spielberg_FP1,throttle,bit_flip_high,detection,0.0117,True
6220d6ebbaad,spielberg_FP1,speed,bit_flip_high,detection,0.0115,True
ddd5554af630,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0072,True
3496fe999eef,spielberg_FP1,aero_load,bit_flip_high,detection,0.0123,True
b08b7fe08582,spielberg_FP1,aero_load,sensor_dropout,detection,0.0074,True
045044888a84,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0079,True
7849add3b92d,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0105,True
4a43d7b14def,spielberg_FP1,rpm,bit_flip_low,detection,0.0144,True
a30558800f52,spielberg_FP1,throttle,string_in_numeric,detection,0.0046,True
a4619b06c4a7,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0096,True
aa36f4715b7d,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0084,True
5539189b78d4,spielberg_FP1,rpm,string_in_numeric,detection,0.0041,True
