packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
36995d4f71be,spielberg_FP1,aero_load,null_value,detection,0.007,True
1d666ec45d42,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0071,True
e2822895f118,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0039,True
4e10c5fee5e2,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0103,True
0a8b47f80b8f,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0072,True
33a50e0da063,spielberg_FP1,brake_temp,bit_flip_low,detection,0.01,True
73de6f5d5af3,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0086,True
e989bce88080,spielberg_FP1,aero_load,bit_flip_low,detection,0.0107,True
4bd4b3b42a6a,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0102,True
a617371d1a68,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0061,True
b4705f43fd21,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0079,True
c6c5271c1abc,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0065,True
3bef781d82bd,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0046,True
092aca2f4e50,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0082,True
83a7a97a0fed,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0106,True
cbdb8a1fcc39,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0068,True
162931dd80ee,spielberg_FP1,engine_temp,null_value,detection,0.0071,True
9de0e7e12259,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0104,True
c0b63abf7017,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0097,True
d9129eb824dc,spielberg_FP1,speed,bit_flip_low,detection,0.0101,True
d38d42ba1fbd,spielberg_FP1,aero_load,string_in_numeric,detection,0.0043,True
f300f5f63b7d,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0105,True
7e4d294a1559,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0215,True
bcc3fa5faa1f,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0101,True
11a759539257,spielberg_FP1,engine_temp,null_value,detection,0.0061,True
99e85e801324,spielberg_FP1,throttle,duplicate_timestamp,detection,0.007,True
5a2d5236325d,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.009,True
7f5d59e925a3,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0038,True
68a066e3e32d,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0115,True
94b1e902ab00,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0073,True
38675eca85ae,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0068,True
4c7390ae2246,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0098,True
dc33acfb4ef8,spielberg_FP1,throttle,string_in_numeric,detection,0.0039,True
dc72445850f4,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0094,True
73eafab376f8,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0108,True
f34550131926,spielberg_FP1,throttle,bit_flip_low,detection,0.0097,True
394bad5c90f6,spielberg_FP1,speed,string_in_numeric,detection,0.0038,True
29420dbe315e,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0067,True
0dac16e94bc9,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0087,True
21a14aac77be,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0092,True
e1a9801f69c9,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0087,True
c1eaf799d2cb,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0077,True
cc508e2e23dc,spielberg_FP1,engine_temp,null_value,detection,0.0063,True
22ceb8f08d39,spielberg_FP1,rpm,null_value,detection,0.0062,True
c9674f91bfb5,spielberg_FP1,throttle,null_value,detection,0.008,True
2afb5fc623dc,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0097,True
6064cb0259d4,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0075,True
1278214ce2b8,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0067,True
2219d04b217c,spielberg_FP1,rpm,bit_flip_high,detection,0.011,True
5d6c575cddc7,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0068,True
b0cbbe014900,spielberg_FP1,rpm,bit_flip_high,detection,0.0102,True
d33e14e2c352,spielberg_FP1,rpm,bit_flip_high,detection,0.0099,True
68a6c785cd1c,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0096,True
c2b61431d4e9,spielberg_FP1,speed,null_value,detection,0.0058,True
1cbdd01ee8a8,spielberg_FP1,g_force_lateral,null_value,detection,0.01,True
043bf63677d9,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0104,True
3245974ed314,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0094,True
8a79127ad10c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0119,True
9266dcdd1f69,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0076,True
479b44567a86,spielberg_FP1,brake_temp,null_value,detection,0.0063,True
3262658a0a57,spielberg_FP1,throttle,sensor_dropout,detection,0.0062,True
693f5b0a5782,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0061,True
4f14891fd433,spielberg_FP1,rpm,bit_flip_high,detection,0.0104,True
6b7ff7038ba8,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0068,True
488e0a7895b1,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0116,True
5589286e06f9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0075,True
57ccd45acc15,spielberg_FP1,speed,bit_flip_high,detection,0.0103,True
4bd3ac97a96a,spielberg_FP1,aero_load,bit_flip_high,detection,0.0108,True
164152ec9b75,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0095,True
bcf133d2b402,spielberg_FP1,speed,duplicate_timestamp,detection,0.0071,True
dad0bcccd867,spielberg_FP1,speed,string_in_numeric,detection,0.0042,True
