packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
1d7be5799636,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0046,True
22d20601b1cb,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0071,True
ae660f6f2d0a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0098,True
6c67032d7cf8,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0111,True
0501bb474ecc,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0085,True
f679f8234f34,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0071,True
269e4f4c910b,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0107,True
9c9c1628d6a6,spielberg_FP1,engine_temp,null_value,detection,0.0069,True
836b9a6e5fef,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.01,True
417927d38696,spielberg_FP1,aero_load,bit_flip_high,detection,0.0126,True
c5db8aedea5d,spielberg_FP1,engine_temp,null_value,detection,0.0102,True
4a155713e365,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0095,True
bc508678517d,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0106,True
337c8ad4c70e,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0112,True
4fb7732b70d0,spielberg_FP1,g_force_lateral,null_value,detection,0.0067,True
b6dd2c29f783,spielberg_FP1,rpm,bit_flip_high,detection,0.011,True
e03b21d9bd5e,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0081,True
755c52041a8a,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0072,True
25a62ee95405,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0105,True
a0c65b7523f1,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0072,True
9b7e8a2161ca,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.007,True
cc635e145f65,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0077,True
80655723fb4f,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0062,True
2c401ff51ea7,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0039,True
a8f7ca37b9f1,spielberg_FP1,speed,bit_flip_low,detection,0.0103,True
bc4d426a7c93,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0049,True
a58b4ea25898,spielberg_FP1,engine_temp,bit_flip_low,detection,0.01,True
908549366991,spielberg_FP1,rpm,bit_flip_high,detection,0.0184,True
44c7aecdd18b,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0119,True
3d520a783cdf,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0099,True
c78556d03801,spielberg_FP1,speed,bit_flip_high,detection,0.0102,True
c07c4e855962,spielberg_FP1,rpm,bit_flip_low,detection,0.0132,True
3639d7992d81,spielberg_FP1,throttle,null_value,detection,0.0073,True
55235f4a92bd,spielberg_FP1,aero_load_new,schema_drift,detection,0.0104,True
d1ba4e86ac1d,spielberg_FP1,tyre_pressure,null_value,detection,0.0075,True
5183727b458e,spielberg_FP1,rpm,string_in_numeric,detection,0.0052,True
a16600f45700,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0108,True
9c69d5b87898,spielberg_FP1,aero_load,bit_flip_low,detection,0.0124,True
819b07295c27,spielberg_FP1,throttle,bit_flip_high,detection,0.0122,True
7334266effc2,spielberg_FP1,brake_temp,bit_flip_high,detection,0.012,True
ebd4a579bb80,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0123,True
77ccba661b7e,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0115,True
c2894c650a64,spielberg_FP1,throttle,string_in_numeric,detection,0.0042,True
2b696007b72c,spielberg_FP1,throttle,bit_flip_low,detection,0.01,True
663899d9bd40,spielberg_FP1,aero_load,null_value,detection,0.0067,True
cb42f9761e6b,spielberg_FP1,throttle,bit_flip_low,detection,0.0103,True
ae4e5a8b332e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0076,True
cd0e3bf2594c,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0131,True
6ccd38d38ec5,spielberg_FP1,speed,string_in_numeric,detection,0.0065,True
4d84b55140eb,spielberg_FP1,ecu_canbus,null_value,detection,0.0072,True
e2d1a54764d6,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0103,True
7adaa66c1659,spielberg_FP1,speed,bit_flip_high,detection,0.0102,True
f6845d11dee2,spielberg_FP1,rpm,sensor_dropout,detection,0.0064,True
c6746b24f4ee,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0041,True
cd46e6124e93,spielberg_FP1,g_force_lateral,null_value,detection,0.0061,True
9da52dafada4,spielberg_FP1,speed,sensor_dropout,detection,0.0066,True
7fa32134c663,spielberg_FP1,aero_load,bit_flip_low,detection,0.01,True
adaf326f4f7d,spielberg_FP1,rpm,sensor_dropout,detection,0.0061,True
2e41c25b8123,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0079,True
fb82bfab166f,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0066,True
3746e8f087d3,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0082,True
9f8863ad3cfe,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0076,True
089810b27587,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0084,True
eff18ce5746e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0073,True
acadbf709ed8,spielberg_FP1,g_force_lateral,null_value,detection,0.0062,True
d1520a8f9618,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0066,True
1ebc59db1d27,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0073,True
3e0fad950851,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0061,True
12708c3302c5,spielberg_FP1,aero_load,bit_flip_high,detection,0.0099,True
156a4a7ab62e,spielberg_FP1,heart_rate,sensor_dropout,detection,0.006,True
3f80b2918289,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0081,True
9cdd42c9a266,spielberg_FP1,throttle,bit_flip_high,detection,0.0108,True
2177656a6f4a,spielberg_FP1,rpm,bit_flip_high,detection,0.0103,True
b5c3e05076b2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0074,True
7ae3821fa3f8,spielberg_FP1,speed,string_in_numeric,detection,0.004,True
