packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e533fd04f234,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0017,True
d044d5523841,spielberg_FP1,engine_temp,null_value,detection,0.0026,True
9dead7aafbf2,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
bcd3b0ea09b8,spielberg_FP1,tyre_pressure,null_value,detection,0.0019,True
42a77da11a83,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0016,True
32997547d153,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0023,False
895e3243ee5a,spielberg_FP1,throttle,sensor_dropout,detection,0.0013,True
a52a705b04b7,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0016,True
883499f3ce58,spielberg_FP1,rpm,bit_flip_low,detection,0.0101,True
0ccb4efda3e4,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0022,False
6d3b3e252cf8,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0048,True
ccc09aa47586,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0046,True
59ce2ee59ce3,spielberg_FP1,engine_temp,null_value,detection,0.0013,True
a582843d2781,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0047,True
d2ec35b2ec42,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0048,True
cb4cc78bc02b,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0046,True
3393ee9776a7,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0043,True
97804a9a7d82,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0039,True
f8e629710219,spielberg_FP1,rpm,bit_flip_low,detection,0.0045,True
7cb06134c3b7,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0021,False
e30b8db2b34d,spielberg_FP1,speed_canbus,schema_drift,detection,0.0027,False
a32f7d4ec3f1,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0015,True
fb03bac7bd35,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0013,True
c147acd96f13,spielberg_FP1,heart_rate,null_value,detection,0.0014,True
553d90d91813,spielberg_FP1,rpm,string_in_numeric,detection,0.0024,True
5d77ca2c3a08,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0023,False
5182a07b0862,spielberg_FP1,throttle,sensor_dropout,detection,0.0014,True
28a2b6d99489,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0029,False
a88346fc4c52,spielberg_FP1,tyre_pressure,null_value,detection,0.0014,True
f9a1f1687c45,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0013,True
566c0da1d798,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0047,True
7d27cda31874,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0024,False
934b6ed5953b,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0053,True
d68d3bd04218,spielberg_FP1,aero_load,bit_flip_high,detection,0.0046,True
3baf58063d4d,spielberg_FP1,engine_temp,null_value,detection,0.0015,True
1dd913817bef,spielberg_FP1,speed,string_in_numeric,detection,0.0016,True
a615136fa31e,spielberg_FP1,rpm,null_value,detection,0.0015,True
f4fc9d6d0627,spielberg_FP1,rpm,bit_flip_low,detection,0.006,True
69ce7ab2a411,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0047,True
72c5cd083f35,spielberg_FP1,throttle,bit_flip_high,detection,0.0052,True
b42eb86a2c98,spielberg_FP1,engine_temp,null_value,detection,0.0017,True
9dc1fa0f429f,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0024,False
7fb7ea803b65,spielberg_FP1,rpm,sensor_dropout,detection,0.0013,True
72fa67c789a9,spielberg_FP1,throttle,sensor_dropout,detection,0.0013,True
00c621349b7d,spielberg_FP1,speed,null_value,detection,0.0013,True
ee0a7edbaf64,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0016,True
2c208beec63a,spielberg_FP1,ecu_canbus,null_value,detection,0.001,True
d905ba0dad57,spielberg_FP1,aero_load,sensor_dropout,detection,0.0013,True
8d4eb0297f97,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0087,True
d57729a06b60,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
69f4ff85b3af,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0021,True
14c75f3a093c,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0073,True
47a22e9b965a,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0045,True
73540f5cfb2d,spielberg_FP1,throttle,sensor_dropout,detection,0.0012,True
2ba21451b858,spielberg_FP1,speed,bit_flip_low,detection,0.0063,True
ae3130a1f816,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0024,False
e464d53c6a1e,spielberg_FP1,throttle_raw,schema_drift,detection,0.0027,False
0087ffc1819a,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0048,True
61ac45e7d4cd,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0014,True
e37a08897cea,spielberg_FP1,throttle,null_value,detection,0.0014,True
e9ea085a55ad,spielberg_FP1,speed,bit_flip_high,detection,0.0051,True
f4e096d6141a,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0044,True
14ebd0f08cee,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0016,True
82228471ce3b,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0046,True
efe84ff53fc5,spielberg_FP1,throttle,string_in_numeric,detection,0.0016,True
f66a59d5b6ba,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0029,False
49f940e2cb9b,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0023,False
5be0d9d47461,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0016,True
87e00a4fa69e,spielberg_FP1,throttle,sensor_dropout,detection,0.0014,True
b5592277839a,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0014,True
ed1899b8e401,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0023,False
ec62306c240b,spielberg_FP1,aero_load_new,schema_drift,detection,0.0025,False
1268b1b5af30,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0014,True
6670397513f1,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0028,False
312d6fd13a26,spielberg_FP1,rpm,bit_flip_low,detection,0.0061,True
f9bb8526ea75,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0021,True
f71117aceffc,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0017,True
922f6337cfd4,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0048,True
2c6e5c539af7,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0044,True
04ccde54eb7e,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0012,True
39931ba50f68,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0018,False
69558b91653b,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0019,True
cde23cd8c8cf,spielberg_FP1,aero_load,bit_flip_low,detection,0.005,True
3027fdc3e37f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.002,False
f03ee7714f30,spielberg_FP1,speed,null_value,detection,0.0015,True
26ed8b9bc8da,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0049,True
51709f4d5a41,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0023,False
7a901c1b4f6e,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0041,True
b9ef57918007,spielberg_FP1,engine_temp,null_value,detection,0.0013,True
d5fbc285fde9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0026,False
772131870470,spielberg_FP1,speed,duplicate_timestamp,detection,0.0024,False
113850163e81,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0013,True
08317c5142b4,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0027,False
41b5fde77d25,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0024,False
a2c8a2ad9e0c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0022,False
6981fc394d8a,spielberg_FP1,speed,bit_flip_high,detection,0.0052,True
f4a3391a92c3,spielberg_FP1,speed,null_value,detection,0.0015,True
4cb009281010,spielberg_FP1,speed_alt,schema_drift,detection,0.0025,False
0781f67a65f7,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0023,False
fb906052e5e7,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0023,False
65010080a445,spielberg_FP1,throttle,string_in_numeric,detection,0.0017,True
dcb2bdcf6f9f,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0013,True
9f9d845514b5,spielberg_FP1,tyre_pressure,null_value,detection,0.0013,True
4ea811fb763d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.002,False
fbee63586329,spielberg_FP1,aero_load,bit_flip_high,detection,0.0051,True
a3a9cb1bc693,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0022,False
1c8e3203cbd6,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0046,True
2baca9c430e5,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0012,True
628853413109,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.002,False
d220e248c4f4,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0016,True
1cea49284b31,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0053,True
3f55e52147d8,spielberg_FP1,ecu_canbus,null_value,detection,0.0014,True
3380d6dcfeb5,spielberg_FP1,ecu_canbus,null_value,detection,0.0011,True
8563c0574317,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0046,True
828c546c1a89,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0022,False
270b3f4a4ed5,spielberg_FP1,throttle,string_in_numeric,detection,0.0018,True
9bc5f408dc1a,spielberg_FP1,aero_load,bit_flip_high,detection,0.0048,True
7e80afe3690f,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0016,True
b08de562104f,spielberg_FP1,throttle,null_value,detection,0.0013,True
094a1d14868b,spielberg_FP1,speed,null_value,detection,0.0013,True
a050609c7f0c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0018,True
376b12e007af,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0018,False
69a04de36f00,spielberg_FP1,speed,null_value,detection,0.0015,True
09c835bdc425,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0056,True
896fe0d890c4,spielberg_FP1,speed,bit_flip_low,detection,0.0046,True
a84a8a10f07d,spielberg_FP1,throttle,null_value,detection,0.0013,True
4c3d2e10ddb1,spielberg_FP1,speed,sensor_dropout,detection,0.0013,True
4516af1e7772,spielberg_FP1,speed,null_value,detection,0.0013,True
2db43a3a44d1,spielberg_FP1,aero_load,null_value,detection,0.0013,True
0308dbbe4d57,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0012,True
0b72e3477ffe,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0021,False
91a33e2adb13,spielberg_FP1,aero_load,sensor_dropout,detection,0.0013,True
6613b3bea97a,spielberg_FP1,aero_load,bit_flip_low,detection,0.0068,True
ece8403a15e1,spielberg_FP1,speed,duplicate_timestamp,detection,0.0024,False
a6930f49ad13,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0019,True
73e0ae6e5b99,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0015,True
7f89c6409964,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0014,True
5e88e3d79574,spielberg_FP1,engine_temp,null_value,detection,0.0012,True
bb08761038b6,spielberg_FP1,brake_temp,null_value,detection,0.0013,True
e4c28996ab63,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0012,True
f5da53698e0f,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0012,True
6e127009b717,spielberg_FP1,aero_load,bit_flip_low,detection,0.0051,True
eb8ccff6b058,spielberg_FP1,aero_load,string_in_numeric,detection,0.0016,True
6ee547c87d71,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0014,True
a0d31c148656,spielberg_FP1,throttle,null_value,detection,0.0014,True
34f2081a870a,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0025,False
10b1684737b1,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0046,True
347f16ca7ea6,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0042,True
cfe74342b272,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0024,False
b6a453a7ba6d,spielberg_FP1,throttle,bit_flip_low,detection,0.0051,True
64347750e16f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0021,False
abb7d647559d,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0014,True
3f6fb361e5c0,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.002,False
ffdca7224699,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0049,True
0b45aebd79aa,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0025,False
b067ae3c0fb8,spielberg_FP1,ecu_canbus,null_value,detection,0.0013,True
ae6e2818f407,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0024,False
4d39eda2345c,spielberg_FP1,aero_load_new,schema_drift,detection,0.0023,False
c97fbb57d074,spielberg_FP1,heart_rate,null_value,detection,0.0013,True
d6167950d14d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0015,True
6c4be23d8407,spielberg_FP1,rpm,sensor_dropout,detection,0.002,True
068cb70b9c0b,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0025,False
