packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2a4f1f4e8b24,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0087,True
9145f1d40590,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0047,True
c0cf60fdf97d,spielberg_FP1,rpm,null_value,detection,0.0012,True
b08e5eb93ef9,spielberg_FP1,throttle,string_in_numeric,detection,0.0014,True
97f619c42bc9,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0043,True
011a2cfda756,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0039,True
4691fc75bf24,spielberg_FP1,brake_temp,bit_flip_high,detection,0.004,True
2649050595a1,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0015,True
c40cac19bd39,spielberg_FP1,ecu_canbus,null_value,detection,0.0013,True
bdb90329a55e,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0016,True
4f027891a319,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.002,False
f0ae37a62d06,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0023,False
878584b78bb4,spielberg_FP1,throttle,bit_flip_high,detection,0.0044,True
9ab1b27bf264,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0015,True
4df1615957ad,spielberg_FP1,ecu_canbus,null_value,detection,0.0012,True
5945bf2b16c0,spielberg_FP1,heart_rate,null_value,detection,0.0012,True
f6b537bfaae6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0013,True
4376f14b7622,spielberg_FP1,speed,string_in_numeric,detection,0.0013,True
1ca1ac3cb60d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0015,True
e5b0aa284429,spielberg_FP1,aero_load,sensor_dropout,detection,0.0012,True
051af13d15e0,spielberg_FP1,ecu_canbus,null_value,detection,0.001,True
6ecb5dcd8236,spielberg_FP1,rpm_raw,schema_drift,detection,0.0023,False
7f7940663562,spielberg_FP1,throttle,bit_flip_low,detection,0.0045,True
9b89d51f3eb1,spielberg_FP1,rpm,null_value,detection,0.0013,True
a16b717a852d,spielberg_FP1,speed,bit_flip_low,detection,0.0046,True
2d628f540e4d,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0018,False
dc2fb225a36c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0019,False
462bd6cefa90,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0014,True
aa9fc39810e3,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0013,True
6c51d6c36f96,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0021,False
47d375888007,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0025,False
2f028d5de40b,spielberg_FP1,rpm,null_value,detection,0.0013,True
37caaa6cae9a,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0018,False
5d7b512acf27,spielberg_FP1,speed,sensor_dropout,detection,0.0012,True
0894074d54db,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0012,True
55cc80817df8,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0021,False
e93c30eedc46,spielberg_FP1,speed,null_value,detection,0.0013,True
1d4a970d415f,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0043,True
35ff10d3d99c,spielberg_FP1,rpm,sensor_dropout,detection,0.0013,True
c9a3de929bce,spielberg_FP1,throttle,string_in_numeric,detection,0.0014,True
1906ccee58ac,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0014,True
e62b36c7bba6,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0022,False
b463b0571a40,spielberg_FP1,speed,bit_flip_high,detection,0.0053,True
7f01878f1179,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.004,True
58d78eb4fc20,spielberg_FP1,engine_temp,bit_flip_high,detection,0.004,True
db5b6965422a,spielberg_FP1,speed,sensor_dropout,detection,0.0012,True
af91cd43724b,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0017,False
413392be4d7f,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0013,True
b202eca93cf3,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0023,False
69bc71f58efb,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.002,False
7209f90fd5a3,spielberg_FP1,tyre_pressure,null_value,detection,0.0013,True
ef587dc7f584,spielberg_FP1,speed,sensor_dropout,detection,0.0012,True
0692b2ad930f,spielberg_FP1,heart_rate,null_value,detection,0.0012,True
4543a3fb9f12,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0046,True
500ac930a6e3,spielberg_FP1,speed,bit_flip_low,detection,0.0112,True
f200447c0bb1,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0047,False
061994367704,spielberg_FP1,throttle,bit_flip_low,detection,0.0088,True
310ab6000e1e,spielberg_FP1,throttle,bit_flip_low,detection,0.0103,True
a37959729e86,spielberg_FP1,speed_raw,schema_drift,detection,0.0022,False
d6bd465d7474,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0013,True
50975e8973e7,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0016,True
04bc091cb9f0,spielberg_FP1,speed,sensor_dropout,detection,0.0012,True
b6374b6bfb54,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0042,True
0423be9b912b,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0011,True
74d23bed3d52,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0021,False
f9bafce9c898,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0016,False
d76f0e176f53,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0018,False
485c23533ee2,spielberg_FP1,aero_load,bit_flip_high,detection,0.0045,True
9fd81a1473df,spielberg_FP1,speed,string_in_numeric,detection,0.0013,True
2b4c674a750b,spielberg_FP1,engine_temp,null_value,detection,0.0011,True
96671ca1178a,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0039,True
584b92d14639,spielberg_FP1,throttle,sensor_dropout,detection,0.0012,True
652a2086e9a4,spielberg_FP1,throttle,string_in_numeric,detection,0.0013,True
7957b1d22a54,spielberg_FP1,brake_temp,bit_flip_high,detection,0.004,True
fa63f72158b2,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0023,False
53f2b263f6bf,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0017,False
96a0c23e088f,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0021,False
4faa2717e982,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0017,False
143b95b0a1d3,spielberg_FP1,speed,bit_flip_high,detection,0.0045,True
7d98c93b0274,spielberg_FP1,rpm,sensor_dropout,detection,0.0015,True
b2e308250919,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0019,False
93baa5fe6c5f,spielberg_FP1,speed,string_in_numeric,detection,0.0017,True
381bffc78a28,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0026,False
7648b050a1b3,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0019,False
ce68f56f1c5e,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0045,True
53da849d01fb,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0017,False
a7297c730cf0,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.004,False
f9e6e32afc0a,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0012,True
4cd154883e4f,spielberg_FP1,engine_temp,null_value,detection,0.0012,True
a4be4bcf2c67,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0015,False
6565d382bbc3,spielberg_FP1,rpm,null_value,detection,0.0012,True
86bac8eaf61b,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0012,True
00f8642a32be,spielberg_FP1,aero_load,null_value,detection,0.001,True
44b1009ce427,spielberg_FP1,engine_temp,null_value,detection,0.0014,True
2aa233b9dcf3,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0018,False
35de0f5a00c6,spielberg_FP1,rpm,bit_flip_low,detection,0.0048,True
36e389e67486,spielberg_FP1,g_force_lateral,null_value,detection,0.0013,True
5929e716802b,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0041,True
33b10a981446,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0018,False
52a948e3f64a,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0016,False
a61ddb404fe9,spielberg_FP1,throttle,bit_flip_low,detection,0.0044,True
38b81e0ff0d6,spielberg_FP1,aero_load,sensor_dropout,detection,0.001,True
6c0cb2700b13,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0037,True
4af802cc3cd2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0014,False
4e031d93fd82,spielberg_FP1,aero_load,bit_flip_high,detection,0.0041,True
db7f5a3f302d,spielberg_FP1,brake_temp,null_value,detection,0.0011,True
3f42dfced443,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0017,False
133db47db8f1,spielberg_FP1,rpm,bit_flip_high,detection,0.0046,True
e8a2e2f88186,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0018,False
5cc6f8e3d93f,spielberg_FP1,tyre_pressure,null_value,detection,0.0012,True
2ea55b0df0e0,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0025,False
25195f49a7d4,spielberg_FP1,throttle,null_value,detection,0.0012,True
571008ff536f,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.002,False
a748cc90af67,spielberg_FP1,aero_load_new,schema_drift,detection,0.0019,False
df0214713f6d,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0044,True
730eca175617,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0021,False
c4b436397f16,spielberg_FP1,speed,bit_flip_high,detection,0.0048,True
afe8d8a31cf5,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0012,True
f561a16fefc8,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0043,False
a9bd85ad4d9a,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0038,False
d0691f133509,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.003,True
80793e0f38b7,spielberg_FP1,speed,null_value,detection,0.0031,True
5a7754adb602,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0051,True
a08bd9e7e207,spielberg_FP1,ecu_canbus,null_value,detection,0.0012,True
279dfd4ce07d,spielberg_FP1,rpm,bit_flip_low,detection,0.005,True
3a52ca78de98,spielberg_FP1,throttle,string_in_numeric,detection,0.0013,True
6bd18ededb62,spielberg_FP1,rpm,bit_flip_low,detection,0.0042,True
37d2f83e55e5,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0013,True
ab0a9967b9fe,spielberg_FP1,throttle,sensor_dropout,detection,0.0011,True
9535392d43a9,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0017,False
52b78bfd4f69,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0016,False
30f8533277ed,spielberg_FP1,speed,bit_flip_low,detection,0.0045,True
931fe9cb0aac,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0018,False
