packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e121968ca717,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0203,True
0f937009966e,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0117,True
b490d97683bb,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0097,True
d76de209e8fa,spielberg_FP1,tyre_pressure,null_value,detection,0.0079,True
74982549fd8c,spielberg_FP1,throttle_v2,schema_drift,detection,0.0097,True
5574305fa6af,spielberg_FP1,rpm,bit_flip_high,detection,0.0132,True
b944b369a857,spielberg_FP1,speed,sensor_dropout,detection,0.0075,True
e38a16bed14f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0077,True
2806e14b50ee,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0069,True
a134e47cde38,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0069,True
eaa0a6136da9,spielberg_FP1,aero_load,bit_flip_low,detection,0.0123,True
4cbe026fe427,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0094,True
7faf819504b6,spielberg_FP1,speed_alt,schema_drift,detection,0.0093,True
a862713d45bc,spielberg_FP1,aero_load,bit_flip_high,detection,0.0117,True
822d37fab53c,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0072,True
08b2ad5a90bc,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0078,True
fd1d7514f7de,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0088,True
112caeff7756,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0071,True
19812e809221,spielberg_FP1,brake_temp,null_value,detection,0.0069,True
7d9a3676c485,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0094,True
155c25a16ad0,spielberg_FP1,speed,null_value,detection,0.0072,True
c40da52ffd49,spielberg_FP1,rpm,bit_flip_high,detection,0.0119,True
99a57a6cc0aa,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0113,True
473a8c5ef85f,spielberg_FP1,aero_load,bit_flip_low,detection,0.0116,True
691bff49ef28,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0111,True
b713f9f3611b,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0072,True
1a84da621f1c,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0115,True
10e60ab19064,spielberg_FP1,rpm_raw,schema_drift,detection,0.0093,True
160ad0651214,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0078,True
c3172c5d277b,spielberg_FP1,rpm,bit_flip_high,detection,0.012,True
ffd05e9674f8,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0084,False
6a2e0991cbdc,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0088,True
23dc24639e14,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0117,True
039bb44b1a39,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0041,True
9b784c290463,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0114,True
d396926a3503,spielberg_FP1,ecu_canbus,null_value,detection,0.0069,True
96a7ecb06b0c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0043,True
017d74baf730,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0072,True
6782412671d1,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0086,True
1e045c229ad2,spielberg_FP1,throttle,null_value,detection,0.0072,True
e03be1fe6295,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0111,True
44a63ac46194,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0044,True
9b4cdd68ba98,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0098,True
3e0448096775,spielberg_FP1,speed,string_in_numeric,detection,0.0041,True
4ad4442793df,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0114,True
46320241c443,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0118,True
c691a45577d8,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0078,True
3737bb9ec032,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0077,True
4061056aab57,spielberg_FP1,rpm,bit_flip_low,detection,0.0149,True
013c7a488774,spielberg_FP1,speed,bit_flip_low,detection,0.0112,True
20992d2809f5,spielberg_FP1,rpm,bit_flip_high,detection,0.0119,True
8950e1ac004d,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0092,True
77e1a6d27634,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0111,True
f934372b38a3,spielberg_FP1,engine_temp,null_value,detection,0.007,True
d9ef87665e1a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0079,True
c03045a2dcba,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0114,True
0b2bb7973ba9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0116,True
