packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
05b10df49811,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.007,True
322bfc85d3bd,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0058,True
2baeffce9807,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0096,True
e8130ced295c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.006,True
59eecf9b5854,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0069,True
80e8e103005d,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0086,True
74edb59f4da4,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0083,True
49db925cb25e,spielberg_FP1,ecu_canbus,null_value,detection,0.0049,True
269a0a650c54,spielberg_FP1,speed,bit_flip_low,detection,0.0084,True
56319516b946,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0031,True
bacc6753ca48,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0111,True
e3234f7e688d,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0096,True
507a6645b892,spielberg_FP1,throttle,bit_flip_high,detection,0.0088,True
268687ae6960,spielberg_FP1,speed,null_value,detection,0.0059,True
200912cb2066,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0082,True
eb353dc67ced,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0093,True
12638598bd4b,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0051,True
9c32b58b8c88,spielberg_FP1,rpm,null_value,detection,0.0052,True
453fd57c3410,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0088,True
d65ad1931818,spielberg_FP1,engine_temp,null_value,detection,0.0048,True
673bd295f826,spielberg_FP1,aero_load,null_value,detection,0.0047,True
328b617fa3c2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0074,True
8c60bc641310,spielberg_FP1,aero_load,bit_flip_low,detection,0.0087,True
14760614a116,spielberg_FP1,throttle,null_value,detection,0.0055,True
4fd97ff48dc3,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0053,True
5ffcc98fb15a,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0091,True
b5896edcbdf1,spielberg_FP1,tyre_pressure,null_value,detection,0.005,True
6912abcd3cde,spielberg_FP1,rpm,sensor_dropout,detection,0.0058,True
10082ddde1e3,spielberg_FP1,heart_rate,null_value,detection,0.0056,True
7e862513c3fe,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0068,True
7308ba7099fc,spielberg_FP1,speed,null_value,detection,0.0052,True
88a26ca1ea28,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0053,True
ac85f666b9ed,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0091,True
40c1fc351406,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0034,True
ea5c90189343,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.006,True
d921987180c1,spielberg_FP1,speed,bit_flip_high,detection,0.0095,True
36b4a798dd16,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0038,True
273facf55c58,spielberg_FP1,speed_new,schema_drift,detection,0.0071,True
2420debc8060,spielberg_FP1,rpm,null_value,detection,0.0053,True
8feb6ffe9ad3,spielberg_FP1,aero_load,null_value,detection,0.0066,True
ac5526e00e0f,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0058,True
7e4116a70c02,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0091,True
411840134a58,spielberg_FP1,tyre_pressure,null_value,detection,0.0054,True
dbf1ebf4fc45,spielberg_FP1,g_force_lateral,null_value,detection,0.0083,True
90610858287b,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0086,True
8ba0758bc295,spielberg_FP1,speed,duplicate_timestamp,detection,0.0057,True
9af96429caf8,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0063,True
880242cf65d4,spielberg_FP1,rpm,sensor_dropout,detection,0.0056,True
49bb6be017de,spielberg_FP1,throttle,bit_flip_low,detection,0.0087,True
051f609b43dd,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0069,True
142f1c4586d1,spielberg_FP1,aero_load,bit_flip_low,detection,0.0084,True
ff5fe043fa56,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0074,True
38438b1e0341,spielberg_FP1,rpm,bit_flip_low,detection,0.0086,True
1d9fb6251dad,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0063,True
