packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
786a79951dd3,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.004,True
3ef8e444b378,spielberg_FP1,speed_new,schema_drift,detection,0.0073,True
53aa7fb52052,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0067,True
4cf4668b87e4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0063,True
5315698b37e1,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0064,True
2f490111944f,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0062,True
71e135ad7486,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
b3a3c6842c09,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0066,True
bd1183b21bc8,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0066,True
fb8a66a83f01,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0036,True
83bae8ee9bb7,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0072,True
671ae1daf9e1,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0064,True
d22e14966ae0,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0061,True
12f4d5c2fe3b,spielberg_FP2,rpm,string_in_numeric,detection,0.0035,True
ad2891b1c309,spielberg_FP2,aero_load,string_in_numeric,detection,0.0038,True
12e4a64aa4ce,spielberg_FP2,rpm_canbus,schema_drift,detection,0.0073,True
52e0857d4d92,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0058,True
89621cd69d88,spielberg_FP2,engine_temp,duplicate_timestamp,detection,0.0056,True
53434d8c8824,spielberg_FP2,throttle,string_in_numeric,detection,0.0035,True
c0993626017c,spielberg_FP2,aero_load,duplicate_timestamp,detection,0.0059,True
1a45fbc3ee61,spielberg_FP2,engine_temp_new,schema_drift,detection,0.0088,True
992f652eb843,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0061,True
d7b8ccf11e6e,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0063,True
b8bd54145f2d,spielberg_FP2,g_force_lateral_v2,schema_drift,detection,0.0065,True
2a32ff16f745,spielberg_FP3,aero_load,duplicate_timestamp,detection,0.0065,True
5af8ec993733,spielberg_FP3,speed_new,schema_drift,detection,0.0074,True
2a507592d831,spielberg_FP3,speed,duplicate_timestamp,detection,0.0062,True
cab951d97366,spielberg_FP3,aero_load,string_in_numeric,detection,0.0042,True
dc76b2f12ab6,spielberg_FP3,engine_temp,duplicate_timestamp,detection,0.0062,True
5c4f53a709d1,spielberg_FP3,rpm_canbus,schema_drift,detection,0.0075,True
d1a5d0719abf,spielberg_FP3,rpm,duplicate_timestamp,detection,0.0059,True
08e089b832d2,spielberg_FP3,brake_temp_new,schema_drift,detection,0.0069,True
d5ec944c23c5,spielberg_FP3,speed,duplicate_timestamp,detection,0.0062,True
ce1af054ff9e,spielberg_FP3,throttle,string_in_numeric,detection,0.0034,True
3d60b82c9d02,spielberg_FP3,ecu_canbus_raw,schema_drift,detection,0.0069,True
15fbf8af2207,spielberg_FP3,brake_temp_alt,schema_drift,detection,0.0066,True
599c2251c492,spielberg_QUALI,ecu_canbus,string_in_numeric,detection,0.0036,True
2a3df44511c1,spielberg_QUALI,brake_temp,duplicate_timestamp,detection,0.0062,True
204bd5a73473,spielberg_QUALI,brake_temp,string_in_numeric,detection,0.0036,True
f29191fb38cd,spielberg_QUALI,throttle_new,schema_drift,detection,0.0071,True
2a065721d839,spielberg_QUALI,speed,duplicate_timestamp,detection,0.0065,True
4977761528b6,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.0059,True
30b6384650c0,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.006,True
e5993fe43966,spielberg_QUALI,g_force_lateral_alt,schema_drift,detection,0.007,True
8b98abd45b44,spielberg_QUALI,ecu_canbus,string_in_numeric,detection,0.0035,True
9f1002fdbb2c,spielberg_RACE,tyre_pressure_new,schema_drift,detection,0.0067,True
c4cb2b3e917b,spielberg_RACE,heart_rate,duplicate_timestamp,detection,0.0062,True
c9b223900fd5,spielberg_RACE,brake_temp_new,schema_drift,detection,0.007,True
f423e3e36835,spielberg_RACE,ecu_canbus_raw,schema_drift,detection,0.0067,True
65635c3d4c4f,spielberg_RACE,aero_load_v2,schema_drift,detection,0.0093,True
174d5ae1b3f7,silverstone_FP1,speed,duplicate_timestamp,detection,0.0062,True
3dad06ab18e9,silverstone_FP1,tyre_pressure_alt,schema_drift,detection,0.0069,True
f1d6481ca809,silverstone_FP1,aero_load,duplicate_timestamp,detection,0.0062,True
68b2a6302f56,silverstone_FP1,throttle_raw,schema_drift,detection,0.0071,True
f81e5cd70e8a,silverstone_FP1,engine_temp_raw,schema_drift,detection,0.0067,True
cc413fd7b3d7,silverstone_FP1,g_force_lateral,string_in_numeric,detection,0.0043,True
f5f7eed87163,silverstone_FP1,g_force_lateral,duplicate_timestamp,detection,0.0062,True
6aa8f59a4714,silverstone_FP1,tyre_pressure_canbus,schema_drift,detection,0.0076,True
847a4a875895,silverstone_FP1,brake_temp,string_in_numeric,detection,0.0039,True
47eaee0b3740,silverstone_FP1,speed,string_in_numeric,detection,0.0035,True
b1033a2e9d8a,silverstone_FP1,brake_temp,duplicate_timestamp,detection,0.0072,True
11f67d117874,silverstone_FP1,speed,string_in_numeric,detection,0.0037,True
7be6724c75d1,silverstone_FP1,throttle,string_in_numeric,detection,0.0036,True
571833f8c01b,silverstone_FP1,engine_temp,duplicate_timestamp,detection,0.0096,True
880a2fe0bf04,silverstone_FP2,brake_temp,string_in_numeric,detection,0.0041,True
a270fd444082,silverstone_FP2,throttle,string_in_numeric,detection,0.0039,True
601bed581ee9,silverstone_FP2,brake_temp,string_in_numeric,detection,0.0039,True
53e91bf9fd1b,silverstone_FP2,aero_load_raw,schema_drift,detection,0.0066,True
57def8d9ea5f,silverstone_FP2,ecu_canbus_v2,schema_drift,detection,0.0061,True
b5baa4214927,silverstone_FP2,speed,duplicate_timestamp,detection,0.0058,True
73e041eaf2e2,silverstone_FP2,brake_temp,string_in_numeric,detection,0.0037,True
65ddb57e0a74,silverstone_FP2,speed,duplicate_timestamp,detection,0.0059,True
a800bd7a5a78,silverstone_FP2,ecu_canbus_raw,schema_drift,detection,0.007,True
36d638b7efde,silverstone_FP3,heart_rate,string_in_numeric,detection,0.0037,True
781cf17dd616,silverstone_FP3,aero_load,duplicate_timestamp,detection,0.0058,True
8907f674a590,silverstone_FP3,g_force_lateral,duplicate_timestamp,detection,0.0059,True
75ec2958d79f,silverstone_FP3,throttle,duplicate_timestamp,detection,0.0061,True
0c67932086f4,silverstone_FP3,brake_temp,duplicate_timestamp,detection,0.0061,True
bf2752757721,silverstone_FP3,speed,string_in_numeric,detection,0.0035,True
07957bf84b26,silverstone_FP3,throttle_v2,schema_drift,detection,0.0071,True
7088a2958d04,silverstone_FP3,speed,duplicate_timestamp,detection,0.0067,True
ac829a4a7ad5,silverstone_FP3,engine_temp_v2,schema_drift,detection,0.0071,True
52c4a660e74f,silverstone_FP3,ecu_canbus_alt,schema_drift,detection,0.0069,True
9b029c8babb4,silverstone_FP3,brake_temp_alt,schema_drift,detection,0.0081,True
