packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
06f5a1e4dac2,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.004,True
100f6c1c0fe1,spielberg_FP2,brake_temp_v2,schema_drift,detection,0.0075,True
c661b7a0a53a,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0038,True
ff364639d593,spielberg_FP3,speed,string_in_numeric,detection,0.0037,True
1cef83850630,spielberg_FP3,tyre_pressure,string_in_numeric,detection,0.0042,True
7bc9c0076e27,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.0066,True
a02c32bb2e6b,spielberg_QUALI,engine_temp,duplicate_timestamp,detection,0.0062,True
c7437949dbc7,spielberg_QUALI,brake_temp,string_in_numeric,detection,0.0038,True
76bde648720a,spielberg_QUALI,engine_temp,duplicate_timestamp,detection,0.0061,True
7f6dce5e73c6,spielberg_RACE,throttle_new,schema_drift,detection,0.0073,True
fec2c479bce8,spielberg_RACE,aero_load,duplicate_timestamp,detection,0.0062,True
8391b264cf0d,spielberg_RACE,g_force_lateral_raw,schema_drift,detection,0.0072,True
f34a381464ec,spielberg_RACE,tyre_pressure,string_in_numeric,detection,0.0042,True
1b125a143d1e,spielberg_RACE,speed,duplicate_timestamp,detection,0.0099,True
f683fd43a30b,silverstone_FP1,speed,string_in_numeric,detection,0.0037,True
20e1c05f8fb2,silverstone_FP1,aero_load_raw,schema_drift,detection,0.0073,True
d10a3db167f8,silverstone_FP1,speed_canbus,schema_drift,detection,0.0073,True
43892e81297a,silverstone_FP2,tyre_pressure,string_in_numeric,detection,0.0038,True
5fc0ced149c1,silverstone_FP2,speed,duplicate_timestamp,detection,0.0062,True
a88c1a4d011a,silverstone_FP3,brake_temp,string_in_numeric,detection,0.011,True
474aec85ea61,silverstone_FP3,g_force_lateral_new,schema_drift,detection,0.0069,True
518cf40f2e71,silverstone_FP3,speed_new,schema_drift,detection,0.0072,True
51d043e7ccc3,silverstone_QUALI,heart_rate_alt,schema_drift,detection,0.0076,True
069480576c76,silverstone_QUALI,g_force_lateral,duplicate_timestamp,detection,0.0064,True
201f2b6652a5,silverstone_QUALI,speed,string_in_numeric,detection,0.0037,True
fdb59f3b03ee,silverstone_RACE,g_force_lateral,duplicate_timestamp,detection,0.0077,True
a22eb3a5fab0,budapest_FP1,engine_temp_canbus,schema_drift,detection,0.007,True
0b7a6da36ce0,budapest_FP1,heart_rate_alt,schema_drift,detection,0.0065,True
b41787318328,budapest_FP1,ecu_canbus_canbus,schema_drift,detection,0.0077,True
9ed2764f6fd0,budapest_FP1,brake_temp_v2,schema_drift,detection,0.0069,True
11008a047723,budapest_FP1,heart_rate_raw,schema_drift,detection,0.0073,True
0288eaa5cd18,budapest_FP2,throttle_new,schema_drift,detection,0.0398,True
aaac9884e39a,budapest_FP3,aero_load,string_in_numeric,detection,0.0045,True
cc1ee2edfe96,budapest_FP3,tyre_pressure,duplicate_timestamp,detection,0.0062,True
5a9f9774bb94,budapest_QUALI,g_force_lateral,string_in_numeric,detection,0.004,True
2954310fe943,budapest_RACE,ecu_canbus,duplicate_timestamp,detection,0.006,True
c661b7a0a53a,,,dlq_repair,repair,0.0209,False
a02c32bb2e6b,,,dlq_repair,repair,0.0932,True
c7437949dbc7,,,dlq_repair,repair,0.0143,False
76bde648720a,,,dlq_repair,repair,0.033,True
a88c1a4d011a,,,dlq_repair,repair,0.0131,False
2954310fe943,,,dlq_repair,repair,0.0314,True
06f5a1e4dac2,,,dlq_repair,repair,0.0089,False
ff364639d593,,,dlq_repair,repair,0.0082,False
1cef83850630,,,dlq_repair,repair,0.0069,False
7bc9c0076e27,,,dlq_repair,repair,0.0411,True
fec2c479bce8,,,dlq_repair,repair,0.024,True
f34a381464ec,,,dlq_repair,repair,0.0077,False
1b125a143d1e,,,dlq_repair,repair,0.0362,True
f683fd43a30b,,,dlq_repair,repair,0.0082,False
43892e81297a,,,dlq_repair,repair,0.0078,False
5fc0ced149c1,,,dlq_repair,repair,0.0233,True
069480576c76,,,dlq_repair,repair,0.0228,True
201f2b6652a5,,,dlq_repair,repair,0.0071,False
fdb59f3b03ee,,,dlq_repair,repair,0.0232,True
aaac9884e39a,,,dlq_repair,repair,0.0082,False
cc1ee2edfe96,,,dlq_repair,repair,0.0226,True
5a9f9774bb94,,,dlq_repair,repair,0.0081,False
