packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
1912fdcf70ae,spielberg_FP1,speed_v2,schema_drift,detection,0.0091,True
9d360edbd144,spielberg_FP1,throttle,bit_flip_low,detection,0.0116,True
3277167bc594,spielberg_FP1,brake_temp,null_value,detection,0.0094,True
a8edcebad118,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0109,True
dae6e090f8f1,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0177,True
0ed86e96efb5,spielberg_FP1,throttle_alt,schema_drift,detection,0.0083,True
01fc2deb9edd,spielberg_FP1,g_force_lateral,null_value,detection,0.0067,True
07ec4dcc4d7c,spielberg_FP1,aero_load,null_value,detection,0.0059,True
4ddde8a04239,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0092,True
2e3267512fe8,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0125,True
2052c18324c4,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0111,True
7b28dcb34c68,spielberg_FP1,brake_temp,null_value,detection,0.0061,True
e63057cd961d,spielberg_FP1,rpm,sensor_dropout,detection,0.0063,True
6b815b43a064,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0102,True
09bc98be3a7b,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0079,True
d494ff8d8a5d,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.006,True
549dc384995f,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0078,True
0c125978d133,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0071,True
c49014aacc4d,spielberg_FP1,throttle,string_in_numeric,detection,0.0046,True
e00b319bc286,spielberg_FP1,speed,duplicate_timestamp,detection,0.0075,True
354de208f449,spielberg_FP1,g_force_lateral,null_value,detection,0.0065,True
1dd5620b9516,spielberg_FP1,aero_load,null_value,detection,0.0141,True
c2b10ccfd746,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0104,True
2f386a15b122,spielberg_FP1,rpm,duplicate_timestamp,detection,0.007,True
ff2450cff3fc,spielberg_FP1,engine_temp,bit_flip_high,detection,0.01,True
3a570b7bf8f2,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0137,True
724acc403154,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.065,True
050bdffae314,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0061,True
379f5f858298,spielberg_FP1,throttle,null_value,detection,0.0063,True
551974605c33,spielberg_FP1,heart_rate,null_value,detection,0.0062,True
5bafbc8e40c3,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0063,True
caeb1b066532,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0093,True
11e3d22c42ca,spielberg_FP1,rpm,string_in_numeric,detection,0.0042,True
99adbfbfd4d2,spielberg_FP1,heart_rate_new,schema_drift,detection,0.008,True
5ff669aaf0cd,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0084,True
e34e86764794,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0091,True
df3d9b314263,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0105,True
23677a5571f2,spielberg_FP1,speed,duplicate_timestamp,detection,0.0074,True
9b7ad90e29ed,spielberg_FP1,rpm,string_in_numeric,detection,0.0042,True
807d19efb7f6,spielberg_FP1,aero_load,bit_flip_low,detection,0.0104,True
72480becde73,spielberg_FP1,rpm,null_value,detection,0.006,True
c282e68086a2,spielberg_FP1,brake_temp,null_value,detection,0.0066,True
70d7d9f99c23,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0058,True
6f5df273e473,spielberg_FP1,rpm,sensor_dropout,detection,0.0059,True
6823a7b324e5,spielberg_FP1,throttle,bit_flip_high,detection,0.0102,True
9641c244528b,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0043,True
81b074c2353d,spielberg_FP1,speed,bit_flip_high,detection,0.0116,True
1f05d8b41469,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0088,True
70dcd7b58f03,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0106,True
6cf73b6836e9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0099,True
bf78bcf589e0,spielberg_FP1,brake_temp,null_value,detection,0.0066,True
6c036b9bedb6,spielberg_FP1,throttle,string_in_numeric,detection,0.0045,True
57003595ffe4,spielberg_FP1,brake_temp,sensor_dropout,detection,0.007,True
d500e0122672,spielberg_FP1,speed,bit_flip_high,detection,0.0105,True
2c11ba8515d0,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.006,True
38ab73e021ff,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0052,True
ce9e0bbc2690,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0101,True
98b993d628e7,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0068,True
eb5b58c4eb1d,spielberg_FP1,speed,duplicate_timestamp,detection,0.0076,True
f1b65f8f6580,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0041,True
ed905f682680,spielberg_FP1,aero_load,bit_flip_low,detection,0.0105,True
47a9710663bf,spielberg_FP1,speed,sensor_dropout,detection,0.0066,True
40e6b28f1008,spielberg_FP1,speed,bit_flip_high,detection,0.0115,True
6540b21f1423,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0062,True
9b8730699882,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0043,True
584f25e318f6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.004,True
e6ebb1919d1b,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0089,True
14955690ffb2,spielberg_FP1,speed,string_in_numeric,detection,0.004,True
2fe28cd09a36,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0106,True
cab5193bcdd1,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0105,True
874d78e57f06,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0062,True
000717bc9e28,spielberg_FP1,throttle,string_in_numeric,detection,0.0043,True
784c01b1f54a,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0072,True
131219e8e053,spielberg_FP1,rpm_new,schema_drift,detection,0.0086,True
aa452e9cf6c8,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0076,True
620620a4e208,spielberg_FP1,speed_canbus,schema_drift,detection,0.0083,True
aee50a3a5ea0,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0041,True
194dfd21e4fb,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0077,True
206c1007d584,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0042,True
02c8f0cf0e3a,spielberg_FP1,aero_load,null_value,detection,0.0059,True
3c782cd4b35c,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0073,True
d327e9b13805,spielberg_FP1,aero_load,sensor_dropout,detection,0.0068,True
8563f52737af,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0112,True
5a4580b03611,spielberg_FP1,throttle,string_in_numeric,detection,0.0043,True
4e06fe1d4b13,spielberg_FP1,speed,string_in_numeric,detection,0.0044,True
0c3b585795af,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0061,True
6868f0551391,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0073,True
