packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
a986eb2c5b98,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0076,True
65df1aa05752,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0062,True
8d55e450f3d1,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0064,True
b0d0b9c384f9,spielberg_FP1,rpm,bit_flip_high,detection,0.0097,True
ace61015892b,spielberg_FP1,speed,duplicate_timestamp,detection,0.0055,True
16a93962940a,spielberg_FP1,rpm,string_in_numeric,detection,0.0033,True
e88971c03096,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0068,True
b58f29df5fc7,spielberg_FP1,throttle,bit_flip_low,detection,0.0097,True
1c19dc55e91d,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0093,True
7394b6e9f963,spielberg_FP1,throttle,null_value,detection,0.0054,True
fa4cc3a66361,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0039,True
31b2cf5779bb,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0062,True
92baaacf929a,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0087,True
bc308006cf04,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0067,True
9420d3562b78,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0086,True
c21e6a8955fe,spielberg_FP1,speed,bit_flip_low,detection,0.01,True
13837c8b9495,spielberg_FP1,rpm_v2,schema_drift,detection,0.008,True
16532e0e7f7f,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0067,True
86c207a0ab65,spielberg_FP1,throttle_v2,schema_drift,detection,0.007,True
0abdf5915e21,spielberg_FP1,speed,bit_flip_high,detection,0.0094,True
854437dca40b,spielberg_FP1,speed,string_in_numeric,detection,0.0032,True
45036a48eac5,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0068,True
55dabc5cc64c,spielberg_FP1,tyre_pressure,null_value,detection,0.0054,True
c0a9cf60323d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0035,True
6db941fa13fc,spielberg_FP1,heart_rate,null_value,detection,0.0052,True
ce2f8d562fad,spielberg_FP1,ecu_canbus,null_value,detection,0.0051,True
104df680bf1d,spielberg_FP1,brake_temp,bit_flip_high,detection,0.009,True
96021d282938,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.006,True
9651abc7c4bd,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0044,True
6c3fbd7764b6,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0101,True
fed946f794cd,spielberg_FP1,speed,bit_flip_high,detection,0.0096,True
c04d2f2751ca,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0057,True
d5a8f4a5fb45,spielberg_FP1,aero_load,bit_flip_high,detection,0.0087,True
507be9315c58,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0034,True
f87ac22694e6,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0067,True
ff8a5e669547,spielberg_FP1,aero_load,null_value,detection,0.0048,True
4b280e427ceb,spielberg_FP1,g_force_lateral,null_value,detection,0.0049,True
5688dbc5048d,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0061,True
6e9035a1280c,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0069,True
df2265ffb9ae,spielberg_FP1,speed,null_value,detection,0.005,True
df95e6a3707a,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0066,True
e3c5e86b8e14,spielberg_FP1,tyre_pressure,null_value,detection,0.0052,True
a249b5e9a382,spielberg_FP1,speed_v2,schema_drift,detection,0.0068,True
a0727491d256,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0059,True
18661b40241b,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0071,True
8958a4d9be4e,spielberg_FP1,heart_rate,bit_flip_high,detection,0.009,True
d4b8b61bf5b8,spielberg_FP1,aero_load,sensor_dropout,detection,0.0092,True
7ebdf80775f5,spielberg_FP1,aero_load,sensor_dropout,detection,0.0067,True
9a244f7c3a0f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0034,True
54f3ba46e943,spielberg_FP1,aero_load_new,schema_drift,detection,0.0065,True
3431e378b03b,spielberg_FP1,throttle,string_in_numeric,detection,0.0035,True
eca6566fb5eb,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0095,True
2cdc47434dcf,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0054,True
9902b05ae7fd,spielberg_FP1,aero_load,string_in_numeric,detection,0.0035,True
f2ecc4a895e6,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0071,True
80966f401097,spielberg_FP1,speed_alt,schema_drift,detection,0.0063,True
2db238ddacdf,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0067,True
128357036fd0,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0087,True
83cac664bb5d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0038,True
f09d4a6394aa,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0066,True
4a9040753690,spielberg_FP1,speed,string_in_numeric,detection,0.0034,True
f563a2381dc9,spielberg_FP1,aero_load,sensor_dropout,detection,0.0059,True
956a8f9daa8b,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0088,True
2a0c043368ce,spielberg_FP1,speed,sensor_dropout,detection,0.005,True
92bf11f8483a,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0034,True
6b8b703ecfbd,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0053,True
a7c390246320,spielberg_FP1,ecu_canbus,null_value,detection,0.0052,True
d07594bf8711,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0063,True
0fed6bb3700a,spielberg_FP1,throttle,null_value,detection,0.0053,True
6f8443242ce4,spielberg_FP1,throttle,string_in_numeric,detection,0.0034,True
7f79affa229a,spielberg_FP1,brake_temp,null_value,detection,0.0053,True
021ae43f5c19,spielberg_FP1,throttle,string_in_numeric,detection,0.0036,True
e80bf905a200,spielberg_FP1,throttle,bit_flip_high,detection,0.0088,True
c1340afdaddb,spielberg_FP1,aero_load,null_value,detection,0.0047,True
1d14b97902c8,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0086,True
0c58085dc048,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0069,True
809091124826,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0035,True
56b1ce8e5345,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.007,True
5b6c98322067,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0088,True
17d66db87c9d,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0059,True
0be7be31bac3,spielberg_FP1,speed_alt,schema_drift,detection,0.0067,True
795a57748b58,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0085,True
32a1287d4698,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0072,True
97def4a3f6fc,spielberg_FP1,rpm,sensor_dropout,detection,0.0051,True
fe57a75c4478,spielberg_FP1,speed,sensor_dropout,detection,0.0052,True
a129f957e3e9,spielberg_FP1,rpm,sensor_dropout,detection,0.0052,True
2170e6ceb82e,spielberg_FP1,aero_load,null_value,detection,0.0058,True
adb085f74d2a,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0094,True
0097632e1e78,spielberg_FP1,speed_alt,schema_drift,detection,0.0075,True
dc358353c2e2,spielberg_FP1,g_force_lateral,null_value,detection,0.0054,True
c38be58aa6b9,spielberg_FP1,rpm_raw,schema_drift,detection,0.0072,True
b7092f68422a,spielberg_FP1,brake_temp,null_value,detection,0.0054,True
f879d937ef44,spielberg_FP1,engine_temp,null_value,detection,0.0054,True
6bb45a91de99,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0033,True
b85751b8a521,spielberg_FP1,throttle,bit_flip_low,detection,0.0091,True
