packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
bc53a89aecee,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0064,True
0385baac0794,spielberg_FP1,aero_load_raw,schema_drift,detection,0.008,True
779658f1c478,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0039,True
609b0a782710,spielberg_FP1,speed,string_in_numeric,detection,0.0037,True
c7eb75ca2bb6,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0076,True
fa417c00a69e,spielberg_FP1,rpm_new,schema_drift,detection,0.0084,True
797f1188bfc8,spielberg_FP1,throttle_alt,schema_drift,detection,0.0072,True
0532b7a5454b,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0071,True
e066cc4c6efd,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0066,True
6cf5f66a8fda,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0058,True
be12ffb5eef9,spielberg_FP1,speed,duplicate_timestamp,detection,0.0058,True
8a04923dcad7,spielberg_FP1,speed,string_in_numeric,detection,0.0038,True
58fb98b09abf,spielberg_FP1,speed_v2,schema_drift,detection,0.0068,True
48e2bd9bca9d,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
af2385c1b85c,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0067,True
315bdf206cac,spielberg_FP1,speed_new,schema_drift,detection,0.0069,True
5feb5fdeb21f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0035,True
7358b0324d27,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0058,True
c9dfd5589b05,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0067,True
393fb4495ca6,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0067,True
a4bb6a8f5618,spielberg_FP1,throttle,duplicate_timestamp,detection,0.006,True
76d78e6ad44d,spielberg_FP1,speed_canbus,schema_drift,detection,0.0072,True
5a0d4f63ab3a,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0035,True
5b6c6d2491f3,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0035,True
be24a4b2d734,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0067,True
fa082e48c326,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0056,True
f2dbffde8b02,spielberg_FP1,aero_load,string_in_numeric,detection,0.0044,True
d7efa84e9beb,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0073,True
f724ebf3e98e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.004,True
71b3938830a0,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0034,True
18abc4f1f664,spielberg_FP1,rpm,string_in_numeric,detection,0.0034,True
cddcdc3ee482,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0066,True
91160a1cafff,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0036,True
3507ddfeaa28,spielberg_FP1,throttle,string_in_numeric,detection,0.0034,True
15e705e28a64,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0058,True
9ac0345b0f41,spielberg_FP1,aero_load_new,schema_drift,detection,0.007,True
4f5151ed4b83,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0057,True
91be9a8297dc,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0063,True
a803a88ca940,spielberg_FP1,throttle_raw,schema_drift,detection,0.007,True
039d3619a94e,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.006,True
59beb3bdfb83,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0074,True
c8027b806dfe,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0063,True
ff21cc94fe85,spielberg_FP1,aero_load_new,schema_drift,detection,0.0086,True
7114229b4826,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0036,True
c6c4b8f1c0be,spielberg_FP1,rpm,string_in_numeric,detection,0.0039,True
58e57a063602,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0063,True
1b6858b5a914,spielberg_FP1,throttle,string_in_numeric,detection,0.0037,True
df1087970b55,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0064,True
4e63a355c79e,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0103,True
c4534b4ab071,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0039,True
fcdc861c5694,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0055,True
4a66c510ab68,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0068,True
3a893d45cdda,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0058,True
24ce69c2aab5,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.006,True
2e680fb74843,spielberg_FP1,throttle,string_in_numeric,detection,0.0034,True
b062446b804e,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0066,True
05769717f5f7,spielberg_FP1,aero_load,string_in_numeric,detection,0.0035,True
faf7703a0c70,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0076,True
f9606fd24eac,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0036,True
123f94e39706,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0034,True
8bbc4adbf5f1,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.007,True
2f90648f0f6c,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0054,True
9807257cad38,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0061,True
4a0b4972061e,spielberg_FP1,throttle_v2,schema_drift,detection,0.0078,True
7edca7b61796,spielberg_FP1,speed_canbus,schema_drift,detection,0.0071,True
1c7297a4541f,spielberg_FP1,throttle_new,schema_drift,detection,0.0072,True
bcec79eb996e,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0067,True
5328ef08fba3,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0069,True
25659a1a65b5,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0037,True
5b817883942d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0035,True
60a165cd1561,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.007,True
6d2c7035ad28,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0064,True
b596d1778859,spielberg_FP1,speed_canbus,schema_drift,detection,0.0074,True
7f3fc07706e7,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0057,True
1d4878d76575,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0066,True
1e0d43175453,spielberg_FP1,rpm_alt,schema_drift,detection,0.0071,True
d3f1d327a2d8,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0061,True
27d2b3d34ae0,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0058,True
9e017d3cac1f,spielberg_FP1,throttle_raw,schema_drift,detection,0.0071,True
af6eab55df0a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.006,True
b892d5e3278a,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0064,True
f3548bacf18b,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0034,True
a89ff2d2effa,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0057,True
9e35881b2074,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0069,True
140b1ef61016,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0058,True
42d8451d7a01,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0035,True
fbeac46ebf38,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0033,True
8f6c275366af,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0059,True
8340d9793866,spielberg_FP1,throttle_alt,schema_drift,detection,0.0072,True
c520b49b966c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.006,True
f88841678dbd,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0036,True
f09f683c3392,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0036,True
da840362149f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0059,True
beda2b15b85f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0063,True
1e0dd33bc6b1,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0038,True
50a61c93dd90,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0066,True
3a5d6de7d646,spielberg_FP1,throttle_new,schema_drift,detection,0.0069,True
bd48b75318e8,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0035,True
895d87b33d3d,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0058,True
b0d40e5124da,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0058,True
a8a9c61c0909,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0058,True
7b273dceaed9,spielberg_FP1,throttle,string_in_numeric,detection,0.0038,True
f6dfda4ac9c2,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0069,True
b100fc6811ed,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0036,True
98c588bbcc9b,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0069,True
ec83fe59d917,spielberg_FP1,aero_load,string_in_numeric,detection,0.0033,True
04c0d13f38f5,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0072,True
aceffe00f262,spielberg_FP1,rpm_new,schema_drift,detection,0.007,True
0c5ccd4f6fb2,spielberg_FP1,speed,duplicate_timestamp,detection,0.0059,True
78011201e643,spielberg_FP1,rpm_v2,schema_drift,detection,0.0073,True
bb6626e5c683,spielberg_FP1,speed_v2,schema_drift,detection,0.0075,True
9b4db164b9b7,spielberg_FP1,speed_new,schema_drift,detection,0.0067,True
44c377b05dc0,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0058,True
2477ae03ea7c,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0079,True
dcdc760efb40,spielberg_FP1,speed,string_in_numeric,detection,0.0033,True
9552eff7011d,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.006,True
7486c69824e1,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0072,True
5ff55eb47810,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0063,True
0b20aa784075,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0075,True
7109465d702a,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0075,True
d9721b50aeea,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0036,True
3930bb70bd0c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0035,True
a886f5f8424d,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0067,True
29007f7f8a55,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0058,True
f7dbafadff4b,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0062,True
30dee02ddd69,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.006,True
db449c85d5bf,spielberg_FP1,throttle,string_in_numeric,detection,0.0035,True
89c64dcd7530,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0072,True
26c76f35916f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0036,True
0d26fef22a15,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0068,True
4d1880fab972,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0036,True
18e4562598a6,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0068,True
018d381c05ac,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0063,True
671ce065c344,spielberg_FP1,rpm,string_in_numeric,detection,0.0035,True
f1506faa1492,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0071,True
b0cc84cfa060,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.006,True
dfb24a9a83a0,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0068,True
35b93ad9762f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0043,True
1ac7944623d3,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0058,True
ed70a368a08e,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0059,True
db1e80631f07,spielberg_FP1,speed_v2,schema_drift,detection,0.0069,True
22f31c40cde8,spielberg_FP1,throttle,string_in_numeric,detection,0.0037,True
86797578dd3d,spielberg_FP1,rpm,string_in_numeric,detection,0.0036,True
d583f7099310,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0035,True
5c256573cd7c,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0036,True
