packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
4d46e191c07c,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0075,True
1a1b6033fd97,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0044,True
05135e5fe286,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0061,True
5116a345bc53,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0082,True
38c1719be1e0,spielberg_FP1,speed,string_in_numeric,detection,0.0036,True
b2024934bb90,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.007,True
b9f57453e79a,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0066,True
c095eeff23d8,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0073,True
68401d344a2c,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0061,True
8e23ac3eddc9,spielberg_FP1,throttle,string_in_numeric,detection,0.0036,True
5875278f64c4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0061,True
96018b63eebb,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0036,True
89368ce1d18d,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0081,True
8f6e8edca36b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0072,True
886beda00c1e,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.007,True
705561913d5d,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.006,True
2deed8e21c66,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0069,True
c04db701571c,spielberg_FP1,throttle,string_in_numeric,detection,0.0037,True
99c14cfc9e11,spielberg_FP1,throttle_raw,schema_drift,detection,0.0075,True
800be0ed644c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0042,True
28ea225a011e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0065,True
bdc462241b68,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0038,True
06b4f9e15c93,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0073,True
1eede72c3b81,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0065,True
428be9253676,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.006,True
defa4440951f,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.007,True
eae098f9017e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0066,True
6a71650d874c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0062,True
04a1868bb2dd,spielberg_FP1,speed,duplicate_timestamp,detection,0.006,True
a0773e0ff294,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
07fd1bbdeb7b,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0079,True
89a0a8aaf419,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0038,True
2199458baa8a,spielberg_FP1,speed_alt,schema_drift,detection,0.0069,True
de81288a93f4,spielberg_FP1,throttle_alt,schema_drift,detection,0.0072,True
c31425d491c0,spielberg_FP1,speed_raw,schema_drift,detection,0.0074,True
1394db2ad8d1,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0039,True
d88cab93b17e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0057,True
e0fc38bcfb59,spielberg_FP1,speed,duplicate_timestamp,detection,0.0062,True
c7625d143bfb,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0064,True
2067c4ac3ae3,spielberg_FP1,aero_load_raw,schema_drift,detection,0.007,True
40819985e2c0,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0065,True
f06d7dc36c1a,spielberg_FP1,speed,duplicate_timestamp,detection,0.0068,True
95220d112099,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0037,True
31af01e720d2,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0037,True
553fad24b064,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
e5360eaffacc,spielberg_FP1,speed,duplicate_timestamp,detection,0.0063,True
3cc0c4d7c214,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0072,True
1d429153ca49,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0038,True
96db45cf93f1,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0059,True
7cca87870fa3,spielberg_FP1,rpm_alt,schema_drift,detection,0.0068,True
731a9222c5a9,spielberg_FP1,throttle,duplicate_timestamp,detection,0.006,True
45bdc3be8a7e,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0088,True
cbe78915d1cb,spielberg_FP1,rpm_alt,schema_drift,detection,0.0091,True
4c6c0ed45a48,spielberg_FP1,rpm,string_in_numeric,detection,0.0042,True
ad1cd49e8ebb,spielberg_FP1,throttle,string_in_numeric,detection,0.0035,True
aed33899c2d6,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0035,True
41dd0b2c35a6,spielberg_FP1,speed,duplicate_timestamp,detection,0.0066,True
1a52f8ab6d9c,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0068,True
c1b9b0f1a8f4,spielberg_FP1,rpm_v2,schema_drift,detection,0.0153,True
e5d65aeb3577,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0061,True
dcad843a5c44,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0061,True
eda1b0198169,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0061,True
ac0be043ccf4,spielberg_FP1,aero_load_new,schema_drift,detection,0.0072,True
e918ebc0b2fd,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0036,True
eae32201c961,spielberg_FP1,speed,duplicate_timestamp,detection,0.0063,True
a2482b3f45b4,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0044,True
0966b062ef6d,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0077,True
ca5f6749acd4,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0065,True
db1353714d54,spielberg_FP1,speed_raw,schema_drift,detection,0.0092,True
2426e39f77b5,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
b145f4684c99,spielberg_FP1,throttle,string_in_numeric,detection,0.0042,True
f41bfce839da,spielberg_FP1,aero_load,string_in_numeric,detection,0.0038,True
769e8c9f2f45,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0063,True
936c0bbd0488,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0062,True
ef4a6433e942,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0072,True
acc3d69e57e9,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.006,True
7b942d4c4496,spielberg_FP1,throttle_new,schema_drift,detection,0.0073,True
40b6e3f8ad51,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0066,True
743285123fc9,spielberg_FP1,speed_alt,schema_drift,detection,0.0068,True
75d07c785f80,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0038,True
029fba9fe63a,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0078,True
845a50c7be4a,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0075,True
7767ed88f876,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
404573fd4310,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0072,True
9aa43ec56e5e,spielberg_FP1,rpm,string_in_numeric,detection,0.004,True
bcb8ae9dda6e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0038,True
5564e5ed6aed,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0037,True
756d461446c0,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0069,True
0d7b4c20929f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
51b307e7470d,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0068,True
cbc3d9bc1668,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0065,True
8d7b9c84f94b,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0077,True
6bfcb9c6a2ba,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0067,True
f1b906ec2a34,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0049,True
dbf1359b4395,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
ac31db01574d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0066,True
e4e59403c75a,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0159,True
91ab43617b28,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0065,True
286ed95df7ba,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0062,True
4c03a0830a8c,spielberg_FP1,aero_load,string_in_numeric,detection,0.0036,True
f8b93f8e76a9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0072,True
0aa1a2d3c13f,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0074,True
533cd815e935,spielberg_FP1,rpm,string_in_numeric,detection,0.0039,True
6bb37f435395,spielberg_FP1,throttle,duplicate_timestamp,detection,0.007,True
9f3ff895d4fb,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0061,True
f268c56bbcd9,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0037,True
c1da74978cab,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0077,True
43772b10daff,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0067,True
c617850fba89,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0068,True
7d59cfb880db,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
c8c599b6e6b1,spielberg_FP1,throttle_v2,schema_drift,detection,0.0071,True
69ff24cdf86b,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0037,True
52ed919b73a6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0062,True
e3fb0270f8d3,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0063,True
83eff6e84e4a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0064,True
ac1b7a3591bf,spielberg_FP1,throttle_v2,schema_drift,detection,0.0075,True
4d918df59d59,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0068,True
