packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
6d4ef075d499,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0069,True
a97333fad346,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0084,True
b7bac04236b5,spielberg_FP1,rpm,bit_flip_low,detection,0.0116,True
7f5e1f159d0f,spielberg_FP1,throttle,string_in_numeric,detection,0.0043,True
77f5322173ca,spielberg_FP1,aero_load,sensor_dropout,detection,0.0065,True
b9757df39b5d,spielberg_FP1,ecu_canbus,null_value,detection,0.0067,True
53620fb3ce04,spielberg_FP1,rpm,string_in_numeric,detection,0.004,True
f963ecb0a9f4,spielberg_FP1,throttle,null_value,detection,0.007,True
1671426d8a9e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0041,True
f6c69ae3088e,spielberg_FP1,speed,sensor_dropout,detection,0.0065,True
72fb4502443b,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0083,True
b3fa9e2af6d9,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0077,True
e855e2a2f20b,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0087,True
932b6e3bbcac,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0133,True
dc2d26170e12,spielberg_FP1,throttle,sensor_dropout,detection,0.0063,True
8a81fe4356de,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.008,True
8b461546a004,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0064,True
bb229dfcfc1e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0079,True
821e57db1e0e,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0083,True
7d468c8e15eb,spielberg_FP1,brake_temp,bit_flip_low,detection,0.011,True
85529e967a34,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0079,True
ae71292ee96d,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0103,True
356ea2bb0638,spielberg_FP1,aero_load,bit_flip_high,detection,0.0102,True
64bde6800bef,spielberg_FP1,rpm,null_value,detection,0.0059,True
69b0b94a3039,spielberg_FP1,aero_load,bit_flip_high,detection,0.011,True
8c99fec4c6e9,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0077,True
a0977e0dbdaf,spielberg_FP1,rpm_raw,schema_drift,detection,0.0089,True
760ec2295d6d,spielberg_FP1,throttle,bit_flip_high,detection,0.0111,True
7245558fe6a4,spielberg_FP1,aero_load,sensor_dropout,detection,0.0069,True
b8d00ea718a6,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0084,True
267bdcab0b2c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0076,True
d30ca1939f75,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0084,True
9d9eb50e141a,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0039,True
5b594cd00721,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0079,True
ec7e79cf5de7,spielberg_FP1,throttle,bit_flip_high,detection,0.0112,True
