packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
519208e1a6a6,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0122,True
5516384c8b1e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0084,True
30ef6231ad18,spielberg_FP1,engine_temp,null_value,detection,0.0072,True
c71bbadf0929,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0115,True
361e8b60d48f,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0109,True
dcd0a1bd073b,spielberg_FP1,speed_v2,schema_drift,detection,0.0097,True
53f233fc5de9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.008,True
6178d7d54609,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0117,True
be71b2f168c2,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0075,True
7fbe50fe0b25,spielberg_FP1,ecu_canbus,null_value,detection,0.0071,True
672f6467936e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0119,True
f236c7cc6024,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0076,True
a5980ac81967,spielberg_FP1,engine_temp,null_value,detection,0.007,True
9f86331ec68f,spielberg_FP1,g_force_lateral,null_value,detection,0.007,True
2d52374160e6,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0078,True
7786582ada69,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0176,True
22238724f23c,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0078,True
04644ea15440,spielberg_FP1,throttle,string_in_numeric,detection,0.0044,True
69b36098bc0a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0115,True
4e00b2a6b636,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0078,True
42681c52c6e1,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0069,True
8effa736b7e3,spielberg_FP1,speed,duplicate_timestamp,detection,0.0078,True
ad68bb1d6470,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0128,True
d919d7dbe9ec,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0081,True
daaf80b5a7be,spielberg_FP1,aero_load,bit_flip_low,detection,0.0118,True
bab4b6953f23,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0073,True
0765f200bcb6,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0109,True
