packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3a0c33e6792a,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
34d5e06f3a0d,spielberg_FP1,speed_alt,schema_drift,detection,0.005,True
dd914f0fc077,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0051,True
53ed0b2e48f1,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0045,True
ac73e99cbc10,spielberg_FP2,rpm_canbus,schema_drift,detection,0.0053,True
ce46ae3d8a80,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.0025,True
a81adb3723ba,spielberg_FP3,brake_temp,string_in_numeric,detection,0.0029,True
c6223e3fa0aa,spielberg_FP3,throttle_alt,schema_drift,detection,0.0051,True
5483e0b162c9,spielberg_QUALI,engine_temp_alt,schema_drift,detection,0.0047,True
faa1f963fe38,spielberg_RACE,heart_rate,duplicate_timestamp,detection,0.0043,True
7e6fea00b52b,silverstone_FP3,ecu_canbus_raw,schema_drift,detection,0.005,True
be1e67b80cfe,silverstone_FP3,g_force_lateral_raw,schema_drift,detection,0.0057,True
b4cdad7e462f,silverstone_QUALI,engine_temp,string_in_numeric,detection,0.0026,True
6b1f3af0f799,silverstone_QUALI,speed,string_in_numeric,detection,0.0027,True
bcebbd3d2caa,silverstone_RACE,g_force_lateral,duplicate_timestamp,detection,0.0077,True
083b3c977ba4,silverstone_RACE,g_force_lateral,string_in_numeric,detection,0.0069,True
74de52580067,silverstone_RACE,tyre_pressure_canbus,schema_drift,detection,0.0162,True
8b9e09048aba,budapest_FP1,aero_load_canbus,schema_drift,detection,0.0054,True
1c5cd84e8f2b,budapest_FP2,tyre_pressure,duplicate_timestamp,detection,0.0042,True
a7691bbe6860,budapest_FP3,aero_load_raw,schema_drift,detection,0.0052,True
f8dbc67f4f60,budapest_QUALI,engine_temp_alt,schema_drift,detection,0.0048,True
fe75bae703c7,budapest_QUALI,g_force_lateral_new,schema_drift,detection,0.0051,True
b53307d71b86,budapest_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0049,True
67ed931c991b,budapest_QUALI,engine_temp,duplicate_timestamp,detection,0.0045,True
3158c6d825a8,budapest_RACE,heart_rate_raw,schema_drift,detection,0.0047,True
dd914f0fc077,,,dlq_repair,repair,0.1115,False
ce46ae3d8a80,,,dlq_repair,repair,0.0176,False
a81adb3723ba,,,dlq_repair,repair,0.0102,False
b4cdad7e462f,,,dlq_repair,repair,0.0077,False
b53307d71b86,,,dlq_repair,repair,0.0229,True
67ed931c991b,,,dlq_repair,repair,0.0145,True
3a0c33e6792a,,,dlq_repair,repair,0.0049,False
53ed0b2e48f1,,,dlq_repair,repair,0.0117,True
faa1f963fe38,,,dlq_repair,repair,0.0127,True
6b1f3af0f799,,,dlq_repair,repair,0.0037,False
bcebbd3d2caa,,,dlq_repair,repair,0.0122,True
083b3c977ba4,,,dlq_repair,repair,0.0032,False
1c5cd84e8f2b,,,dlq_repair,repair,0.0102,True
