packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
c17562282de1,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0036,True
38ddeb378b36,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0101,True
95c81088902c,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0038,True
9b4f2a587e52,spielberg_FP1,speed,bit_flip_high,detection,0.0074,True
15860cddd99c,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0046,True
1867cb4c74fe,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0096,True
4db362a87511,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0079,True
4396bc2c7527,spielberg_FP1,aero_load,sensor_dropout,detection,0.0038,True
853dfc45cce3,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0027,True
d0ba71b2cfb6,spielberg_FP1,throttle,sensor_dropout,detection,0.0038,True
341eb6f4a5cc,spielberg_FP1,engine_temp,null_value,detection,0.0047,True
fcb5fb848bca,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0037,True
dce8ee97131a,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0051,True
98b18b3b4e2f,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0035,True
a83354c80196,spielberg_FP1,speed,sensor_dropout,detection,0.0037,True
ea335a87867c,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0078,True
94cb2677d5dc,spielberg_FP1,engine_temp,null_value,detection,0.0039,True
9197756f1646,spielberg_FP1,aero_load_new,schema_drift,detection,0.0051,True
d70eb4961bad,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
cca7d141ca5c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.005,True
b240522122c2,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
2bfd780c2a4b,spielberg_FP1,throttle,bit_flip_low,detection,0.008,True
9f20da58854a,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.004,True
93d05a5cde19,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0065,True
61dc6fe019b7,spielberg_FP1,aero_load,null_value,detection,0.0038,True
f20ec0a6d721,spielberg_FP1,rpm,bit_flip_high,detection,0.0075,True
af8f3c5e24e6,spielberg_FP1,throttle,bit_flip_low,detection,0.0062,True
86c65d849e08,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0041,True
