packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
8ede4e540d9c,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0056,True
4f80a9de8bd8,spielberg_FP1,throttle_new,schema_drift,detection,0.0069,True
babfe7a24160,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0032,True
4ebf8ecca1cb,spielberg_FP1,aero_load,null_value,detection,0.0046,True
7eb9ddefaebf,spielberg_FP1,aero_load,sensor_dropout,detection,0.0051,True
cf434275e063,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0038,True
bbc55f6c3741,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0088,True
f967e9bb8eb6,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0085,True
306065d3afd0,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0088,True
bd25203b2cc5,spielberg_FP1,brake_temp,null_value,detection,0.0052,True
6e0e6730d45f,spielberg_FP1,engine_temp,null_value,detection,0.0049,True
401e546640e9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0084,True
7a9532b8a298,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0074,True
3b834c01e415,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0059,True
2f00c66d5a19,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0087,True
c2abf41ef2b2,spielberg_FP1,throttle,sensor_dropout,detection,0.0043,True
87a63af62c56,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0066,True
103806491b54,spielberg_FP1,tyre_pressure,null_value,detection,0.0044,True
e131237a6ee9,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0031,True
342b83e420aa,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0069,True
b5d2289bf9b3,spielberg_FP1,throttle,string_in_numeric,detection,0.0033,True
fe515eaf3634,spielberg_FP1,brake_temp,null_value,detection,0.0047,True
d8376fd55101,spielberg_FP1,throttle,bit_flip_low,detection,0.0094,True
78d20f1f1111,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0083,True
faf50d12d5f8,spielberg_FP1,throttle,bit_flip_low,detection,0.0096,True
1d9cd9fde8a0,spielberg_FP1,tyre_pressure,null_value,detection,0.0048,True
3b0c0a4b4990,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0047,True
d30b28feee90,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0082,True
d42de175aa28,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0055,True
dd6442e9cfa4,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0061,True
861d3292d88f,spielberg_FP1,throttle,null_value,detection,0.0047,True
c582bb782b14,spielberg_FP1,throttle,string_in_numeric,detection,0.0034,True
11562417eeb1,spielberg_FP1,engine_temp,bit_flip_low,detection,0.009,True
fb510ebffc96,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0036,True
08686c5f40ff,spielberg_FP1,heart_rate,null_value,detection,0.0045,True
b6a3afe71951,spielberg_FP1,rpm,bit_flip_high,detection,0.0087,True
ef6eec20be2d,spielberg_FP1,tyre_pressure,null_value,detection,0.0046,True
274197f55784,spielberg_FP1,throttle_v2,schema_drift,detection,0.0066,True
9cfe5f88b99e,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0088,True
f4d0290c6094,spielberg_FP1,aero_load,bit_flip_high,detection,0.0087,True
8b8129305db6,spielberg_FP1,speed,bit_flip_high,detection,0.0079,True
ff9aa2f786bb,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0048,True
be7ba6639b45,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0056,True
dbdcad35acb6,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0095,True
99c39412f05d,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0048,True
df9be10b6031,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0089,True
90d82633d388,spielberg_FP1,speed,bit_flip_low,detection,0.0083,True
f773021ee7c5,spielberg_FP1,speed,sensor_dropout,detection,0.0045,True
cf4d9bcddfe5,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0083,True
710b846d6f8e,spielberg_FP1,aero_load,bit_flip_low,detection,0.0076,True
43ee18f127fa,spielberg_FP1,engine_temp,null_value,detection,0.0039,True
fe19783916eb,spielberg_FP1,rpm,null_value,detection,0.0042,True
758323ba3802,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0068,True
eef3392e4b2c,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0061,True
01ae44e61f90,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.005,True
5c89ee4430ca,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0086,True
41e0b1d8b52f,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0047,True
6d4e21b0c257,spielberg_FP1,heart_rate,null_value,detection,0.0052,True
5e5b5666cc55,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0082,True
ae5ecb926481,spielberg_FP1,tyre_pressure,null_value,detection,0.0048,True
65d4d8ada33b,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0037,True
94bf60f86dd3,spielberg_FP1,rpm,string_in_numeric,detection,0.0034,True
f58d64c2e6b2,spielberg_FP1,heart_rate,null_value,detection,0.005,True
6505dea126b3,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0084,True
466fa5dab3c0,spielberg_FP1,rpm,null_value,detection,0.0041,True
8ed18af509ff,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.009,True
c4f7249a41b1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0054,True
628a66d56149,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0054,True
f2f60e25ae21,spielberg_FP1,aero_load,string_in_numeric,detection,0.0044,True
ab646db42289,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0084,True
5db78a8acdbb,spielberg_FP1,aero_load,null_value,detection,0.0041,True
