packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
786c94c462aa,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.006,True
0f848395bd9a,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0049,True
c293db08ca00,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0028,True
04cd27731393,spielberg_FP1,speed_alt,schema_drift,detection,0.005,True
2ca8798aed07,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
9fe5fb099b63,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0053,True
2e1fd8886691,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0047,True
3079e92218f6,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0051,True
07e0ddb3d73c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0029,True
bceae88532c2,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
fd6ff69e02e6,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0043,True
64c4b16649bc,spielberg_FP1,speed,string_in_numeric,detection,0.0029,True
39903d0f5aa6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0048,True
23779723644b,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.005,True
387800c7cb63,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0025,True
bd2b57e7aa9a,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.005,True
7520f33ebe7f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0047,True
fae22b51a170,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0054,True
59d703300092,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0028,True
6445e8a2e100,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0054,True
0eb641fd2a65,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0044,True
e802e5858a21,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0025,True
96c9d8ec6f5c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0053,True
c46e6bb8799f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0172,True
fb36775f1682,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0046,True
0a0941926170,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0047,True
32d9e5644d6d,spielberg_FP1,rpm,string_in_numeric,detection,0.0028,True
c98122229ec3,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0045,True
86b21ea626ab,spielberg_FP1,speed,duplicate_timestamp,detection,0.0044,True
5245436590f3,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0049,True
e7728c21be84,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0061,True
b70afb7bc7dc,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0052,True
5cb3df47e09a,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0045,True
ef543e44414b,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0051,True
bd7e7e3b8f43,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0047,True
8eec33a76095,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0045,True
57c8f4142858,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0051,True
87a391697203,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0067,True
50a2a528ec37,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0049,True
485de9406c0b,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0026,True
7e3487f766b7,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
539aa14627ce,spielberg_FP1,rpm,string_in_numeric,detection,0.0023,True
8509ec247576,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0049,True
87c3e2a50e07,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0046,True
bd0e4e427ff4,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0031,True
6c9d279af7d0,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0027,True
0884e3c8a964,spielberg_FP1,throttle,string_in_numeric,detection,0.0027,True
b3034225aac9,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
8c3e6a8f9b46,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0053,True
b0cf4080dcf2,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0028,True
61b46181f4a3,spielberg_FP1,rpm,duplicate_timestamp,detection,0.005,True
94153b600fdf,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0182,True
948e5e907f7a,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0027,True
8b8d97bb5fd2,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0049,True
7c7dd71403ae,spielberg_FP1,speed,duplicate_timestamp,detection,0.0042,True
9c4b8d1373ac,spielberg_FP1,rpm_raw,schema_drift,detection,0.0047,True
379f9fecad80,spielberg_FP1,speed,string_in_numeric,detection,0.0025,True
ce4f040199ba,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0052,True
227d30844459,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0044,True
0521a2855ccf,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0044,True
aec41c2dff95,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
04a245f7359d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0042,True
e5e3b789d96d,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0052,True
07189937479f,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0042,True
6f21250b018b,spielberg_FP1,aero_load_v2,schema_drift,detection,0.005,True
2009b0b2afdc,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0047,True
c35440c94c8f,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0047,True
7d6d876d28d0,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0031,True
b8a202409b1e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
b51de0cdec99,spielberg_FP1,throttle_v2,schema_drift,detection,0.0061,True
41e049a43c5e,spielberg_FP1,speed,duplicate_timestamp,detection,0.0055,True
b67f3c654a54,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0045,True
0e9cad1245d6,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
ae4eb3d23e75,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0051,True
e9775ad4d388,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0026,True
00eb016e5cc2,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0047,True
b4b289377232,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
29b50c92a672,spielberg_FP1,rpm,string_in_numeric,detection,0.0032,True
78890d646d01,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0029,True
8944a4a28a41,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0045,True
08a8d9fd9ba6,spielberg_FP1,throttle,string_in_numeric,detection,0.0027,True
71b1729b553d,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.005,True
1b8e66656e41,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0031,True
b0888b6ee2a7,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0047,True
89ed818a3110,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
9dad51e6ce3f,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0052,True
1b633a220bf9,spielberg_FP1,aero_load_alt,schema_drift,detection,0.005,True
06f59d52e965,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
e894dc672053,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0053,True
a1f553aece9c,spielberg_FP1,rpm,string_in_numeric,detection,0.0026,True
5f1f4a2e19c3,spielberg_FP1,aero_load,string_in_numeric,detection,0.0027,True
6618eef66e92,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
32e59c4dcdd5,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
68153142b38c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0043,True
f66cfac7c947,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0055,True
8783caab47ca,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0048,True
1ef128351f89,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0037,True
55c5404ed1b1,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0049,True
79bec92aaf04,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0047,True
5b55ac1b91d4,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0034,True
edca6d3ea758,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0049,True
ecc6dc0b89db,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0029,True
6d15abbca24e,spielberg_FP1,rpm_raw,schema_drift,detection,0.0049,True
d51eab4ab332,spielberg_FP1,speed,string_in_numeric,detection,0.0028,True
f4591a5e9023,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0037,True
231c61276bff,spielberg_FP1,speed,duplicate_timestamp,detection,0.0044,True
13da2989fef5,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.004,True
ff0140d637a6,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0046,True
3d1e18b92b7a,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
ababfc843d91,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0048,True
6df9f275ff84,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0043,True
0baa0760693e,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0054,True
03847c0a5930,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
c4473f6cf9b2,spielberg_FP1,speed_new,schema_drift,detection,0.0051,True
1202da123e32,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0051,True
4a6c1545fa52,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0044,True
530d06d37898,spielberg_FP1,rpm,string_in_numeric,detection,0.0028,True
fb392b34f6a4,spielberg_FP1,speed,string_in_numeric,detection,0.0023,True
40cc883c5b75,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0049,True
ffe177535b39,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0046,True
6026fbd5d5d7,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0052,True
c5848faf7c9c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0045,True
8d13afb9e403,spielberg_FP1,speed_new,schema_drift,detection,0.005,True
2567b9a2306a,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0028,True
703f30a375fa,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.005,True
c07404acfd60,spielberg_FP1,speed_raw,schema_drift,detection,0.0057,True
9863032cdd41,spielberg_FP1,engine_temp_new,schema_drift,detection,0.005,True
ebdb93eae080,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0047,True
d3fc9bb14e15,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
1ecfd3cf6785,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0029,True
71e80e9ad06a,spielberg_FP1,speed,duplicate_timestamp,detection,0.0042,True
766cecec69d7,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0058,True
401734399560,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0048,True
459a005bc71b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0042,True
687cc1d061ff,spielberg_FP1,aero_load,string_in_numeric,detection,0.0028,True
6e7da19eabc0,spielberg_FP1,aero_load,string_in_numeric,detection,0.0027,True
da50c25a20cd,spielberg_FP1,speed_canbus,schema_drift,detection,0.0049,True
a0ef95f1e59f,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
3efeef57b613,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0161,True
d6a7279580a9,spielberg_FP1,speed_v2,schema_drift,detection,0.0049,True
1d7b68986413,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0039,True
7fc33d4e4197,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.005,True
236d899b9038,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0055,True
a77e2844875b,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0053,True
13bf2af47477,spielberg_FP1,rpm_v2,schema_drift,detection,0.005,True
1504b9cda144,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0046,True
a7450fbd6a87,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
712d012e79d6,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0043,True
53e717e3ff51,spielberg_FP1,throttle_v2,schema_drift,detection,0.0061,True
dfbf5d10d602,spielberg_FP1,rpm,string_in_numeric,detection,0.0026,True
483e05c6d272,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0054,True
3aca0265d4cf,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0031,True
ca3891e4487e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0026,True
7316a87a69de,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0028,True
dfdf9b6f8f73,spielberg_FP1,speed,duplicate_timestamp,detection,0.0045,True
79776c84257c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
e351663aeede,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0028,True
