packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
1e3a757c4b81,spielberg_FP1,speed,duplicate_timestamp,detection,0.0047,True
cc09368653c0,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
e22133a54067,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0028,True
ff34e67ed70a,spielberg_FP1,rpm_new,schema_drift,detection,0.005,True
4b358003a45e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0041,True
c5e61686fdc9,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0049,True
dede631bb8a6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0028,True
aacd2b9337cb,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0048,True
f860dc8b2f6d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0031,True
a2275675f32d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0027,True
7e4bae429172,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0028,True
15d7a723ee85,spielberg_FP1,speed_v2,schema_drift,detection,0.005,True
7c850ceb22f7,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0048,True
745b912aaa5d,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0061,True
0949e9e2ae02,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0045,True
45ff004f76be,spielberg_FP1,throttle,string_in_numeric,detection,0.0029,True
45fcce12cb8f,spielberg_FP1,rpm_alt,schema_drift,detection,0.0045,True
1f212dd9ae00,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0052,True
1139a8667ce4,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0171,True
64e94eaf6fbf,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0024,True
e46b22f72a35,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0022,True
fa5709eb6a9b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0046,True
56687aa36cc2,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0028,True
716859143367,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0025,True
3cc81dfe30b6,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0053,True
7ce5fe07bc4b,spielberg_FP1,speed,string_in_numeric,detection,0.0029,True
f9a12dfbfd58,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0028,True
39700eb48936,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0035,True
2329d3609e32,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0048,True
ba5a1ca26d05,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0045,True
0476eab04dc3,spielberg_FP1,throttle,string_in_numeric,detection,0.0027,True
a86f49487e49,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0047,True
78c836be7037,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0028,True
54df43b60b7d,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0027,True
4478b58635ba,spielberg_FP1,brake_temp_new,schema_drift,detection,0.005,True
7edd55cb606f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0028,True
9c05387503a1,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0028,True
9445d3565d3a,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.005,True
0ea33685713e,spielberg_FP1,rpm_v2,schema_drift,detection,0.0045,True
fe68b37f4129,spielberg_FP1,speed,string_in_numeric,detection,0.0025,True
39bcb401c6f5,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0047,True
c70c30371106,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0046,True
3c90a42e2877,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0051,True
89964c26daf4,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0046,True
c62b6b764229,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0065,True
e19e6337005a,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0049,True
0eef3eda0e73,spielberg_FP1,speed,duplicate_timestamp,detection,0.0042,True
3c1946e51b7e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0605,True
2f2d3363a045,spielberg_FP1,throttle_raw,schema_drift,detection,0.0048,True
4d88e9aefe67,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0042,True
4e11e55885f4,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0042,True
b67cbdc7f2d3,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0042,True
c6549c13cef4,spielberg_FP1,speed_canbus,schema_drift,detection,0.0055,True
852efa7c7374,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0046,True
178c7443fb66,spielberg_FP1,throttle,string_in_numeric,detection,0.0172,True
