packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
5062858240b8,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
d37480768fc2,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0061,True
0f6ec66a7c9d,spielberg_FP1,throttle,sensor_dropout,detection,0.0034,True
e0ecb1b86b8d,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0028,True
43e4015b162a,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0027,True
a80e0053bb00,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0042,True
bfc818203f4c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0038,True
b0dc94e519cd,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0035,True
684d3336536c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
b93b6d54cbd3,spielberg_FP1,engine_temp,null_value,detection,0.0068,True
60828f2a150e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0026,True
69c49c97b37e,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0071,True
7747c6d924cd,spielberg_FP1,aero_load,null_value,detection,0.0036,True
3abe825a8bc4,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0051,True
2747e683a87f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0017,True
1e7b06a51b87,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.009,True
1659a18d7f6d,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0071,True
4391cb963ec7,spielberg_FP1,speed,string_in_numeric,detection,0.0028,True
7ad7787182f8,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0036,True
882c5ff317cd,spielberg_FP1,engine_temp,bit_flip_high,detection,0.006,True
cf1c77e09e94,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0052,True
7af7d37cddb7,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0069,True
e4296f1c4016,spielberg_FP1,aero_load,sensor_dropout,detection,0.0054,True
6dc81f5b514a,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
33f16173223f,spielberg_FP1,throttle_v2,schema_drift,detection,0.0045,True
b77677625c1c,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0084,True
af73cc5f967b,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0066,True
491c65d99172,spielberg_FP1,speed,bit_flip_high,detection,0.006,True
15fdb49ceb10,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0036,True
3bcf6a727e8d,spielberg_FP1,brake_temp,bit_flip_low,detection,0.007,True
baa9b03e7d8e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
d561808b7da3,spielberg_FP1,rpm,null_value,detection,0.0035,True
