packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
ba4077f306fd,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0055,True
6216109a8704,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0043,True
5da344d90e92,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0081,True
c72a0aee1bcd,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0025,True
4a7dae8c9be5,spielberg_FP1,speed_v2,schema_drift,detection,0.0057,True
ab8551f18638,spielberg_FP1,throttle,null_value,detection,0.0036,True
7e282271702c,spielberg_FP1,speed_raw,schema_drift,detection,0.0045,True
ec718d534872,spielberg_FP1,speed_new,schema_drift,detection,0.0042,True
4f6edf210310,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0028,True
84eb769f8d1b,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0037,True
225575e156c3,spielberg_FP1,aero_load,string_in_numeric,detection,0.0028,True
481931904b52,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0046,True
1efe0cf2ee2b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0027,True
fc729ae6a566,spielberg_FP1,engine_temp,null_value,detection,0.0039,True
4c3b4f9999be,spielberg_FP1,aero_load,null_value,detection,0.0037,True
c0fc85413389,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.007,True
41deeafefd2e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0021,True
e297194f22cc,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0039,True
cbe8e1d6d4b2,spielberg_FP1,heart_rate,null_value,detection,0.0039,True
967342223b56,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0043,True
fa655e763e69,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0028,True
600fe89972b0,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0249,True
af79be7240a6,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0034,True
e950aaffea64,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0058,True
4009d6f80da0,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0115,True
134d04e2ce47,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0081,True
c68eb3f0f5c8,spielberg_FP1,g_force_lateral,null_value,detection,0.0042,True
d9653894171d,spielberg_FP1,throttle,bit_flip_low,detection,0.0075,True
d77849e0f11e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0065,True
0570d76edbe8,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0089,True
40d2e188d177,spielberg_FP1,rpm_alt,schema_drift,detection,0.0057,True
fdf398a0cca5,spielberg_FP1,rpm,null_value,detection,0.0042,True
