packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
c1e9625a0a48,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0039,True
4f819ebff1c8,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0091,True
e4f4e2a470a2,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0067,True
8f308f1b5c6f,spielberg_FP1,rpm,null_value,detection,0.004,True
e3eee6af9130,spielberg_FP1,brake_temp,null_value,detection,0.0034,True
9cc474922919,spielberg_FP1,speed,bit_flip_high,detection,0.0073,True
fb6d0cec3ffd,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0036,True
01c2b3a8fee1,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0057,True
54768d422cbd,spielberg_FP1,aero_load,string_in_numeric,detection,0.0028,True
48b174d5ba53,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0047,True
9d62ae5e5342,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0071,True
ff8e8be3b9c8,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0055,True
1e82a073c377,spielberg_FP1,throttle,null_value,detection,0.0039,True
7149cbfb2cf2,spielberg_FP1,throttle,bit_flip_high,detection,0.0067,True
b4a7d9627951,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0045,True
9918ec662070,spielberg_FP1,speed,duplicate_timestamp,detection,0.004,True
d8b9cfb3d283,spielberg_FP1,speed,bit_flip_low,detection,0.0074,True
6a63c56dc7a5,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0276,True
b629ed866c8c,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0078,True
912a7fcddec7,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0062,True
365c2862f800,spielberg_FP1,aero_load_v2,schema_drift,detection,0.005,True
e69e9c913ea5,spielberg_FP1,tyre_pressure,null_value,detection,0.0043,True
4e8844bcb802,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0055,True
30c654bd8710,spielberg_FP1,speed,bit_flip_low,detection,0.0169,True
8402ad9489b0,spielberg_FP1,rpm_new,schema_drift,detection,0.0084,True
d683ed8bfed2,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0026,True
04c8797cd835,spielberg_FP1,throttle,sensor_dropout,detection,0.0035,True
f25afed4d740,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0026,True
90103f83e05b,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0045,True
88d4d972f3f8,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0041,True
36e81cf1dee7,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0065,True
3f86f4116f56,spielberg_FP1,heart_rate,null_value,detection,0.0036,True
2bc3005e6741,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
f86a2c83f534,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0044,True
4f3ddebd0b4f,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0069,True
f8bba801373b,spielberg_FP1,speed,bit_flip_low,detection,0.0137,True
46cc0e29541e,spielberg_FP1,throttle,sensor_dropout,detection,0.0049,True
99f301150953,spielberg_FP1,aero_load,bit_flip_low,detection,0.0062,True
d57f55650f90,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0048,True
d0de10148248,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0068,True
6c799f1d0f62,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0048,True
15e0d011fe63,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0067,True
a00c54572f8a,spielberg_FP1,throttle,sensor_dropout,detection,0.004,True
1fa42c82c7ba,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0062,True
f6370a9d5ee1,spielberg_FP1,aero_load_v2,schema_drift,detection,0.005,True
52e48703eed3,spielberg_FP1,rpm,bit_flip_high,detection,0.0076,True
aa3b32d4a6c8,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0057,True
1440af1779fd,spielberg_FP1,engine_temp,null_value,detection,0.0159,True
c76e0a34ea08,spielberg_FP1,engine_temp,null_value,detection,0.005,True
fba0a4efc66a,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0059,True
a5c3235d1a57,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0064,True
cdc7b21c289f,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0121,True
21730dfc10a1,spielberg_FP1,aero_load,bit_flip_low,detection,0.0078,True
a41d000d7442,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0039,True
572740779dd7,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.007,True
5f89aaaf64a6,spielberg_FP1,speed,sensor_dropout,detection,0.0049,True
7a67d120cfce,spielberg_FP1,speed,sensor_dropout,detection,0.0048,True
d719436a88a9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0049,True
c714961c0ee9,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0028,True
84040220298f,spielberg_FP1,brake_temp,bit_flip_low,detection,0.01,True
ac545bdbe578,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0049,True
