packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
37dfa9e6f743,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0192,True
a6ec8601b100,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0211,True
c211ddb9ac7c,spielberg_FP1,rpm,sensor_dropout,detection,0.0111,True
359e94fba80a,spielberg_FP1,speed,null_value,detection,0.0109,True
4e7c8b1516f7,spielberg_FP1,throttle,null_value,detection,0.0106,True
6d0fbf183039,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0149,True
4ecc0b1ccbb8,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0106,True
19829caf227c,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0173,True
de108d430091,spielberg_FP1,aero_load,bit_flip_high,detection,0.0204,True
7eb6f28538e3,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0185,True
bddd8b5e8384,spielberg_FP1,aero_load,null_value,detection,0.0102,True
1116888ea1bd,spielberg_FP1,heart_rate,null_value,detection,0.0102,True
549ea1b4e839,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0067,True
89b1f8dcc144,spielberg_FP1,aero_load,sensor_dropout,detection,0.0104,True
728d108b7c95,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0174,True
e2104696f91c,spielberg_FP1,aero_load,bit_flip_low,detection,0.0134,True
97df0478e814,spielberg_FP1,g_force_lateral,null_value,detection,0.0075,True
d5b9bf03c8fb,spielberg_FP1,tyre_pressure,null_value,detection,0.0074,True
e8553b974db7,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.013,True
58f20e104efa,spielberg_FP1,engine_temp,bit_flip_high,detection,0.012,True
8cfb94574e43,spielberg_FP1,throttle,string_in_numeric,detection,0.0049,True
a5993eed3ed7,spielberg_FP1,engine_temp,null_value,detection,0.0097,True
c466a2130a34,spielberg_FP1,speed_canbus,schema_drift,detection,0.0182,True
81f31916a0df,spielberg_FP1,throttle,string_in_numeric,detection,0.0086,True
7751f7264017,spielberg_FP1,engine_temp,bit_flip_low,detection,0.022,True
5be9c7d34496,spielberg_FP1,throttle,null_value,detection,0.0125,True
01b2bc5816d7,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0081,True
f92bddf6c270,spielberg_FP1,ecu_canbus,null_value,detection,0.013,True
67fa88f2a9cd,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0053,True
59beaabc9b4f,spielberg_FP1,speed,sensor_dropout,detection,0.0085,True
cb9aaf11d365,spielberg_FP1,rpm_new,schema_drift,detection,0.0112,True
bd4b73855e62,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0141,True
668fb4c28e1b,spielberg_FP1,aero_load,sensor_dropout,detection,0.0087,True
6605ab147f53,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.008,True
345a2b968d26,spielberg_FP1,throttle,bit_flip_high,detection,0.014,True
870f7084b732,spielberg_FP1,aero_load,bit_flip_high,detection,0.0134,True
9f0282261ac8,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0136,True
5a27bafa1cf2,spielberg_FP1,speed,bit_flip_low,detection,0.014,True
965bc95424ad,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0108,True
cd5c5dc23f91,spielberg_FP1,throttle,bit_flip_high,detection,0.0142,True
f72f29d035be,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.005,True
5fdc700cbbfa,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0047,True
607b9c8be31f,spielberg_FP1,speed,sensor_dropout,detection,0.008,True
342780be0136,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.033,True
397be0e84401,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0138,True
9beabee89c5e,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0084,True
7d97037a1a6b,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0085,True
da195f6546ed,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0079,True
bdeab53c1718,spielberg_FP1,speed_new,schema_drift,detection,0.0103,True
